Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
INTERPRO	IPR009003:Trypsin-like cysteine/serine peptidase domain	56	98.24561404	5.12E-129	"O43240, P20231, O60259, P48740, P05981, P07288, P22891, P26927, P00738, P49862, Q15661, P00734, P00736, P06681, O00187, P83110, Q92876, P20151, Q6UWY2, P00742, P00740, P00749, P00748, P00747, P00746, P04070, Q9Y5K2, Q9Y337, P07477, P20160, Q16651, P09871, P20718, P35030, O43464, P08246, P12544, P51124, P00751, P00750, P14210, P98073, Q53HP3, Q92743, Q5JP69, P49863, Q99895, P24158, Q9Y5Y6, P08311, P05156, Q04756, P06870, P03951, P23946, P03952, P10144, P08709, Q9UL52"	57	57	5673	97.78024007	3.22E-127	3.22E-127	5.18E-126
INTERPRO	IPR001254:Peptidase S1	53	92.98245614	3.39E-119	"O43240, P20231, O60259, P48740, P05981, P07288, P22891, P26927, P00738, P49862, Q15661, P00734, P00736, P06681, O00187, Q92876, P20151, Q6UWY2, P00742, P00740, P00749, P00748, P00747, P00746, P04070, Q9Y5K2, Q9Y337, P07477, P20160, Q16651, P09871, P20718, P35030, P08246, P12544, P51124, P00751, P00750, P14210, P98073, Q53HP3, Q5JP69, P49863, Q99895, P24158, Q9Y5Y6, P08311, P05156, Q04756, P06870, P03951, P23946, P03952, P10144, P08709, Q9UL52"	57	54	5673	97.68323587	2.14E-117	1.07E-117	3.43E-116
INTERPRO	"IPR001314:Peptidase S1A, chymotrypsin-type"	51	89.47368421	3.31E-113	"O43240, P20231, O60259, P48740, P05981, P07288, P26927, P00738, P49862, Q15661, P00734, P00736, P06681, O00187, Q92876, P20151, Q6UWY2, P00742, P00740, P00749, P00748, P00747, P00746, P04070, Q9Y5K2, Q9Y337, P07477, P20160, Q16651, P09871, P20718, P35030, P08246, P12544, P51124, P00751, P00750, P14210, P98073, Q53HP3, Q5JP69, P49863, Q99895, P24158, P08311, P05156, Q04756, P06870, P03951, P23946, P03952, P10144, P08709, Q9UL52"	57	52	5673	97.61234818	2.08E-111	6.95E-112	3.35E-110
SMART	SM00020:Tryp_SPc	53	92.98245614	3.27E-109	"O43240, P20231, O60259, P48740, P05981, P07288, P22891, P26927, P00738, P49862, Q15661, P00734, P00736, P06681, O00187, Q92876, P20151, Q6UWY2, P00742, P00740, P00749, P00748, P00747, P00746, P04070, Q9Y5K2, Q9Y337, P07477, P20160, Q16651, P09871, P20718, P35030, P08246, P12544, P51124, P00751, P00750, P14210, P98073, Q53HP3, Q5JP69, P49863, Q99895, P24158, Q9Y5Y6, P08311, P05156, Q04756, P06870, P03951, P23946, P03952, P10144, P08709, Q9UL52"	57	54	3655	62.93534763	7.19E-108	7.19E-108	2.56E-106
GOTERM_MF_DIRECT	GO:0004252~serine-type endopeptidase activity	56	98.24561404	1.64E-97	"O43240, P20231, O60259, P48740, P05981, P07288, P22891, P26927, P00738, P49862, Q15661, P00734, P00736, P06681, O00187, P83110, Q92876, P20151, Q6UWY2, P00742, P00740, P00749, P00748, P00747, P00746, P04070, Q9Y5K2, Q9Y337, P07477, P20160, Q16651, P09871, P20718, P35030, O43464, P08246, P12544, P51124, P00751, P00750, P14210, P98073, Q53HP3, Q92743, Q5JP69, P49863, Q99895, P24158, Q9Y5Y6, P08311, P05156, Q04756, P06870, P03951, P23946, P03952, P10144, P08709, Q9UL52"	57	118	5569	46.36693428	9.02E-96	9.02E-96	1.61E-94
INTERPRO	"IPR018114:Peptidase S1, trypsin family, active site"	45	78.94736842	1.23E-96	"O43240, P20231, P04070, Q9Y5K2, Q9Y337, O60259, P07477, Q16651, P20718, P35030, P08246, P05981, P12544, P48740, P00751, P51124, P00750, P07288, P49862, Q53HP3, P98073, Q15661, P00734, Q5JP69, P49863, P06681, Q99895, Q92876, P24158, Q9Y5Y6, P20151, Q6UWY2, P08311, P00742, P00740, P05156, Q04756, P06870, P03951, P23946, P00749, P03952, P00748, P10144, P00747, P08709, P00746, Q9UL52"	57	46	5673	97.36270023	7.74E-95	1.94E-95	1.24E-93
GOTERM_BP_DIRECT	GO:0006508~proteolysis	46	80.70175439	1.09E-54	"O43240, P20231, P04070, Q9Y5K2, Q9Y337, O60259, P09871, P20160, P07477, Q16651, P35030, O43464, P08246, P05981, P48740, P51124, P00751, P00750, P14210, P07288, P26927, P49862, Q53HP3, P98073, Q15661, Q92743, P00734, Q5JP69, P49863, P06681, P00736, O00187, Q99895, P83110, P24158, Q9Y5Y6, P20151, Q6UWY2, P08311, P00740, P05156, Q04756, P06870, P03951, P00749, P03952, P00747, P00746, Q9UL52"	57	222	5570	20.24814288	3.11E-52	3.11E-52	1.44E-51
GOTERM_MF_DIRECT	GO:0008236~serine-type peptidase activity	26	45.61403509	1.04E-43	"O43240, P20231, Q9Y337, Q9Y5K2, P07477, Q16651, P35030, O43464, P05981, P51124, P07288, P49862, Q15661, Q92743, P49863, P00736, P83110, P24158, Q9Y5Y6, Q6UWY2, Q04756, P23946, P10144, P00747, P08709, Q9UL52, P00746"	57	38	5569	66.84856879	5.73E-42	2.86E-42	1.02E-40
KEGG_PATHWAY	hsa04610:Complement and coagulation cascades	19	33.33333333	3.66E-24	"O00187, P04070, P09871, P48740, P00742, P00751, P00750, P00740, P05156, Q53HP3, P03951, P03952, P00749, P00748, P00747, Q5JP69, P00734, P08709, P00746, P00736, P06681"	33	62	3211	29.81867058	1.24E-22	1.24E-22	3.22E-21
INTERPRO	IPR000001:Kringle	8	14.03508772	4.73E-12	"P00750, P14210, Q04756, P26927, P00749, P00748, P00747, P00734"	57	12	5673	66.35087719	2.98E-10	5.96E-11	4.79E-09
