Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
INTERPRO	IPR009003:Trypsin-like cysteine/serine peptidase domain	56	71.79487179	9.23E-112	"O43240, P20231, O60259, P48740, P05981, P07288, P22891, P26927, P00738, P49862, Q15661, P00734, P00736, P06681, O00187, P83110, Q92876, P20151, Q6UWY2, P00742, P00740, P00749, P00748, P00747, P00746, P04070, Q9Y5K2, Q9Y337, P07477, P20160, Q16651, P09871, P20718, P35030, O43464, P08246, P12544, P51124, P00751, P00750, P14210, P98073, Q53HP3, Q92743, Q5JP69, P49863, Q99895, P24158, Q9Y5Y6, P08311, P05156, Q04756, P06870, P03951, P23946, P03952, P10144, P08709, Q9UL52"	78	57	5673	71.45479082	7.66E-110	7.66E-110	9.88E-109
INTERPRO	IPR001254:Peptidase S1	53	67.94871795	1.06E-104	"O43240, P20231, O60259, P48740, P05981, P07288, P22891, P26927, P00738, P49862, Q15661, P00734, P00736, P06681, O00187, Q92876, P20151, Q6UWY2, P00742, P00740, P00749, P00748, P00747, P00746, P04070, Q9Y5K2, Q9Y337, P07477, P20160, Q16651, P09871, P20718, P35030, P08246, P12544, P51124, P00751, P00750, P14210, P98073, Q53HP3, Q5JP69, P49863, Q99895, P24158, Q9Y5Y6, P08311, P05156, Q04756, P06870, P03951, P23946, P03952, P10144, P08709, Q9UL52"	78	54	5673	71.38390313	8.82E-103	4.41E-103	1.14E-101
SMART	SM00020:Tryp_SPc	53	67.94871795	1.30E-99	"O43240, P20231, O60259, P48740, P05981, P07288, P22891, P26927, P00738, P49862, Q15661, P00734, P00736, P06681, O00187, Q92876, P20151, Q6UWY2, P00742, P00740, P00749, P00748, P00747, P00746, P04070, Q9Y5K2, Q9Y337, P07477, P20160, Q16651, P09871, P20718, P35030, P08246, P12544, P51124, P00751, P00750, P14210, P98073, Q53HP3, Q5JP69, P49863, Q99895, P24158, Q9Y5Y6, P08311, P05156, Q04756, P06870, P03951, P23946, P03952, P10144, P08709, Q9UL52"	69	54	3655	51.99006978	2.99E-98	2.99E-98	1.03E-96
INTERPRO	"IPR001314:Peptidase S1A, chymotrypsin-type"	51	65.38461538	4.43E-100	"O43240, P20231, O60259, P48740, P05981, P07288, P26927, P00738, P49862, Q15661, P00734, P00736, P06681, O00187, Q92876, P20151, Q6UWY2, P00742, P00740, P00749, P00748, P00747, P00746, P04070, Q9Y5K2, Q9Y337, P07477, P20160, Q16651, P09871, P20718, P35030, P08246, P12544, P51124, P00751, P00750, P14210, P98073, Q53HP3, Q5JP69, P49863, Q99895, P24158, P08311, P05156, Q04756, P06870, P03951, P23946, P03952, P10144, P08709, Q9UL52"	78	52	5673	71.33210059	3.68E-98	1.23E-98	4.75E-97
INTERPRO	"IPR018114:Peptidase S1, trypsin family, active site"	45	57.69230769	1.37E-86	"O43240, P20231, P04070, Q9Y5K2, Q9Y337, O60259, P07477, Q16651, P20718, P35030, P08246, P05981, P12544, P48740, P00751, P51124, P00750, P07288, P49862, Q53HP3, P98073, Q15661, P00734, Q5JP69, P49863, P06681, Q99895, Q92876, P24158, Q9Y5Y6, P20151, Q6UWY2, P08311, P00742, P00740, P05156, Q04756, P06870, P03951, P23946, P00749, P03952, P00748, P10144, P00747, P08709, P00746, Q9UL52"	78	46	5673	71.14966555	1.14E-84	2.85E-85	1.47E-83
GOTERM_MF_DIRECT	GO:0004252~serine-type endopeptidase activity	56	71.79487179	2.34E-80	"O43240, P20231, O60259, P48740, P05981, P07288, P22891, P26927, P00738, P49862, Q15661, P00734, P00736, P06681, O00187, P83110, Q92876, P20151, Q6UWY2, P00742, P00740, P00749, P00748, P00747, P00746, P04070, Q9Y5K2, Q9Y337, P07477, P20160, Q16651, P09871, P20718, P35030, O43464, P08246, P12544, P51124, P00751, P00750, P14210, P98073, Q53HP3, Q92743, Q5JP69, P49863, Q99895, P24158, Q9Y5Y6, P08311, P05156, Q04756, P06870, P03951, P23946, P03952, P10144, P08709, Q9UL52"	78	118	5569	33.8835289	2.15E-78	2.15E-78	2.56E-77
GOTERM_BP_DIRECT	GO:0006508~proteolysis	47	60.25641026	3.92E-46	"O43240, P20231, P04070, Q9Y5K2, Q9Y337, O60259, P09871, P20160, P07477, Q16651, P35030, O43464, P08246, P05981, P48740, P51124, P00751, P00750, P14210, P07288, P26927, P49862, Q53HP3, P98073, Q15661, Q92743, P00734, Q5JP69, P49863, P06681, P00736, O00187, Q99895, P83110, P24158, Q9Y5Y6, P20151, Q6UWY2, P08311, P00740, P05156, Q04756, P06870, P03951, P00749, P03952, Q9UQ90, P00747, P00746, Q9UL52"	78	222	5570	15.11838762	1.73E-43	1.73E-43	5.55E-43
GOTERM_MF_DIRECT	GO:0008236~serine-type peptidase activity	26	33.33333333	2.06E-39	"O43240, P20231, Q9Y5K2, Q9Y337, Q16651, P07477, P35030, O43464, P05981, P51124, P07288, P49862, Q15661, Q92743, P49863, P00736, P83110, P24158, Q9Y5Y6, Q6UWY2, Q04756, P23946, P10144, P00747, P08709, Q9UL52, P00746"	78	38	5569	48.85087719	1.90E-37	9.49E-38	2.25E-36
KEGG_PATHWAY	hsa04610:Complement and coagulation cascades	19	24.35897436	2.39E-21	"O00187, P04070, P09871, P48740, P00742, P00751, P00750, P00740, P05156, Q53HP3, P03951, P03952, P00749, P00748, P00747, Q5JP69, P00734, P08709, P00746, P00736, P06681"	43	62	3211	22.88409602	1.17E-19	1.17E-19	2.29E-18
INTERPRO	IPR003593:AAA+ ATPase domain	13	16.66666667	1.68E-12	"O75351, O43929, Q9Y230, Q6PIW4, Q9BW62, Q9UBP0, O15381, Q15645, Q13415, Q06609, Q9Y265, Q9UQ90, Q14565"	78	51	5673	18.53921569	1.39E-10	2.79E-11	1.80E-09
SMART	SM00382:AAA	13	16.66666667	5.67E-11	"O75351, O43929, Q9Y230, Q6PIW4, Q9BW62, Q9UBP0, O15381, Q15645, Q13415, Q06609, Q9Y265, Q9UQ90, Q14565"	69	51	3655	13.50241546	1.30E-09	6.52E-10	4.50E-08
INTERPRO	"IPR018056:Kringle, conserved site"	8	10.25641026	4.83E-11	"P00750, P14210, Q04756, P26927, P00749, P00748, P00747, P00734"	78	12	5673	48.48717949	4.01E-09	6.68E-10	5.17E-08
INTERPRO	IPR000001:Kringle	8	10.25641026	4.83E-11	"P00750, P14210, Q04756, P26927, P00749, P00748, P00747, P00734"	78	12	5673	48.48717949	4.01E-09	6.68E-10	5.17E-08
SMART	SM00130:KR	8	10.25641026	4.15E-10	"P00750, P14210, Q04756, P26927, P00749, P00748, P00747, P00734"	69	12	3655	35.31400966	9.54E-09	3.18E-09	3.29E-07
INTERPRO	"IPR003959:ATPase, AAA-type, core"	9	11.53846154	3.31E-10	"Q9UBP0, O15381, O75351, O43929, Q15645, Q13415, Q9UQ90, Q6PIW4, Q9BW62"	78	23	5673	28.45986622	2.75E-08	3.92E-09	3.54E-07
INTERPRO	"IPR013032:EGF-like, conserved site"	12	15.38461538	6.88E-10	"O00187, P48740, P00742, P00750, P00740, P04070, P22891, Q04756, P00749, P00748, P08709, P00736"	78	65	5673	13.42721893	5.71E-08	7.14E-09	7.37E-07
GOTERM_MF_DIRECT	GO:0008233~peptidase activity	11	14.1025641	1.39E-09	"O43464, O00187, Q99895, P48740, P08246, P05981, P08311, Q9Y337, P49862, P20160, Q9UQ90"	78	52	5569	15.10330375	1.28E-07	4.27E-08	1.52E-06
INTERPRO	IPR013806:Kringle-like fold	8	10.25641026	1.82E-09	"P00750, P14210, Q04756, P26927, P00749, P00748, P00747, P00734"	78	18	5673	32.32478632	1.51E-07	1.68E-08	1.95E-06
INTERPRO	IPR001881:EGF-like calcium-binding	10	12.82051282	3.02E-09	"O00187, P48740, P00742, P00740, P04070, P22891, P09871, P00748, P08709, P00736"	78	42	5673	17.31684982	2.50E-07	2.50E-08	3.23E-06
GOTERM_BP_DIRECT	GO:0022617~extracellular matrix disassembly	11	14.1025641	1.69E-09	"P08246, P08311, P20231, Q9Y5K2, P49862, P07477, P23946, P03952, Q15661, Q92743, P20151, P00747"	78	53	5570	14.82099661	7.49E-07	3.74E-07	2.40E-06
REACTOME_PATHWAY	R-HSA-1592389	8	10.25641026	1.12E-08	"P08246, P08311, P20231, P07477, P23946, P03952, Q15661, P20151, P00747"	51	24	3881	25.36601307	7.61E-07	7.61E-07	1.15E-05
