Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
INTERPRO	IPR009003:Trypsin-like cysteine/serine peptidase domain	56	37.58389262	1.54E-89	"O43240, P20231, O60259, P48740, P05981, P07288, P22891, P26927, P00738, P49862, Q15661, P00734, P00736, P06681, O00187, P83110, Q92876, P20151, Q6UWY2, P00742, P00740, P00749, P00748, P00747, P00746, P04070, Q9Y5K2, Q9Y337, P07477, P20160, Q16651, P09871, P20718, P35030, O43464, P08246, P12544, P51124, P00751, P00750, P14210, P98073, Q53HP3, Q92743, Q5JP69, P49863, Q99895, P24158, Q9Y5Y6, P08311, P05156, Q04756, P06870, P03951, P23946, P03952, P10144, P08709, Q9UL52"	1.49E+02	57	5673	37.40586365	3.20E-87	3.20E-87	1.94E-86
SMART	SM00020:Tryp_SPc	53	35.5704698	2.72E-84	"O43240, P20231, O60259, P48740, P05981, P07288, P22891, P26927, P00738, P49862, Q15661, P00734, P00736, P06681, O00187, Q92876, P20151, Q6UWY2, P00742, P00740, P00749, P00748, P00747, P00746, P04070, Q9Y5K2, Q9Y337, P07477, P20160, Q16651, P09871, P20718, P35030, P08246, P12544, P51124, P00751, P00750, P14210, P98073, Q53HP3, Q5JP69, P49863, Q99895, P24158, Q9Y5Y6, P08311, P05156, Q04756, P06870, P03951, P23946, P03952, P10144, P08709, Q9UL52"	1.06E+02	54	3655	33.84259259	1.47E-82	1.47E-82	2.66E-81
INTERPRO	IPR001254:Peptidase S1	53	35.5704698	2.85E-84	"O43240, P20231, O60259, P48740, P05981, P07288, P22891, P26927, P00738, P49862, Q15661, P00734, P00736, P06681, O00187, Q92876, P20151, Q6UWY2, P00742, P00740, P00749, P00748, P00747, P00746, P04070, Q9Y5K2, Q9Y337, P07477, P20160, Q16651, P09871, P20718, P35030, P08246, P12544, P51124, P00751, P00750, P14210, P98073, Q53HP3, Q5JP69, P49863, Q99895, P24158, Q9Y5Y6, P08311, P05156, Q04756, P06870, P03951, P23946, P03952, P10144, P08709, Q9UL52"	1.49E+02	54	5673	37.36875466	5.94E-82	2.97E-82	3.60E-81
INTERPRO	"IPR001314:Peptidase S1A, chymotrypsin-type"	51	34.22818792	8.79E-81	"O43240, P20231, O60259, P48740, P05981, P07288, P26927, P00738, P49862, Q15661, P00734, P00736, P06681, O00187, Q92876, P20151, Q6UWY2, P00742, P00740, P00749, P00748, P00747, P00746, P04070, Q9Y5K2, Q9Y337, P07477, P20160, Q16651, P09871, P20718, P35030, P08246, P12544, P51124, P00751, P00750, P14210, P98073, Q53HP3, Q5JP69, P49863, Q99895, P24158, P08311, P05156, Q04756, P06870, P03951, P23946, P03952, P10144, P08709, Q9UL52"	1.49E+02	52	5673	37.34163655	1.83E-78	6.09E-79	1.11E-77
INTERPRO	"IPR018114:Peptidase S1, trypsin family, active site"	45	30.20134228	1.99E-70	"O43240, P20231, P04070, Q9Y5K2, Q9Y337, O60259, P07477, Q16651, P20718, P35030, P08246, P05981, P12544, P48740, P00751, P51124, P00750, P07288, P49862, Q53HP3, P98073, Q15661, P00734, Q5JP69, P49863, P06681, Q99895, Q92876, P24158, Q9Y5Y6, P20151, Q6UWY2, P08311, P00742, P00740, P05156, Q04756, P06870, P03951, P23946, P00749, P03952, P00748, P10144, P00747, P08709, P00746, Q9UL52"	1.49E+02	46	5673	37.24613364	4.13E-68	1.03E-68	2.51E-67
GOTERM_MF_DIRECT	GO:0004252~serine-type endopeptidase activity	56	37.58389262	1.76E-58	"O43240, P20231, O60259, P48740, P05981, P07288, P22891, P26927, P00738, P49862, Q15661, P00734, P00736, P06681, O00187, P83110, Q92876, P20151, Q6UWY2, P00742, P00740, P00749, P00748, P00747, P00746, P04070, Q9Y5K2, Q9Y337, P07477, P20160, Q16651, P09871, P20718, P35030, O43464, P08246, P12544, P51124, P00751, P00750, P14210, P98073, Q53HP3, Q92743, Q5JP69, P49863, Q99895, P24158, Q9Y5Y6, P08311, P05156, Q04756, P06870, P03951, P23946, P03952, P10144, P08709, Q9UL52"	1.49E+02	118	5569	17.73768627	5.27E-56	5.27E-56	2.35E-55
GOTERM_MF_DIRECT	GO:0008236~serine-type peptidase activity	26	17.44966443	2.04E-31	"O43240, P20231, Q9Y5K2, Q9Y337, Q16651, P07477, P35030, O43464, P05981, P51124, P07288, P49862, Q15661, Q92743, P49863, P00736, P83110, P24158, Q9Y5Y6, Q6UWY2, Q04756, P23946, P10144, P00747, P08709, Q9UL52, P00746"	149	38	5569	25.57294242	6.11E-29	3.06E-29	2.72E-28
GOTERM_BP_DIRECT	GO:0006508~proteolysis	47	31.54362416	5.77E-30	"O43240, P20231, P04070, Q9Y5K2, Q9Y337, O60259, P09871, P20160, P07477, Q16651, P35030, O43464, P08246, P05981, P48740, P51124, P00751, P00750, P14210, P07288, P26927, P49862, Q53HP3, P98073, Q15661, Q92743, P00734, Q5JP69, P49863, P06681, P00736, O00187, Q99895, P83110, Q9UHP3, P24158, Q9Y5Y6, P20151, Q6UWY2, P08311, P00740, P05156, Q04756, P06870, P03951, P00749, P03952, P00747, P00746, Q9UL52"	1.49E+02	222	5570	7.91432372	4.04E-27	4.04E-27	8.70E-27
INTERPRO	"IPR011545:DNA/RNA helicase, DEAD/DEAH box type, N-terminal"	22	14.76510067	5.15E-25	"P26196, Q9UHI6, P54132, O00571, P17844, Q14240, Q9UMR2, P46063, Q9Y2R4, Q13838, P60842, P42285, Q86TM3, O75417, Q9H0S4, O95786, Q9NVP1, Q13206, Q9UJV9, P38919, O94761, O94762"	149	36	5673	23.26733781	1.07E-22	2.14E-23	6.50E-22
INTERPRO	"IPR001650:Helicase, C-terminal"	24	16.10738255	5.94E-23	"Q8IYB8, P26196, Q9UHI6, P54132, O00571, P17844, Q14240, Q9UMR2, P46063, Q9Y2R4, Q13838, P60842, P19447, P42285, Q86TM3, O75417, Q9H0S4, O95786, Q9NVP1, Q9UJV9, Q13206, P38919, O94761, O94762"	149	55	5673	16.61403295	1.24E-20	2.06E-21	7.49E-20
INTERPRO	"IPR014001:Helicase, superfamily 1/2, ATP-binding domain"	24	16.10738255	5.94E-23	"P26196, Q9UHI6, P54132, O00571, P17844, Q14240, Q9UMR2, P46063, Q9Y2R4, Q13838, P60842, P19447, P42285, Q86TM3, O75417, Q9H0S4, O95786, Q9NVP1, Q9UJV9, P38935, Q13206, P38919, O94761, O94762"	149	55	5673	16.61403295	1.24E-20	2.06E-21	7.49E-20
SMART	SM00490:HELICc	24	16.10738255	2.47E-22	"Q8IYB8, P26196, Q9UHI6, P54132, O00571, P17844, Q14240, Q9UMR2, P46063, Q9Y2R4, Q13838, P60842, P19447, P42285, Q86TM3, O75417, Q9H0S4, O95786, Q9NVP1, Q9UJV9, Q13206, P38919, O94761, O94762"	106	55	3655	15.04631218	1.33E-20	6.67E-21	2.42E-19
SMART	SM00487:DEXDc	24	16.10738255	2.47E-22	"P26196, Q9UHI6, P54132, O00571, P17844, Q14240, Q9UMR2, P46063, Q9Y2R4, Q13838, P60842, P19447, P42285, Q86TM3, O75417, Q9H0S4, O95786, Q9NVP1, Q9UJV9, P38935, Q13206, P38919, O94761, O94762"	106	55	3655	15.04631218	1.33E-20	6.67E-21	2.42E-19
GOTERM_MF_DIRECT	GO:0004004~ATP-dependent RNA helicase activity	18	12.08053691	2.56E-19	"Q8IYB8, P26196, Q9UHI6, O00571, P17844, Q14240, Q9UMR2, Q9Y2R4, Q13838, P60842, P42285, Q86TM3, Q9H0S4, Q9NVP1, Q13206, Q9UJV9, P38919, Q92900"	149	32	5569	21.0239094	7.69E-17	2.56E-17	3.43E-16
INTERPRO	"IPR014014:RNA helicase, DEAD-box type, Q motif"	15	10.06711409	3.58E-18	"P26196, Q9UHI6, O00571, Q14240, P17844, Q9UMR2, Q9Y2R4, Q13838, P60842, Q86TM3, Q9H0S4, Q9NVP1, Q13206, Q9UJV9, P38919"	149	21	5673	27.19558965	7.45E-16	1.06E-16	4.52E-15
KEGG_PATHWAY	hsa04610:Complement and coagulation cascades	19	12.75167785	4.45E-17	"O00187, P04070, P09871, P48740, P00742, P00751, P00750, P00740, P05156, Q53HP3, P03951, P03952, P00749, P00748, P00747, Q5JP69, P00734, P08709, P00746, P00736, P06681"	68	62	3211	14.47082543	3.25E-15	3.25E-15	4.65E-14
GOTERM_BP_DIRECT	GO:0010501~RNA secondary structure unwinding	15	10.06711409	1.61E-16	"P26196, Q9UHI6, O00571, Q14240, P17844, Q9UMR2, Q9Y2R4, Q13838, P60842, Q86TM3, Q9H0S4, Q9NVP1, Q13206, Q9UJV9, P38919"	149	25	5570	22.4295302	7.78E-14	3.89E-14	1.67E-13
INTERPRO	"IPR001394:Peptidase C19, ubiquitin carboxyl-terminal hydrolase 2"	14	9.395973154	1.37E-15	"O75317, Q13107, Q9UHP3, O75604, P54578, Q9UK80, Q93008, Q93009, P40818, Q70CQ3, P45974, Q9P2H5, P62068, Q9NQC7"	149	23	5673	23.17537205	2.77E-13	3.46E-14	1.68E-12
INTERPRO	"IPR018200:Peptidase C19, ubiquitin carboxyl-terminal hydrolase 2, conserved site"	14	9.395973154	1.37E-15	"O75317, Q13107, Q9UHP3, O75604, P54578, Q9UK80, Q93008, Q93009, P40818, Q70CQ3, P45974, Q9P2H5, P62068, Q9NQC7"	149	23	5673	23.17537205	2.77E-13	3.46E-14	1.68E-12
INTERPRO	"IPR000629:RNA helicase, ATP-dependent, DEAD-box, conserved site"	11	7.382550336	2.89E-14	"P26196, Q86TM3, Q9H0S4, Q9UHI6, O00571, Q9NVP1, P17844, Q14240, Q13206, P38919, P60842"	149	13	5673	32.21631389	6.00E-12	6.67E-13	3.64E-11
GOTERM_MF_DIRECT	GO:0004386~helicase activity	16	10.73825503	4.00E-14	"Q8IYB8, P26196, P54132, O00571, Q14240, Q9UMR2, Q9Y2R4, P60842, P19447, Q9H0S4, O95786, Q9NVP1, Q13206, Q9UJV9, P38919, Q92900"	149	41	5569	14.58569324	1.20E-11	3.00E-12	5.34E-11
SMART	SM00506:A1pp	9	6.040268456	3.13E-12	"Q8IXQ6, O75367, Q9BQ69, Q9Y530, Q9NXN4, A1Z1Q3, Q460N5, Q460N3, Q9P0M6"	106	9	3655	34.48113208	1.69E-10	5.63E-11	3.06E-09
INTERPRO	IPR002589:Appr-1-p processing	9	6.040268456	1.57E-12	"Q8IXQ6, O75367, Q9BQ69, Q9Y530, Q9NXN4, A1Z1Q3, Q460N5, Q460N3, Q9P0M6"	149	9	5673	38.0738255	3.26E-10	3.26E-11	1.98E-09
GOTERM_MF_DIRECT	GO:0036459~thiol-dependent ubiquitinyl hydrolase activity	11	7.382550336	2.15E-12	"P40818, Q70CQ3, Q13107, Q9P2H5, Q9UHP3, P54578, Q9UK80, P62068, Q93008, Q93009, Q9NQC7"	149	17	5569	24.18436636	6.46E-10	1.29E-10	2.88E-09
GOTERM_BP_DIRECT	GO:0016579~protein deubiquitination	14	9.395973154	5.94E-12	"O75317, Q13107, Q9UHP3, O75604, P54578, Q9UK80, Q93008, Q93009, P40818, Q70CQ3, P45974, Q9P2H5, P62068, Q9NQC7"	149	38	5570	13.77251854	4.16E-09	1.39E-09	8.95E-09
GOTERM_MF_DIRECT	GO:0004843~thiol-dependent ubiquitin-specific protease activity	14	9.395973154	1.26E-10	"O75317, Q13107, Q9UHP3, O75604, P54578, Q9UK80, Q93008, Q93009, P40818, Q70CQ3, P45974, Q9P2H5, P62068, Q9NQC7"	149	47	5569	11.13322862	3.77E-08	6.29E-09	1.68E-07
SMART	SM00130:KR	8	5.369127517	9.31E-09	"P00750, P14210, Q04756, P26927, P00749, P00748, P00747, P00734"	106	12	3655	22.98742138	5.03E-07	1.26E-07	9.12E-06
INTERPRO	IPR000001:Kringle	8	5.369127517	5.07E-09	"P00750, P14210, Q04756, P26927, P00749, P00748, P00747, P00734"	149	12	5673	25.38255034	1.05E-06	9.59E-08	6.40E-06
INTERPRO	"IPR018056:Kringle, conserved site"	8	5.369127517	5.07E-09	"P00750, P14210, Q04756, P26927, P00749, P00748, P00747, P00734"	149	12	5673	25.38255034	1.05E-06	9.59E-08	6.40E-06
REACTOME_PATHWAY	R-HSA-159740	6	4.026845638	1.99E-07	"P00742, P00740, P04070, P22891, P00734, P08709"	83	8	3881	35.06927711	2.88E-05	2.88E-05	2.36E-04
REACTOME_PATHWAY	R-HSA-159763	6	4.026845638	1.99E-07	"P00742, P00740, P04070, P22891, P00734, P08709"	83	8	3881	35.06927711	2.88E-05	2.88E-05	2.36E-04
INTERPRO	IPR013806:Kringle-like fold	8	5.369127517	1.79E-07	"P00750, P14210, Q04756, P26927, P00749, P00748, P00747, P00734"	149	18	5673	16.92170022	3.71E-05	3.10E-06	2.25E-04
SMART	SM00069:GLA	6	4.026845638	9.31E-07	"P00742, P00740, P04070, P22891, P00734, P08709"	106	8	3655	25.86084906	5.03E-05	1.01E-05	9.12E-04
REACTOME_PATHWAY	R-HSA-1592389	8	5.369127517	3.76E-07	"P08246, P08311, P20231, P07477, P23946, P03952, Q15661, P20151, P00747"	83	24	3881	15.58634538	5.45E-05	2.73E-05	4.46E-04
GOTERM_MF_DIRECT	GO:0003676~nucleic acid binding	22	14.76510067	2.01E-07	"P26196, Q9UHI6, O00571, P17844, Q9BQ50, Q14240, Q9UMR2, P46063, Q9Y2R4, Q13838, P60842, Q8N1G2, Q9H0S4, O95786, Q9UIV1, O43414, Q9NVP1, Q96AZ6, Q9UJV9, P38919, O94761, O94762"	149	217	5569	3.789255559	6.04E-05	8.63E-06	2.69E-04
REACTOME_PATHWAY	R-HSA-159782	6	4.026845638	4.39E-07	"P00742, P00740, P04070, P22891, P00734, P08709"	83	9	3881	31.17269076	6.37E-05	2.12E-05	5.22E-04
REACTOME_PATHWAY	R-HSA-381426	7	4.697986577	5.01E-07	"P08311, P07288, P06870, P20718, P20151, P00747, P00734"	83	16	3881	20.45707831	7.26E-05	1.81E-05	5.94E-04
SMART	SM00179:EGF_CA	10	6.711409396	1.91E-06	"O00187, P48740, P00742, P00740, P04070, P22891, P09871, P00748, P08709, P00736"	106	42	3655	8.209793351	1.03E-04	1.72E-05	1.87E-03
INTERPRO	"IPR017857:Coagulation factor, subgroup, Gla domain"	6	4.026845638	5.94E-07	"P00742, P00740, P04070, P22891, P00734, P08709"	149	8	5673	28.55536913	1.24E-04	9.51E-06	7.49E-04
INTERPRO	IPR000294:Gamma-carboxyglutamic acid-rich (GLA) domain	6	4.026845638	5.94E-07	"P00742, P00740, P04070, P22891, P00734, P08709"	149	8	5673	28.55536913	1.24E-04	9.51E-06	7.49E-04
INTERPRO	"IPR013032:EGF-like, conserved site"	12	8.053691275	7.01E-07	"O00187, P48740, P00742, P00750, P00740, P04070, P22891, Q04756, P00749, P00748, P08709, P00736"	149	65	5673	7.029013939	1.46E-04	1.04E-05	8.84E-04
GOTERM_BP_DIRECT	GO:0017187~peptidyl-glutamic acid carboxylation	6	4.026845638	2.49E-07	"P00742, P00740, P04070, P22891, P00734, P08709"	149	7	5570	32.042186	1.75E-04	4.37E-05	3.76E-04
INTERPRO	IPR001881:EGF-like calcium-binding	10	6.711409396	9.39E-07	"O00187, P48740, P00742, P00740, P04070, P22891, P09871, P00748, P08709, P00736"	149	42	5673	9.065196548	1.95E-04	1.30E-05	1.18E-03
INTERPRO	IPR027417:P-loop containing nucleoside triphosphate hydrolase	27	18.12080537	1.03E-06	"P54132, O00571, Q14240, Q9Y2R4, P42285, Q86TM3, O75417, P38935, P38919, Q92900, O94761, O94762, P26196, Q8IYB8, Q9UHI6, P17844, P46063, Q9UMR2, Q13838, P19447, P60842, P18074, O95786, Q9H0S4, Q9NVP1, Q13206, Q9UJV9"	149	353	5673	2.912162291	2.14E-04	1.34E-05	1.30E-03
REACTOME_PATHWAY	R-HSA-140837	7	4.697986577	1.61E-06	"P00742, P00740, P04070, P03951, P03952, P00748, P00734"	83	19	3881	17.22701332	2.34E-04	4.68E-05	1.91E-03
GOTERM_MF_DIRECT	GO:0008233~peptidase activity	11	7.382550336	7.88E-07	"O43464, O00187, P48740, Q99895, P08246, P05981, P08311, Q9Y337, P49862, Q9UHP3, P20160"	149	52	5569	7.906427465	2.36E-04	2.96E-05	1.05E-03
KEGG_PATHWAY	hsa05150:Staphylococcus aureus infection	9	6.040268456	3.27E-06	"O00187, P48740, P00751, P05156, P09871, Q53HP3, P00747, Q5JP69, P00746, P06681, P00736"	68	46	3211	9.238810742	2.39E-04	1.19E-04	3.41E-03
BIOCARTA	h_compPathway:Complement Pathway	7	4.697986577	6.88E-06	"O00187, P48740, P00751, P09871, Q53HP3, Q5JP69, P00746, P06681, P00736"	32	19	1085	12.49177632	2.75E-04	2.75E-04	6.30E-03
INTERPRO	IPR003609:Apple-like	5	3.355704698	2.18E-06	"P14210, P26927, P03951, P03952, P00747"	149	5	5673	38.0738255	4.53E-04	2.67E-05	2.75E-03
INTERPRO	"IPR012224:Peptidase S1A, coagulation factor VII/IX/X/C/Z"	5	3.355704698	2.18E-06	"P00742, P00740, P04070, P22891, P08709"	149	5	5673	38.0738255	4.53E-04	2.67E-05	2.75E-03
