Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
INTERPRO	"IPR014001:Helicase, superfamily 1/2, ATP-binding domain"	20	57.14285714	2.82E-31	"P26196, Q9UHI6, P54132, O00571, P17844, Q9UMR2, P46063, Q13838, P60842, P19447, P42285, Q86TM3, O75417, O95786, O43143, P38935, P38919, Q9UPY3, O94761, O94762"	35	55	5673	58.94025974	1.72E-29	1.72E-29	2.84E-28
INTERPRO	"IPR001650:Helicase, C-terminal"	20	57.14285714	2.82E-31	"Q8IYB8, P26196, Q9UHI6, P54132, O00571, P17844, Q9UMR2, P46063, Q13838, P60842, P19447, P42285, Q86TM3, O75417, O95786, O43143, P38919, Q9UPY3, O94761, O94762"	35	55	5673	58.94025974	1.72E-29	1.72E-29	2.84E-28
INTERPRO	"IPR011545:DNA/RNA helicase, DEAD/DEAH box type, N-terminal"	18	51.42857143	1.06E-30	"P26196, Q9UHI6, P54132, O00571, P17844, Q9UMR2, P46063, Q13838, P60842, P42285, Q86TM3, O75417, O95786, O43143, P38919, Q9UPY3, O94761, O94762"	35	36	5673	81.04285714	6.45E-29	3.22E-29	1.06E-27
SMART	SM00490:HELICc	20	57.14285714	3.54E-29	"Q8IYB8, P26196, Q9UHI6, P54132, O00571, P17844, Q9UMR2, P46063, Q13838, P60842, P19447, P42285, Q86TM3, O75417, O95786, O43143, P38919, Q9UPY3, O94761, O94762"	31	55	3655	42.87390029	6.72E-28	6.72E-28	2.65E-26
SMART	SM00487:DEXDc	20	57.14285714	3.54E-29	"P26196, Q9UHI6, P54132, O00571, P17844, Q9UMR2, P46063, Q13838, P60842, P19447, P42285, Q86TM3, O75417, O95786, O43143, P38935, P38919, Q9UPY3, O94761, O94762"	31	55	3655	42.87390029	6.72E-28	6.72E-28	2.65E-26
INTERPRO	IPR027417:P-loop containing nucleoside triphosphate hydrolase	25	71.42857143	3.85E-22	"O60306, P54132, O00571, P42285, Q86TM3, O75417, P38935, P38919, Q9UPY3, Q92900, O94761, O94762, Q9H611, P26196, Q8IYB8, Q9UHI6, P17844, P46063, Q9UMR2, Q13838, P19447, P60842, P18074, O95786, O43143"	35	353	5673	11.47915824	2.35E-20	7.83E-21	3.87E-19
GOTERM_MF_DIRECT	GO:0004004~ATP-dependent RNA helicase activity	13	37.14285714	6.23E-20	"P26196, P42285, Q8IYB8, Q86TM3, O43143, Q9UHI6, O00571, P17844, Q9UMR2, P38919, Q92900, Q13838, P60842"	35	32	5569	64.64017857	7.04E-18	7.04E-18	7.07E-17
INTERPRO	IPR002589:Appr-1-p processing	9	25.71428571	6.14E-18	"Q8IXQ6, O75367, Q9BQ69, Q9Y530, Q9NXN4, A1Z1Q3, Q460N5, Q460N3, Q9P0M6"	35	9	5673	162.0857143	3.75E-16	9.37E-17	6.18E-15
SMART	SM00506:A1pp	9	25.71428571	6.68E-17	"Q8IXQ6, O75367, Q9BQ69, Q9Y530, Q9NXN4, A1Z1Q3, Q460N5, Q460N3, Q9P0M6"	31	9	3655	117.9032258	2.11E-15	1.11E-15	7.77E-14
GOTERM_MF_DIRECT	GO:0004386~helicase activity	11	31.42857143	1.66E-14	"Q8IYB8, P26196, O95786, P54132, O00571, Q9UMR2, Q9UPY3, P38919, Q92900, P19447, P60842"	35	41	5569	42.68919861	1.88E-12	9.41E-13	1.89E-11
INTERPRO	"IPR014014:RNA helicase, DEAD-box type, Q motif"	9	25.71428571	1.32E-13	"P26196, Q86TM3, Q9UHI6, O00571, P17844, Q9UMR2, P38919, Q13838, P60842"	35	21	5673	69.46530612	8.07E-12	1.61E-12	1.33E-10
GOTERM_MF_DIRECT	GO:0005524~ATP binding	24	68.57142857	2.19E-13	"Q9H611, P26196, Q8IYB8, Q9UHI6, P54132, O00571, P17844, Q9UMR2, P46063, Q13838, P60842, P19447, P42285, P18074, Q86TM3, O75417, O95786, O43143, P38935, P38919, Q9UPY3, Q92900, O94761, O94762"	35	725	5569	5.267231527	2.48E-11	8.25E-12	2.49E-10
GOTERM_BP_DIRECT	GO:0010501~RNA secondary structure unwinding	9	25.71428571	8.00E-13	"P26196, Q86TM3, Q9UHI6, O00571, P17844, Q9UMR2, P38919, Q13838, P60842"	35	25	5570	57.29142857	2.13E-10	2.13E-10	1.05E-09
INTERPRO	"IPR000629:RNA helicase, ATP-dependent, DEAD-box, conserved site"	7	20	4.85E-11	"P26196, Q86TM3, Q9UHI6, O00571, P17844, P38919, P60842"	35	13	5673	87.27692308	2.96E-09	4.93E-10	4.88E-08
GOTERM_BP_DIRECT	GO:0032508~DNA duplex unwinding	8	22.85714286	1.77E-10	"Q9H611, Q8IYB8, P54132, O00571, P46063, P38935, O94761, O94762"	35	28	5570	45.46938776	4.71E-08	2.36E-08	2.32E-07
GOTERM_MF_DIRECT	GO:0003676~nucleic acid binding	12	34.28571429	3.17E-08	"P26196, O95786, Q9UHI6, O00571, P17844, Q9UMR2, P46063, P38919, O94761, Q13838, O94762, P60842"	35	217	5569	8.798946675	3.59E-06	8.96E-07	3.60E-05
GOTERM_BP_DIRECT	GO:0006310~DNA recombination	7	20	1.95E-07	"Q9H611, Q8IYB8, P54132, P46063, P38935, O94761, O94762"	35	44	5570	25.31818182	5.18E-05	1.73E-05	2.55E-04
GOTERM_MF_DIRECT	GO:0008026~ATP-dependent helicase activity	5	14.28571429	1.11E-06	"P54132, P46063, P38935, O94761, O94762"	35	14	5569	56.82653061	1.25E-04	2.51E-05	0.001260921
GOTERM_BP_DIRECT	GO:0006281~DNA repair	9	25.71428571	1.44E-06	"Q9H611, O75417, P54132, P46063, P38935, Q92900, O94761, O94762, P19447"	35	141	5570	10.15805471	3.83E-04	9.57E-05	0.001887688
GOTERM_MF_DIRECT	GO:0003678~DNA helicase activity	5	14.28571429	1.51E-06	"Q9H611, Q8IYB8, P46063, P38935, O94762"	35	15	5569	53.03809524	1.70E-04	2.84E-05	0.001712021
INTERPRO	"IPR004589:DNA helicase, ATP-dependent, RecQ type"	4	11.42857143	1.95E-06	"P54132, P46063, O94761, O94762"	35	5	5673	129.6685714	1.19E-04	1.70E-05	0.001962569
GOTERM_MF_DIRECT	GO:0043140~ATP-dependent 3'-5' DNA helicase activity	4	11.42857143	2.06E-06	"P54132, P46063, O94761, O94762"	35	5	5569	127.2914286	2.33E-04	3.33E-05	0.002341883
GOTERM_MF_DIRECT	GO:0009378~four-way junction helicase activity	4	11.42857143	2.06E-06	"P54132, P46063, O94761, O94762"	35	5	5569	127.2914286	2.33E-04	3.33E-05	0.002341883
GOTERM_MF_DIRECT	GO:0004003~ATP-dependent DNA helicase activity	5	14.28571429	2.61E-06	"P18074, P54132, O00571, P46063, P19447"	35	17	5569	46.79831933	2.94E-04	3.68E-05	0.002959364
GOTERM_MF_DIRECT	GO:0003724~RNA helicase activity	4	11.42857143	1.14E-05	"P26196, P42285, O43143, P17844"	35	8	5569	79.55714286	0.001288093	1.43E-04	0.012950325
INTERPRO	"IPR002464:DNA/RNA helicase, ATP-dependent, DEAH-box type, conserved site"	4	11.42857143	2.29E-05	"P18074, O43143, P54132, O94762"	35	10	5673	64.83428571	0.001398492	1.75E-04	0.023069977
GOTERM_MF_DIRECT	GO:0003677~DNA binding	13	37.14285714	4.98E-05	"Q8IYB8, O75367, P18074, O75417, P54132, Q9UHI6, O00571, P46063, P38935, Q92900, Q9P0M6, O94762, P19447"	35	545	5569	3.795386632	0.005614765	5.63E-04	0.056560409
GOTERM_MF_DIRECT	GO:0003725~double-stranded RNA binding	5	14.28571429	1.32E-04	"Q8IYB8, O95786, O43143, Q9UPY3, P60842"	35	44	5569	18.08116883	0.014840233	0.001358299	0.150120111
GOTERM_BP_DIRECT	GO:0042278~purine nucleoside metabolic process	3	8.571428571	2.15E-04	"Q9BQ69, Q9Y530, A1Z1Q3"	35	4	5570	119.3571429	0.055683254	0.011393325	0.282142367
GOTERM_MF_DIRECT	GO:0036310~annealing helicase activity	3	8.571428571	3.58E-04	"P54132, P46063, O94761"	35	5	5569	95.46857143	0.039620765	0.003363251	0.405388901
GOTERM_BP_DIRECT	GO:0000733~DNA strand renaturation	3	8.571428571	5.34E-04	"P54132, P46063, O94761"	35	6	5570	79.57142857	0.132519486	0.023415213	0.698615308
