Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
INTERPRO	"IPR000719:Protein kinase, catalytic domain"	246	32.71276596	9.78E-174	"Q99558, Q99986, Q9NYL2, Q96GX5, P41240, Q9HCP0, Q99683, O43293, Q9UQM7, Q9NYY3, O43781, P27037, Q96SB4, Q9BUB5, Q13464, Q8IVH8, Q59H18, Q13555, Q07912, Q13554, Q13557, P06239, Q8IVW4, Q15208, P52564, P17252, Q2M2I8, Q15303, Q9UKE5, Q9NRH2, P41743, P37023, P43403, P31751, P43405, P49674, P21802, P06241, Q8IU85, P07949, P07948, O75385, P35590, P27361, P24941, Q13976, Q5VST9, P80192, P04049, Q05397, Q04912, O75582, P00533, Q9BYP7, P31749, P11309, Q8NB16, P36897, Q9Y6E0, P16234, Q06187, Q01974, Q96RG2, O15075, Q13523, O00444, P53667, Q15759, Q6VAB6, Q8IV63, Q99640, Q15375, O15264, O75460, O14757, P49759, Q9H2G2, P05771, D3DSX2, Q15772, Q08881, Q15418, O75716, P37173, Q13418, P08922, P49761, O00311, O95747, P24723, Q9Y5S2, P53671, Q15831, P29317, P23443, Q8WZ42, P11362, P68400, O76039, Q13546, P33981, Q9H792, Q9NSY1, P08631, P29320, P29323, P29322, P41279, P43250, P36888, Q9P0L2, Q8N2I9, P23458, P51812, P51813, P51955, O43353, Q7RTN6, Q04759, Q16620, Q15746, Q6PHR2, P15735, P30291, Q9UHD2, Q9NWZ3, Q14289, Q9UM73, P53778, P53779, P32298, Q96PY6, P54753, Q02763, Q9H4A3, Q04771, O15530, Q8WU08, P06213, P36507, P54756, P15056, P49137, Q13153, Q9HBH9, P0C1S8, Q16288, Q05823, P54762, Q14680, Q9H4B4, P54760, P45984, P45985, Q16539, P45983, O14920, Q12852, Q5TCY1, P49336, Q02750, Q06418, O95819, O60674, Q16644, P28482, P35916, O94768, Q13131, P22607, P19525, P48729, O14936, P34947, Q96NX5, Q16659, Q5TCX8, P54646, Q16512, Q16513, O14733, Q13043, P12931, P78362, Q9Y6M4, Q96RU8, Q13188, P48730, P52333, P53350, P53355, Q00536, Q00535, Q00534, P17612, Q00532, P25098, Q86YV6, Q12866, Q86YV5, P49841, P22455, P17948, P00519, O94804, P08069, P35968, Q13627, Q9P1W9, Q8TDX7, Q86Y07, Q92772, P78368, P07332, P07333, Q13882, P08581, Q13164, P50750, P50613, Q96KB5, O14965, Q09013, O15111, Q9NYV4, P42684, P04626, P51617, P04629, Q13873, O43683, Q8TF76, O96013, Q86UE8, O96017, Q16566, Q9UIK4, O14976, O00141, Q96RR4, P10721, Q14012, O00238, Q9NZJ5, P29597, P21860, Q08345"	749	302	5673	6.169630147	7.84E-171	7.84E-171	1.50E-170
INTERPRO	IPR011009:Protein kinase-like domain	250	33.24468085	7.40E-168	"Q99558, Q99986, Q9NYL2, Q96GX5, P41240, Q9HCP0, Q99683, O43293, Q9UQM7, Q9NYY3, O43781, P27037, Q96SB4, Q9BUB5, Q13464, Q8NI60, Q8IVH8, Q59H18, Q13555, Q07912, Q13554, Q13557, P06239, Q8IVW4, Q15208, P52564, P17252, Q2M2I8, Q15303, Q9UKE5, Q9NRH2, P41743, P37023, P43403, P31751, P43405, P49674, P21802, P06241, Q8IU85, P07949, P07948, O75385, P35590, P27361, P24941, Q13976, Q5VST9, P80192, P04049, Q05397, Q04912, O75582, P00533, Q9BYP7, P31749, P11309, Q8NB16, P36897, Q9Y6E0, P16234, Q06187, Q01974, Q96RG2, O15075, Q13523, O00444, P53667, Q15759, Q6VAB6, Q8IV63, Q99640, Q15375, O15264, O75460, O14757, P49759, Q9H2G2, P05771, D3DSX2, Q15772, Q08881, Q15418, O75716, P37173, Q13418, P08922, P49761, O00311, O95747, P24723, Q9Y5S2, P53671, Q15831, P29317, P23443, Q8WZ42, P11362, P68400, O76039, Q13546, P33981, Q9H792, Q9NSY1, P08631, P29320, P29323, P29322, P41279, P43250, P36888, Q9P0L2, Q8N2I9, P23458, P51812, P51813, P51955, O43353, Q7RTN6, Q04759, Q16620, Q15746, Q6PHR2, P15735, P30291, Q9UHD2, Q9NWZ3, Q14289, Q9UM73, P53778, P53779, P32298, Q96PY6, P54753, Q02763, Q9H4A3, Q04771, O15530, Q8WU08, P06213, P36507, P54756, P15056, P49137, Q13153, Q9HBH9, P0C1S8, Q16288, Q05823, P54762, Q14680, Q9H4B4, P54760, P45984, P45985, Q16539, P45983, P35790, O14920, Q12852, Q5TCY1, P49336, Q02750, Q06418, O95819, O60674, Q16644, P28482, P35916, O94768, Q13131, P22607, P19525, P48729, O14936, P34947, Q96NX5, Q16659, Q5TCX8, P54646, Q9Y259, Q16512, Q16513, O14733, Q13043, P12931, P78362, Q9Y6M4, Q96RU8, Q13188, P48730, P52333, P53350, P53355, Q00536, Q00535, Q00534, P17612, Q00532, P25098, Q86YV6, Q12866, Q86YV5, P49841, P22455, P17948, P00519, O94804, P08069, P35968, Q13627, Q9P1W9, Q8TDX7, Q86Y07, Q92772, P78368, P07332, P07333, Q13882, P08581, Q13164, P50750, P50613, Q96KB5, O14965, Q09013, O15111, Q9NYV4, P42684, P04626, P51617, P04629, Q13873, O43683, Q8TF76, O96013, Q86UE8, O96017, Q16566, Q9UIK4, O14976, O00141, Q96RR4, P10721, Q14012, O00238, Q9NZJ5, P29597, Q9BRS2, P21860, Q08345"	749	321	5673	5.89883084	5.93E-165	2.97E-165	1.14E-164
INTERPRO	"IPR017441:Protein kinase, ATP binding site"	206	27.39361702	2.23E-146	"Q99558, Q99986, P41240, Q9HCP0, Q99683, O43293, Q9UQM7, Q9NYY3, O43781, Q96SB4, Q9BUB5, Q13464, Q8IVH8, Q59H18, Q13555, Q07912, Q13554, Q13557, Q8IVW4, P06239, Q15208, P52564, P17252, Q15303, Q9UKE5, Q9NRH2, P41743, P37023, P43403, P31751, P43405, P49674, P21802, P06241, Q8IU85, P07949, P07948, O75385, P35590, P27361, P24941, Q13976, Q5VST9, P80192, P04049, Q05397, Q04912, O75582, P00533, P31749, P11309, P36897, Q9Y6E0, P16234, Q06187, O15075, Q96RG2, O00444, P53667, Q15759, Q99640, Q15375, O15264, O14757, P49759, Q9H2G2, P05771, D3DSX2, Q15772, Q08881, Q15418, P37173, P08922, P49761, O00311, O95747, P24723, Q9Y5S2, P53671, Q15831, P29317, P23443, P11362, P68400, O76039, P33981, P08631, P29320, P29323, P29322, P43250, Q9P0L2, P36888, P23458, P51812, P51813, Q04759, Q16620, Q15746, Q6PHR2, P15735, P30291, Q9UHD2, Q14289, Q9UM73, P53778, P54753, Q96PY6, P32298, Q02763, Q04771, O15530, Q8WU08, P06213, P36507, P15056, P54756, P49137, Q13153, Q9HBH9, P0C1S8, Q16288, Q14680, P54762, Q9H4B4, P54760, P45985, Q16539, Q5TCY1, P49336, Q02750, Q06418, O95819, O60674, Q16644, P28482, O94768, P35916, Q13131, P22607, P19525, P48729, P34947, Q96NX5, Q16659, Q5TCX8, P54646, Q16512, Q16513, Q13043, P12931, P78362, Q9Y6M4, Q13188, P48730, P52333, P53350, P53355, Q00536, Q00535, Q00534, P17612, Q00532, P25098, Q86YV6, Q12866, P49841, P22455, P17948, P00519, O94804, P08069, P35968, Q13627, Q8TDX7, Q9P1W9, Q92772, P78368, P07332, Q13882, P07333, P08581, Q13164, P50750, O14965, P50613, Q09013, O15111, Q9NYV4, P42684, P51617, P04626, P04629, Q13873, O43683, Q8TF76, O96013, Q86UE8, Q16566, Q9UIK4, O00141, Q96RR4, P10721, Q14012, O00238, Q9NZJ5, P29597"	749	248	5673	6.291388518	1.79E-143	5.97E-144	3.43E-143
GOTERM_MF_DIRECT	GO:0005524~ATP binding	322	42.81914894	7.79E-116	"Q99558, Q9NYL2, Q99986, Q96GX5, P41240, Q9HCP0, Q99683, O43293, Q9UQM7, P00568, Q9NYY3, O43781, P27037, Q96SB4, P26196, Q9BUB5, O95255, Q13464, Q8NI60, O95786, Q8IVH8, P47900, Q59H18, Q13555, Q07912, Q13206, Q13554, Q13557, P06239, Q8IVW4, Q15208, P52564, P17252, Q2M2I8, Q9UKE5, Q15303, P20585, Q9NRH2, P13569, P41743, P37023, P43403, P43405, P31751, P49674, P21802, P06241, Q8IU85, Q92900, P07949, P07948, Q9UHL0, Q8NE71, O75385, Q9BUQ8, P35590, P27361, P24941, Q13976, Q5VST9, P80192, Q13838, P04049, Q05397, Q04912, O75582, P00533, Q16854, Q9BYP7, P31749, P11309, Q8NB16, P36897, P16234, Q9Y6E0, Q06187, Q01974, Q96RG2, O15075, Q14191, Q13523, Q9NRF8, Q86TM3, O00444, P53667, Q15759, Q9UNQ0, Q6VAB6, Q8IV63, Q99640, Q15375, Q14565, O15264, O75460, O14757, P49759, Q9H2G2, P05771, D3DSX2, P19447, Q15772, Q08881, Q15418, O75716, P37173, Q13418, P08922, P49761, Q9NVP1, O00311, O95747, P23677, P24723, Q9Y5S2, P53671, Q15831, P29317, P23443, Q8WZ42, P11362, P30085, P68400, Q9Y2R4, O76039, Q13546, P42285, P33981, Q9H792, Q9NSY1, P08631, P29320, P29323, P29322, P41279, P43250, P36888, Q8N2I9, Q9P0L2, P23458, P51812, P51813, P51955, O43353, Q9UMR2, Q7RTN6, Q16620, Q04759, Q15746, P18074, Q6PHR2, P15735, P43246, P30291, Q9Y3D8, Q9UHD2, P52701, Q9NWZ3, Q14289, Q9UM73, O00571, P53778, Q9Y230, P49915, P53779, P32298, Q96PY6, P54753, Q02763, Q9H4A3, O15530, Q04771, O75417, Q9NRK6, Q8WU08, P38935, P06213, P36507, P54756, P15056, P49137, Q8IYB8, Q13153, Q9HBH9, P49903, P0C1S8, P17844, Q16288, Q05823, P60842, P54762, Q14680, Q9H4B4, P54760, P45984, P45985, Q16539, P45983, P35790, O14920, Q12852, P54132, Q5TCY1, P49336, Q02750, Q06418, O95819, Q9H222, Q9H221, Q16644, P22102, O60674, P28482, P35916, O94768, O94761, Q9NUT2, O94762, Q9H611, Q13131, P22607, P19525, P48729, O14936, P34947, Q96NX5, Q16659, Q5TCX8, P54646, Q9Y259, Q16512, Q16513, Q06609, O14733, Q14562, P17812, Q13043, P12931, P78362, Q9Y6M4, Q96RU8, Q14240, Q13188, P48730, P52333, P53350, Q08211, P53355, Q00536, Q00535, Q00534, Q9NP58, P17612, Q9Y265, Q00532, P25098, Q86YV6, Q16875, Q12866, Q86YV5, P49841, Q9UHI6, Q9BTU6, P22455, P17948, P00519, O94804, P08069, P35968, P23919, O43143, Q13627, Q9P1W9, Q8TDX7, Q92772, Q86Y07, P78368, Q9UIJ7, P07332, P07333, Q13882, P08581, Q03519, Q03518, P50750, Q13164, P50613, O14965, Q96KB5, Q09013, O15111, Q9NYV4, P42684, P27707, P04626, P51617, P04629, Q13873, Q9UPY3, Q9Y6K8, P38919, Q8TF76, O43683, O96013, Q86UE8, O96017, P46063, Q9UIK4, Q16566, Q96RR4, O00141, O14976, P10721, Q9NWW6, Q14012, O00238, P29597, Q9H0S4, P08183, Q9NZJ5, Q9BRS2, P21860, Q9UJV9, Q08345"	734	725	5569	3.369760406	7.03E-113	7.03E-113	1.22E-112
GOTERM_MF_DIRECT	GO:0004672~protein kinase activity	166	22.07446809	1.22E-106	"P24385, Q9UHD2, Q9NWZ3, Q99558, Q99986, P53778, P53779, Q9HCP0, Q96PY6, Q02763, Q9H4A3, O15530, Q04771, Q99683, O43293, Q9UQM7, O43781, P36507, P15056, Q96SB4, P49137, P13501, P80075, Q13153, Q9BUB5, P13500, Q9HBH9, Q13464, P0C1S8, Q05823, Q14680, Q8NI60, Q8IVH8, P45984, Q59H18, P45985, Q07912, Q16539, Q13554, Q8IVW4, P52564, P17252, O14920, Q5TCY1, Q12852, P49336, Q2M2I8, Q02750, Q9UKE5, O95819, Q9NRH2, P41743, Q16644, O60674, P31751, P43405, P49674, O94768, P07949, Q13131, P19525, P48729, O14936, P24941, Q5VST9, P80192, P04049, P54646, Q05397, Q16512, Q16513, O75582, P00533, O14733, Q9BYP7, P31749, Q8NB16, P36897, Q13043, P12931, P78362, Q9Y6M4, Q96RU8, Q9Y6E0, P16234, Q06187, Q13188, Q01974, P48730, O15075, Q96RG2, Q13523, P53350, P53667, P53355, Q15759, Q00536, Q00535, Q6VAB6, Q8IV63, Q99640, Q00532, O15264, P25098, O14757, P49759, Q86YV5, P49841, P05771, P00519, P19447, Q15418, O75716, Q13418, P49761, Q13627, O00311, Q9P1W9, Q8TDX7, P24723, Q86Y07, Q92772, Q9Y5S2, P78368, P53671, Q15831, P23443, Q8WZ42, P08581, Q13164, P50750, P68400, P50613, O14965, Q96KB5, Q09013, O15111, O76039, Q9NYV4, Q13546, P42684, Q9NSY1, P51617, P04626, P41279, Q8TF76, O43683, P51812, O96013, P51955, O96017, Q9UIK4, Q16566, O14976, Q7RTN6, Q04759, Q14012, P18074, Q6PHR2, Q9NZJ5, P29597, P15735, P21860, Q08345, P10147, P30291"	734	215	5569	5.858019137	1.10E-103	5.50E-104	1.90E-103
SMART	SM00220:S_TKc	176	23.40425532	3.86E-104	"Q9UHD2, Q9NWZ3, Q99558, Q99986, Q9NYL2, Q96GX5, P53778, P53779, Q9HCP0, Q96PY6, P32298, Q02763, Q9H4A3, O15530, Q04771, Q99683, O43293, Q9UQM7, Q8WU08, Q9NYY3, O43781, P36507, P27037, P15056, Q96SB4, P49137, Q13153, Q9BUB5, Q9HBH9, Q13464, P0C1S8, Q05823, Q14680, Q9H4B4, Q8IVH8, Q13555, P45984, P45985, Q16539, Q13554, Q13557, P45983, Q8IVW4, Q15208, P52564, P17252, O14920, Q5TCY1, Q12852, P49336, Q2M2I8, Q02750, Q9UKE5, O95819, Q9NRH2, P41743, Q16644, P31751, P49674, P28482, O94768, Q8IU85, Q13131, O75385, P19525, P48729, P27361, P24941, Q13976, P34947, Q5VST9, Q96NX5, P80192, P04049, Q16659, Q5TCX8, P54646, Q16512, Q16513, O75582, O14733, Q9BYP7, P31749, P11309, P36897, Q13043, P78362, Q9Y6M4, Q96RU8, Q9Y6E0, P16234, Q13188, P48730, O15075, Q96RG2, Q13523, P53350, P53355, Q15759, Q00536, Q00535, Q00534, Q6VAB6, P17612, Q8IV63, Q99640, Q00532, P25098, O15264, O75460, Q86YV6, O14757, P49759, Q86YV5, P49841, Q9H2G2, P05771, O94804, Q15772, Q15418, O75716, P37173, P49761, O95747, Q13627, O00311, Q9P1W9, Q8TDX7, P24723, Q86Y07, Q92772, Q9Y5S2, P78368, Q15831, P23443, Q13164, P50750, P68400, P50613, O14965, Q96KB5, Q09013, O15111, Q9NYV4, O76039, Q13546, P33981, Q9H792, Q9NSY1, P51617, P41279, P43250, Q8N2I9, Q9P0L2, Q8TF76, O43683, P51812, O96013, Q86UE8, P51955, O43353, O96017, Q9UIK4, Q16566, O14976, Q96RR4, O00141, Q7RTN6, Q04759, Q14012, Q15746, O00238, Q6PHR2, Q9NZJ5, P15735, P30291"	617	216	3655	4.826820337	6.33E-102	6.33E-102	4.68E-101
INTERPRO	"IPR008271:Serine/threonine-protein kinase, active site"	154	20.4787234	5.18E-104	"Q99558, Q99986, Q9NYL2, Q96GX5, P53779, Q9HCP0, Q96PY6, P32298, Q9H4A3, O15530, Q04771, Q99683, O43293, Q9UQM7, Q8WU08, Q9NYY3, O43781, P36507, P27037, P15056, Q96SB4, P49137, Q13153, Q9BUB5, Q9HBH9, Q13464, P0C1S8, Q14680, Q9H4B4, Q13555, P45984, P45985, Q13554, Q13557, P45983, Q8IVW4, Q15208, P52564, P17252, O14920, Q12852, P49336, Q2M2I8, Q02750, Q9UKE5, O95819, Q9NRH2, P41743, P37023, Q16644, P31751, P49674, P28482, O94768, Q8IU85, Q13131, O75385, P19525, P48729, P27361, P24941, Q13976, Q5VST9, Q96NX5, P80192, P04049, Q16659, Q5TCX8, P54646, Q16512, O75582, Q16513, O14733, Q9BYP7, P31749, P11309, P36897, P78362, Q9Y6M4, P48730, O15075, Q96RG2, Q13523, P53350, P53355, Q00536, Q00535, Q00534, Q6VAB6, P17612, Q99640, Q00532, P25098, O75460, Q86YV6, O14757, P49759, P49841, Q9H2G2, P05771, O94804, Q15772, Q15418, O75716, P37173, P49761, Q13627, O00311, Q9P1W9, Q8TDX7, P24723, Q86Y07, Q92772, Q9Y5S2, P78368, Q15831, P23443, Q13164, P50750, P68400, P50613, O14965, Q96KB5, Q09013, O15111, Q9NYV4, O76039, Q13546, P33981, Q9NSY1, P51617, P41279, P43250, Q8N2I9, Q9P0L2, O43683, P51812, Q86UE8, P51955, O43353, O96017, Q9UIK4, Q16566, Q96RR4, O00141, O14976, Q14012, Q04759, Q15746, O00238, Q6PHR2, Q9NZJ5, P15735, P30291"	749	190	5673	6.139006394	4.15E-101	1.04E-101	7.95E-101
GOTERM_MF_DIRECT	GO:0004674~protein serine/threonine kinase activity	164	21.80851064	6.12E-99	"Q9UHD2, Q9NWZ3, Q99558, Q99986, Q9NYL2, Q96GX5, P53778, Q9HCP0, Q96PY6, Q9H4A3, O15530, Q04771, Q99683, O43293, Q9UQM7, Q8WU08, Q9NYY3, O43781, P36507, P27037, P15056, Q96SB4, P49137, Q13153, Q9BUB5, Q9HBH9, Q13464, P24863, Q14680, Q9H4B4, Q8IVH8, Q13555, Q59H18, Q07912, Q16539, Q13554, Q13557, P45983, Q15208, P52564, P17252, O14920, Q5TCY1, Q12852, P49336, Q2M2I8, Q02750, Q9UKE5, O95819, Q9NRH2, P41743, P37023, Q16644, P31751, P43405, P49674, P28482, O94768, Q8IU85, Q13131, O75385, O75909, P19525, P48729, P27361, O14936, P24941, Q13976, P34947, Q5VST9, Q96NX5, P80192, P04049, Q16659, P54646, Q16512, Q16513, O75582, Q9BYP7, P31749, P11309, P36897, Q13043, P78362, Q9Y6M4, Q9Y6E0, Q13188, P48730, O15075, Q96RG2, Q13523, P53350, O00444, P53667, P53355, Q15759, Q00536, Q00535, Q6VAB6, P17612, Q8IV63, Q99640, Q00532, O15264, O75460, Q86YV6, O14757, P49759, P49841, Q9H2G2, P05771, O94804, Q15772, Q15418, O75716, Q13418, P49761, O95747, Q13627, O00311, Q9P1W9, Q8TDX7, P24723, Q86Y07, Q92772, Q9Y5S2, P78368, P53671, Q15831, Q8WZ42, O60563, Q13164, P50750, P68400, P50613, O14965, Q96KB5, Q09013, O76039, Q13546, P33981, Q9NSY1, P51617, P41279, Q8N2I9, Q9P0L2, O43683, P51812, O96013, Q86UE8, P51955, O43353, O96017, Q9UIK4, O14976, Q96RR4, O00141, Q04759, Q14012, O00238, Q6PHR2, Q9NZJ5, Q9BRS2, P15735"	734	224	5569	5.554909498	5.52E-96	1.84E-96	9.54E-96
INTERPRO	IPR007110:Immunoglobulin-like domain	176	23.40425532	6.17E-99	"P01619, P78310, P01892, Q96NY8, P13591, Q96JA1, P78410, P06312, Q14324, P01911, O75147, P01912, Q02763, Q14896, P61769, Q96H15, Q9UMF0, P15151, P28068, Q96DU3, P40199, P28067, Q14002, P01597, P01593, P01594, Q9NP99, P31997, P78324, A0A0U5Q247, Q9NZC2, P05362, P04229, P16410, P01909, Q07699, Q16288, K7N5M3, P01709, K7N5M4, P0DOY2, P01903, Q15109, P13598, Q30066, Q30069, Q9UBF9, P01732, A0A5B9, O19707, P01871, Q92692, P01876, P01730, Q30154, Q06418, Q9UDY8, O60939, Q95460, Q15116, P10586, P21802, P35916, P13765, Q14982, P01860, P01861, P01721, O14931, Q8WX93, P22607, P43146, P35613, Q13332, P35590, O00478, I2FL84, Q5VST9, O15533, E9PMV2, Q4KMG0, O00481, Q9NY72, P01920, P40189, Q96FE5, Q08722, Q86YW5, B7Z8K6, P23468, Q9NQS3, P06126, Q00872, P16234, Q8TDQ1, Q8TDQ0, P09326, Q92823, Q01974, Q7Z7D3, P01857, P40259, P01859, P28827, P01854, O00241, P0CF51, Q9HCK4, P01850, P06340, Q12866, Q12860, B8YAC7, Q9NPH3, Q9UIB8, Q9UGN4, Q9Y6N7, P13760, P22455, P13688, P17948, D3DSX2, Q15772, O95944, Q9P2J2, Q15223, Q8IWT1, P04440, P35968, Q7Z6A9, P01848, P19256, P29016, Q9P1W8, P33681, Q9Y279, Q8NFP4, P12018, Q9BWV1, Q96D42, P55899, P07333, P25311, Q8IYV9, Q8WZ42, Q68D85, P11362, L8E864, P15813, P15814, P15812, Q5TFQ8, Q9BY67, Q5Y7D3, Q6ISU1, Q9Y639, P50895, A0A173ADG5, P01834, P42081, Q9UKJ1, P03986, P04629, P01833, Q58EX2, P01772, P10747, Q6ICR9, O95727, P19320, P36888, P79483, P06729, Q9NZQ7, Q13477, Q29983, Q13478, Q29980, Q495A1, P52179, P10721, P01825, P06731, Q16620, O15394, Q15746, Q92859, P01764, Q13740, P0CG04, Q9BX59, Q30201, Q8N126, Q9Y624"	749	256	5673	5.207192924	4.95E-96	9.89E-97	9.47E-96
GOTERM_BP_DIRECT	GO:0006468~protein phosphorylation	176	23.40425532	3.88E-94	"P24385, Q14289, Q99986, Q9NYL2, P41240, P53779, P32298, Q96PY6, Q9H4A3, O15530, Q04771, Q99683, O43293, Q9UQM7, Q9NYY3, O43781, P15056, Q96SB4, P49137, P80075, Q13153, Q9BUB5, P13500, Q9HBH9, P24864, Q13464, Q05823, P24863, Q9H4B4, Q8NI60, Q8IVH8, P45984, Q59H18, Q13554, Q13557, P45983, P06239, Q8IVW4, Q15208, P17252, O14920, Q12852, P49336, Q2M2I8, Q9UKE5, O95819, Q9NRH2, P41743, P37023, O60674, P43403, P43405, P49674, P28482, O94768, P06241, Q8IU85, P07949, P07948, Q13131, O75385, P19525, O75909, P48729, P27361, O14936, Q13976, Q5VST9, Q96NX5, P80192, P04049, Q16659, Q15796, Q5TCX8, O60921, P54646, Q16512, Q16513, O75582, Q16854, Q9BYP7, P31749, P11309, Q8NB16, P36897, Q13043, P78362, Q96RU8, Q9Y6E0, Q06187, Q13188, P48730, Q96RG2, O15075, P52333, Q13523, P53350, O00444, P53667, P53355, Q00536, Q00534, Q6VAB6, P17612, Q99640, Q00532, O75460, Q86YV6, Q12866, P49841, P05771, D3DSX2, O94804, Q15772, P19447, Q15418, P37173, Q13418, P49761, P08922, O95747, Q13627, Q9P1W9, Q8TDX7, P24723, P23677, Q86Y07, Q92772, Q9Y5S2, P78368, P53671, Q15831, P07332, Q13882, P23443, P11362, P51946, O60563, P50750, P68400, P50613, O14965, Q96KB5, Q09013, O15111, O76039, Q9NSY1, P51617, P04626, P08631, P04629, P41279, P43250, Q8N2I9, Q9P0L2, P23458, O43683, Q8TF76, P51812, P51813, Q86UE8, P51955, O96017, Q9UIK4, Q16566, O14976, O00141, Q96RR4, Q7RTN6, Q14012, Q15746, P18074, O00238, Q9NZJ5, P29597, Q9BRS2, P15735"	745	265	5570	4.965531214	1.51E-90	1.51E-90	7.18E-91
