Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
SMART	SM00382:AAA	13	81.25	1.36E-23	"O75351, O43929, Q9Y230, Q6PIW4, Q9BW62, Q9UBP0, O15381, Q15645, Q9NP58, Q13415, Q06609, Q9Y265, Q9UQ90"	13	51	3655	71.66666667	4.09E-23	4.09E-23	4.29E-21
INTERPRO	IPR003593:AAA+ ATPase domain	13	81.25	3.09E-23	"O75351, O43929, Q9Y230, Q6PIW4, Q9BW62, Q9UBP0, O15381, Q15645, Q9NP58, Q13415, Q06609, Q9Y265, Q9UQ90"	16	51	5673	90.37867647	9.57E-22	9.57E-22	2.65E-20
INTERPRO	"IPR003959:ATPase, AAA-type, core"	9	56.25	1.17E-16	"Q9UBP0, O15381, O75351, O43929, Q15645, Q13415, Q9UQ90, Q6PIW4, Q9BW62"	16	23	5673	138.7418478	3.44E-15	1.78E-15	9.99E-14
INTERPRO	IPR027417:P-loop containing nucleoside triphosphate hydrolase	15	93.75	1.44E-16	"O75351, O43929, Q9Y230, Q6PIW4, Q9BW62, Q9UBP0, O15381, O43913, Q15645, Q9NP58, Q13415, Q06609, Q9Y265, Q9UQ90, O14656"	16	353	5673	15.06639518	3.44E-15	1.11E-15	9.99E-14
GOTERM_MF_DIRECT	GO:0005524~ATP binding	15	93.75	4.75E-12	"O75351, O43929, Q9Y230, Q6PIW4, Q9BW62, Q9UBP0, O15381, O43913, Q15645, Q9NP58, Q13415, Q06609, Q9Y265, Q9UQ90, O14656"	16	725	5569	7.201293103	2.42E-10	2.42E-10	4.60E-09
INTERPRO	"IPR003960:ATPase, AAA-type, conserved site"	6	37.5	3.74E-10	"Q9UBP0, O15381, O75351, Q15645, Q6PIW4, Q9BW62"	16	17	5673	125.1397059	1.16E-08	2.89E-09	3.21E-07
GOTERM_MF_DIRECT	GO:0008568~microtubule-severing ATPase activity	4	25	1.58E-07	"Q9UBP0, O75351, Q6PIW4, Q9BW62"	16	5	5569	278.45	8.04E-06	4.02E-06	1.52E-04
INTERPRO	"IPR015415:Vps4 oligomerisation, C-terminal"	4	25	2.98E-07	"Q9UBP0, O75351, Q6PIW4, Q9BW62"	16	6	5673	236.375	9.23E-06	1.85E-06	2.56E-04
GOTERM_BP_DIRECT	GO:0031122~cytoplasmic microtubule organization	4	25	4.45E-06	"Q9UBP0, O75351, Q6PIW4, Q9BW62"	16	13	5570	107.1153846	6.89E-04	6.89E-04	0.005341691
REACTOME_PATHWAY	R-HSA-68616:R-HSA-68616	3	18.75	4.17E-05	"O43929, O43913, Q13415"	8	6	3881	242.5625	0.00116677	0.00116677	0.034874166
REACTOME_PATHWAY	R-HSA-68689:R-HSA-68689	3	18.75	7.77E-05	"O43929, O43913, Q13415"	8	8	3881	181.921875	0.002173171	0.001087176	0.064977952
REACTOME_PATHWAY	R-HSA-113507:R-HSA-113507	3	18.75	7.77E-05	"O43929, O43913, Q13415"	8	8	3881	181.921875	0.002173171	0.001087176	0.064977952
REACTOME_PATHWAY	R-HSA-68867:R-HSA-68867	3	18.75	1.25E-04	"O43929, O43913, Q13415"	8	10	3881	145.5375	0.003484384	0.001162813	0.104231325
REACTOME_PATHWAY	R-HSA-69300:R-HSA-69300	3	18.75	1.25E-04	"O43929, O43913, Q13415"	8	10	3881	145.5375	0.003484384	0.001162813	0.104231325
REACTOME_PATHWAY	R-HSA-69298:R-HSA-69298	3	18.75	1.83E-04	"O43929, O43913, Q13415"	8	12	3881	121.28125	0.005097663	0.001276859	0.152577285
BIOCARTA	h_mcmPathway:CDK Regulation of DNA Replication	3	18.75	3.95E-04	"O43929, O43913, Q13415"	4	13	1085	62.59615385	0.001579933	0.001579933	0.150812808
REACTOME_PATHWAY	R-HSA-68962:R-HSA-68962	3	18.75	6.93E-04	"O43929, O43913, Q13415"	8	23	3881	63.27717391	0.019224161	0.003874743	0.578279623
REACTOME_PATHWAY	R-HSA-176187:R-HSA-176187	3	18.75	6.93E-04	"O43929, O43913, Q13415"	8	23	3881	63.27717391	0.019224161	0.003874743	0.578279623
GOTERM_MF_DIRECT	GO:0016887~ATPase activity	4	25	7.77E-04	"O75351, Q9Y230, Q9Y265, O14656"	16	70	5569	19.88928571	0.038850059	0.013121439	0.748808817
GOTERM_BP_DIRECT	GO:0006270~DNA replication initiation	3	18.75	0.001380256	"O43929, O43913, Q13415"	16	21	5570	49.73214286	0.192722177	0.101513593	1.645063688
REACTOME_PATHWAY	R-HSA-68827:R-HSA-68827	3	18.75	0.003278331	"O43929, O43913, Q13415"	8	50	3881	29.1075	0.087843816	0.015207193	2.70964949
REACTOME_PATHWAY	R-HSA-68949:R-HSA-68949	3	18.75	0.004100035	"O43929, O43913, Q13415"	8	56	3881	25.98883929	0.108666818	0.016299555	3.378597552
INTERPRO	IPR027238:RuvB-like	2	12.5	0.005281681	"Q9Y230, Q9Y265"	16	2	5673	354.5625	0.151398882	0.026990083	4.447502674
INTERPRO	"IPR010339:TIP49, C-terminal"	2	12.5	0.005281681	"Q9Y230, Q9Y265"	16	2	5673	354.5625	0.151398882	0.026990083	4.447502674
GOTERM_BP_DIRECT	GO:0051013~microtubule severing	2	12.5	0.005379226	"Q9UBP0, Q9BW62"	16	2	5570	348.125	0.566572491	0.243215624	6.272214187
GOTERM_BP_DIRECT	GO:0071763~nuclear membrane organization	2	12.5	0.005379226	"Q5JTV8, O14656"	16	2	5570	348.125	0.566572491	0.243215624	6.272214187
REACTOME_PATHWAY	R-HSA-171319:R-HSA-171319	2	12.5	0.005402613	"Q9Y230, Q9Y265"	8	3	3881	323.4166667	0.140739607	0.018781791	4.430726366
GOTERM_MF_DIRECT	GO:0051082~unfolded protein binding	3	18.75	0.005479154	"Q9Y230, Q9UQ90, O14656"	16	42	5569	24.86160714	0.244371321	0.067654008	5.176307758
GOTERM_BP_DIRECT	GO:0006310~DNA recombination	3	18.75	0.005999303	"Q9Y230, Q06609, Q9Y265"	16	44	5570	23.73579545	0.606507209	0.207983562	6.971551274
GOTERM_BP_DIRECT	GO:0000492~box C/D snoRNP assembly	2	12.5	0.008058701	"Q9Y230, Q9Y265"	16	3	5570	232.0833333	0.714684256	0.221846729	9.260006871
GOTERM_MF_DIRECT	GO:0043141~ATP-dependent 5'-3' DNA helicase activity	2	12.5	0.010733356	"Q9Y230, Q9Y265"	16	4	5569	174.03125	0.423257894	0.104230375	9.913095902
GOTERM_BP_DIRECT	GO:1904874~positive regulation of telomerase RNA localization to Cajal body	2	12.5	0.013397449	"Q9Y230, Q9Y265"	16	5	5570	139.25	0.876392089	0.294211825	14.9543866
GOTERM_BP_DIRECT	GO:0043968~histone H2A acetylation	2	12.5	0.016056755	"Q9Y230, Q9Y265"	16	6	5570	116.0416667	0.91865001	0.301225921	17.66685456
GOTERM_BP_DIRECT	GO:0000082~G1/S transition of mitotic cell cycle	3	18.75	0.016349818	"O43929, O43913, Q13415"	16	74	5570	14.11317568	0.922320772	0.273412182	17.96087205
KEGG_PATHWAY	hsa04110:Cell cycle	3	18.75	0.016510205	"O43929, O43913, Q13415"	8	95	3211	12.675	0.139147549	0.139147549	9.136282497
GOTERM_BP_DIRECT	GO:0010569~regulation of double-strand break repair via homologous recombination	2	12.5	0.01870937	"Q06609, Q6PIW4"	16	7	5570	99.46428571	0.946465217	0.277667196	20.2932753
GOTERM_BP_DIRECT	GO:0008089~anterograde axonal transport	2	12.5	0.01870937	"Q9UBP0, Q9UQ90"	16	7	5570	99.46428571	0.946465217	0.277667196	20.2932753
