Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0008168~methyltransferase activity	12	30.76923077	1.98E-15	"Q9BV86, Q9UI43, Q8N6R0, O95050, O95568, O14717, Q9UIC8, Q86W50, P11086, Q96CB9, P22087, Q96AZ1"	39	44	5569	38.94405594	2.38E-13	2.38E-13	2.29E-12
GOTERM_BP_DIRECT	GO:0032259~methylation	11	28.20512821	7.10E-15	"Q8N6R0, P46597, P51580, O95050, O95568, P11086, P50135, P40261, Q86VU5, Q96AZ1, Q14749"	39	34	5570	46.2066365	8.53E-13	8.53E-13	8.16E-12
GOTERM_BP_DIRECT	GO:0031167~rRNA methylation	7	17.94871795	4.65E-13	"Q9UI43, Q5T8I9, Q9UNQ2, Q9H5Q4, Q9BVS5, Q96CB9, P22087"	39	7	5570	142.8205128	5.58E-11	2.79E-11	5.34E-10
INTERPRO	IPR019410:Nicotinamide N-methyltransferase-like	5	12.82051282	7.62E-09	"Q8WXB1, Q5VZV1, Q7Z624, Q9H867, Q96AZ1"	38	5	5673	149.2894737	5.64E-07	5.64E-07	7.98E-06
GOTERM_BP_DIRECT	GO:0030488~tRNA methylation	5	12.82051282	2.27E-07	"O14717, Q9UJA5, Q5T8I9, Q8TEA1, Q96FX7"	39	9	5570	79.34472934	2.72E-05	9.06E-06	2.60E-04
GOTERM_BP_DIRECT	GO:0018022~peptidyl-lysine methylation	4	10.25641026	2.90E-06	"Q8WXB1, Q5T8I9, Q5VZV1, Q7Z624"	39	5	5570	114.2564103	3.48E-04	8.71E-05	0.003332429
GOTERM_MF_DIRECT	GO:0008173~RNA methyltransferase activity	4	10.25641026	5.78E-06	"Q5T8I9, Q96RS0, Q8TEA1, Q96P11"	39	6	5569	95.1965812	6.88E-04	3.44E-04	0.006626843
GOTERM_MF_DIRECT	GO:0016279~protein-lysine N-methyltransferase activity	4	10.25641026	6.18E-05	"Q8WXB1, Q5T8I9, Q5VZV1, Q9H867"	39	12	5569	47.5982906	0.007330138	0.002449374	0.07083789
INTERPRO	"IPR000940:Methyltransferase, NNMT/PNMT/TEMT"	3	7.692307692	1.24E-04	"O95050, P11086, P40261"	38	3	5673	149.2894737	0.009110842	0.004565844	0.129372198
INTERPRO	IPR001678:Bacterial Fmu (Sun)/eukaryotic nucleolar NOL1/Nop2p	3	7.692307692	1.24E-04	"Q8TEA1, Q96P11, Q96CB9"	38	3	5673	149.2894737	0.009110842	0.004565844	0.129372198
INTERPRO	"IPR025820:Methyltransferase NNMT/PNMT/TEMT, conserved site"	3	7.692307692	1.24E-04	"O95050, P11086, P40261"	38	3	5673	149.2894737	0.009110842	0.004565844	0.129372198
INTERPRO	IPR023267:RNA (C5-cytosine) methyltransferase	3	7.692307692	1.24E-04	"Q8TEA1, Q96P11, Q96CB9"	38	3	5673	149.2894737	0.009110842	0.004565844	0.129372198
GOTERM_MF_DIRECT	"GO:0000179~rRNA (adenine-N6,N6-)-dimethyltransferase activity"	3	7.692307692	1.35E-04	"Q5T8I9, Q9UNQ2, Q9H5Q4"	39	3	5569	142.7948718	0.015989494	0.004021568	0.155132861
GOTERM_MF_DIRECT	GO:0016428~tRNA (cytosine-5-)-methyltransferase activity	3	7.692307692	1.35E-04	"O14717, Q5T8I9, Q8TEA1"	39	3	5569	142.7948718	0.015989494	0.004021568	0.155132861
PIR_SUPERFAMILY	PIRSF000384:phenylethanolamine N-methyltransferase	3	7.692307692	0.001194391	"O95050, P11086, P40261"	18	3	822	45.66666667	0.018940011	0.018940011	0.845093508
REACTOME_PATHWAY	R-HSA-2408508:R-HSA-2408508	3	7.692307692	7.66E-04	"P50135, P40261, Q14749"	22	8	3881	66.15340909	0.026456882	0.026456882	0.676276741
SMART	SM00650:rADc	2	5.128205128	0.002734481	"Q9UNQ2, Q9H5Q4"	6	2	3655	609.1666667	0.029671386	0.029671386	1.691305112
GOTERM_MF_DIRECT	GO:0008171~O-methyltransferase activity	3	7.692307692	4.48E-04	"P46597, Q5T8I9, Q86VU5"	39	5	5569	85.67692308	0.051881089	0.010598506	0.511827063
GOTERM_BP_DIRECT	GO:0001510~RNA methylation	3	7.692307692	4.47E-04	"Q9UI43, Q5T8I9, Q8TEA1"	39	5	5570	85.69230769	0.052287292	0.010683299	0.512419364
REACTOME_PATHWAY	R-HSA-6782315:R-HSA-6782315	3	7.692307692	0.002440563	"O14717, Q9UJA5, Q96FX7"	22	14	3881	37.80194805	0.081968985	0.04186065	2.141145271
GOTERM_MF_DIRECT	GO:0008757~S-adenosylmethionine-dependent methyltransferase activity	3	7.692307692	0.001237144	"Q9UIC8, Q8TEA1, Q96P11"	39	8	5569	53.54807692	0.136974734	0.024252939	1.408865054
GOTERM_BP_DIRECT	GO:0006400~tRNA modification	3	7.692307692	0.002398055	"O14717, Q9UJA5, Q96FX7"	39	11	5570	38.95104895	0.250322551	0.046884042	2.718476827
GOTERM_BP_DIRECT	GO:0006479~protein methylation	3	7.692307692	0.003916815	"Q8WXB1, Q9UIC8, Q5VZV1"	39	14	5570	30.6043956	0.37558537	0.065064034	4.405095177
GAD_DISEASE	Spinal Dysraphism	4	10.25641026	0.003006593	"O43148, O14717, P40261, Q14749"	29	47	4450	13.05942773	0.389711791	0.389711791	3.585371191
KEGG_PATHWAY	hsa01100:Metabolic pathways	7	17.94871795	0.031958793	"P46597, P19623, P52788, P49327, P11086, O60547, P40261"	16	555	3211	2.531193694	0.526239966	0.526239966	22.69822306
REACTOME_PATHWAY	R-HSA-351202:R-HSA-351202	2	5.128205128	0.021477102	"P19623, P52788"	22	4	3881	88.20454545	0.532281287	0.223761972	17.4947803
INTERPRO	IPR002877:Ribosomal RNA methyltransferase FtsJ domain	2	5.128205128	0.013002849	"Q9UI43, Q8N1G2"	38	2	5673	149.2894737	0.620356008	0.275910621	12.80204766
INTERPRO	IPR014816:tRNA (adenine(58)-N(1))-methyltransferase catalytic subunit GCD14	2	5.128205128	0.013002849	"Q96FX7, Q9BVS5"	38	2	5673	149.2894737	0.620356008	0.275910621	12.80204766
INTERPRO	"IPR020598:Ribosomal RNA adenine methylase transferase, N-terminal"	2	5.128205128	0.013002849	"Q9UNQ2, Q9H5Q4"	38	2	5673	149.2894737	0.620356008	0.275910621	12.80204766
INTERPRO	IPR001737:Ribosomal RNA adenine methylase transferase	2	5.128205128	0.013002849	"Q9UNQ2, Q9H5Q4"	38	2	5673	149.2894737	0.620356008	0.275910621	12.80204766
GOTERM_MF_DIRECT	GO:0008172~S-methyltransferase activity	2	5.128205128	0.013601631	"P46597, Q5T8I9"	39	2	5569	142.7948718	0.804012177	0.20769961	14.52710611
GOTERM_MF_DIRECT	GO:0008650~rRNA (uridine-2'-O-)-methyltransferase activity	2	5.128205128	0.013601631	"Q9UI43, Q5T8I9"	39	2	5569	142.7948718	0.804012177	0.20769961	14.52710611
GOTERM_MF_DIRECT	GO:0018423~protein C-terminal leucine carboxyl O-methyltransferase activity	2	5.128205128	0.013601631	"Q9UIC8, Q5T8I9"	39	2	5569	142.7948718	0.804012177	0.20769961	14.52710611
GOTERM_BP_DIRECT	GO:0006481~C-terminal protein methylation	2	5.128205128	0.013599198	"Q9UIC8, Q5T8I9"	39	2	5570	142.8205128	0.806620683	0.185668466	14.5450441
KEGG_PATHWAY	hsa00410:beta-Alanine metabolism	2	5.128205128	0.081035164	"P19623, P52788"	16	18	3211	22.29861111	0.856822573	0.621612068	48.82077852
REACTOME_PATHWAY	R-HSA-156581:R-HSA-156581	2	5.128205128	0.058009036	"P51580, P40261"	22	11	3881	32.07438017	0.876508864	0.407198974	41.0999282
GOTERM_MF_DIRECT	GO:0016429~tRNA (adenine-N1-)-methyltransferase activity	2	5.128205128	0.020334726	"Q96FX7, Q9BVS5"	39	3	5569	95.1965812	0.9132543	0.263316412	20.98066019
