Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
SMART	SM00382:AAA	6	54.54545455	4.33E-10	"O75351, O43929, Q9Y230, Q13415, Q9Y265, Q6PIW4"	6	51	3655	71.66666667	1.30E-09	1.30E-09	1.36E-07
INTERPRO	IPR003593:AAA+ ATPase domain	6	54.54545455	1.17E-08	"O75351, O43929, Q9Y230, Q13415, Q9Y265, Q6PIW4"	11	51	5673	60.67379679	2.22E-07	2.22E-07	8.77E-06
INTERPRO	IPR027417:P-loop containing nucleoside triphosphate hydrolase	8	72.72727273	3.48E-07	"O75351, O43929, O43913, Q9Y230, Q13415, Q9Y265, Q6PIW4, O14656"	11	353	5673	11.6878702	6.60E-06	3.30E-06	2.60E-04
INTERPRO	"IPR003959:ATPase, AAA-type, core"	4	36.36363636	6.86E-06	"O75351, O43929, Q13415, Q6PIW4"	11	23	5673	89.6916996	1.30E-04	4.34E-05	0.005140665
REACTOME_PATHWAY	R-HSA-68616:R-HSA-68616	3	27.27272727	1.99E-05	"O43929, O43913, Q13415"	6	6	3881	323.4166667	3.78E-04	3.78E-04	0.01489912
REACTOME_PATHWAY	R-HSA-68689:R-HSA-68689	3	27.27272727	3.71E-05	"O43929, O43913, Q13415"	6	8	3881	242.5625	7.04E-04	3.52E-04	0.02778145
REACTOME_PATHWAY	R-HSA-113507:R-HSA-113507	3	27.27272727	3.71E-05	"O43929, O43913, Q13415"	6	8	3881	242.5625	7.04E-04	3.52E-04	0.02778145
GOTERM_MF_DIRECT	GO:0005524~ATP binding	8	72.72727273	5.18E-05	"O75351, O43929, O43913, Q9Y230, Q13415, Q9Y265, Q6PIW4, O14656"	11	725	5569	5.58645768	0.001656072	0.001656072	0.044848801
REACTOME_PATHWAY	R-HSA-68867:R-HSA-68867	3	27.27272727	5.95E-05	"O43929, O43913, Q13415"	6	10	3881	194.05	0.001130305	3.77E-04	0.04459944
REACTOME_PATHWAY	R-HSA-69300:R-HSA-69300	3	27.27272727	5.95E-05	"O43929, O43913, Q13415"	6	10	3881	194.05	0.001130305	3.77E-04	0.04459944
REACTOME_PATHWAY	R-HSA-69298:R-HSA-69298	3	27.27272727	8.72E-05	"O43929, O43913, Q13415"	6	12	3881	161.7083333	0.001655657	4.14E-04	0.065339128
BIOCARTA	h_mcmPathway:CDK Regulation of DNA Replication	3	27.27272727	1.33E-04	"O43929, O43913, Q13415"	3	13	1085	83.46153846	2.65E-04	2.65E-04	0.029940759
GOTERM_MF_DIRECT	GO:0016887~ATPase activity	4	36.36363636	2.14E-04	"O75351, Q9Y230, Q9Y265, O14656"	11	70	5569	28.92987013	0.006834648	0.003423183	0.185443073
REACTOME_PATHWAY	R-HSA-68962:R-HSA-68962	3	27.27272727	3.32E-04	"O43929, O43913, Q13415"	6	23	3881	84.36956522	0.006296807	0.001262545	0.248848848
REACTOME_PATHWAY	R-HSA-176187:R-HSA-176187	3	27.27272727	3.32E-04	"O43929, O43913, Q13415"	6	23	3881	84.36956522	0.006296807	0.001262545	0.248848848
GOTERM_BP_DIRECT	GO:0006270~DNA replication initiation	3	27.27272727	5.98E-04	"O43929, O43913, Q13415"	11	21	5570	72.33766234	0.058092445	0.058092445	0.662073899
REACTOME_PATHWAY	R-HSA-68827:R-HSA-68827	3	27.27272727	0.00158711	"O43929, O43913, Q13415"	6	50	3881	38.81	0.029728211	0.005017214	1.183337126
REACTOME_PATHWAY	R-HSA-68949:R-HSA-68949	3	27.27272727	0.00198902	"O43929, O43913, Q13415"	6	56	3881	34.65178571	0.037122432	0.005389568	1.481064978
INTERPRO	IPR008662:Lamina-associated polypeptide 1C	2	18.18181818	0.003522675	"Q5JTV8, Q8NFQ8"	11	2	5673	515.7272727	0.064850605	0.016622541	2.610040078
INTERPRO	"IPR010339:TIP49, C-terminal"	2	18.18181818	0.003522675	"Q9Y230, Q9Y265"	11	2	5673	515.7272727	0.064850605	0.016622541	2.610040078
INTERPRO	IPR027238:RuvB-like	2	18.18181818	0.003522675	"Q9Y230, Q9Y265"	11	2	5673	515.7272727	0.064850605	0.016622541	2.610040078
GOTERM_BP_DIRECT	GO:0071763~nuclear membrane organization	2	18.18181818	0.003587763	"Q5JTV8, O14656"	11	2	5570	506.3636364	0.301919903	0.164488123	3.91081655
REACTOME_PATHWAY	R-HSA-171319:R-HSA-171319	2	18.18181818	0.003861	"Q9Y230, Q9Y265"	6	3	3881	431.2222222	0.070864765	0.009145545	2.857577706
GOTERM_BP_DIRECT	GO:0000492~box C/D snoRNP assembly	2	18.18181818	0.005377296	"Q9Y230, Q9Y265"	11	3	5570	337.5757576	0.416774049	0.164501618	5.808997658
GOTERM_MF_DIRECT	GO:0043141~ATP-dependent 5'-3' DNA helicase activity	2	18.18181818	0.00716522	"Q9Y230, Q9Y265"	11	4	5569	253.1363636	0.205555723	0.073836175	6.038032011
GOTERM_BP_DIRECT	GO:0000082~G1/S transition of mitotic cell cycle	3	27.27272727	0.007313997	"O43929, O43913, Q13415"	11	74	5570	20.52825553	0.52005681	0.167666339	7.824786192
KEGG_PATHWAY	hsa04110:Cell cycle	3	27.27272727	0.008172305	"O43929, O43913, Q13415"	6	95	3211	16.9	0.03229068	0.03229068	3.084491912
GOTERM_BP_DIRECT	GO:1904874~positive regulation of telomerase RNA localization to Cajal body	2	18.18181818	0.008947688	"Q9Y230, Q9Y265"	11	5	5570	202.5454545	0.592940501	0.164528617	9.494582613
GOTERM_MF_DIRECT	GO:0008568~microtubule-severing ATPase activity	2	18.18181818	0.00894929	"O75351, Q6PIW4"	11	5	5569	202.5090909	0.249988248	0.069391495	7.490338854
INTERPRO	"IPR015415:Vps4 oligomerisation, C-terminal"	2	18.18181818	0.010534538	"O75351, Q6PIW4"	11	6	5673	171.9090909	0.182265828	0.039444575	7.63011679
GOTERM_BP_DIRECT	GO:0043968~histone H2A acetylation	2	18.18181818	0.010728555	"Q9Y230, Q9Y265"	11	6	5570	168.7878788	0.659946417	0.164542121	11.28341504
