Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0032259~methylation	8	19.51219512	2.65E-09	"Q8N6R0, P46597, P51580, O95050, Q14353, P50135, P40261, Q86VU5"	41	34	5570	31.96556671	5.75E-07	5.75E-07	3.37E-06
GOTERM_MF_DIRECT	GO:0008168~methyltransferase activity	7	17.07317073	5.37E-07	"Q9BV86, Q9UI43, Q8N6R0, O95050, Q9UIC8, Q14353, Q86W50"	41	44	5569	21.60920177	7.57E-05	7.57E-05	6.34E-04
GOTERM_MF_DIRECT	GO:0008173~RNA methyltransferase activity	4	9.756097561	6.77E-06	"Q5T8I9, Q96RS0, Q8TEA1, Q96P11"	41	6	5569	90.55284553	9.54E-04	4.77E-04	0.007992841
GOTERM_BP_DIRECT	GO:0031167~rRNA methylation	4	9.756097561	1.18E-05	"Q9UI43, Q5T8I9, Q9UNQ2, Q9H5Q4"	41	7	5570	77.63066202	0.002551959	0.001276794	0.014954885
GOTERM_MF_DIRECT	"GO:0000179~rRNA (adenine-N6,N6-)-dimethyltransferase activity"	3	7.317073171	1.50E-04	"Q5T8I9, Q9UNQ2, Q9H5Q4"	41	3	5569	135.8292683	0.02096274	0.007036983	0.177346666
GOTERM_MF_DIRECT	GO:0008171~O-methyltransferase activity	3	7.317073171	4.96E-04	"P46597, Q5T8I9, Q86VU5"	41	5	5569	81.49756098	0.067596735	0.017345276	0.584696539
SMART	SM00650:rADc	2	4.87804878	0.005465217	"Q9UNQ2, Q9H5Q4"	11	2	3655	332.2727273	0.088955474	0.088955474	3.8902589
GOTERM_BP_DIRECT	GO:0001510~RNA methylation	3	7.317073171	4.96E-04	"Q9UI43, Q5T8I9, Q8TEA1"	41	5	5570	81.51219512	0.102081961	0.035255676	0.628261183
GOTERM_MF_DIRECT	GO:0008757~S-adenosylmethionine-dependent methyltransferase activity	3	7.317073171	0.001370674	"Q9UIC8, Q8TEA1, Q96P11"	41	8	5569	50.93597561	0.175845826	0.037941032	1.607331417
KEGG_PATHWAY	hsa00270:Cysteine and methionine metabolism	3	7.317073171	0.011211332	"Q9Y6K1, P19623, P52788"	18	31	3211	17.26344086	0.270714712	0.270714712	9.000815943
