Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
INTERPRO	IPR016040:NAD(P)-binding domain	19	30.64516129	1.52E-18	"P00326, Q8N4T8, P00325, P49327, O60701, O60547, Q8N4Q0, P11766, P16152, P08319, Q12791, Q92506, Q9BV79, Q14376, Q8N8N7, P28845, Q6UWP2, O75828, Q9BPX1"	61	97	5673	18.21649485	1.57E-16	1.57E-16	1.70E-15
GOTERM_BP_DIRECT	GO:0032259~methylation	13	20.96774194	4.27E-16	"Q8N6R0, P51580, P46597, O95050, O95568, Q14353, P11086, P50135, Q8N4J0, Q86VU5, Q96AZ1, Q14749, P40261"	62	34	5570	34.35009488	9.99E-14	9.99E-14	5.66E-13
GOTERM_MF_DIRECT	GO:0008168~methyltransferase activity	13	20.96774194	1.54E-14	"Q9UI43, Q9BV86, Q8N6R0, O95050, O95568, O14717, Q14353, Q9UIC8, P11086, Q86W50, Q96CB9, P22087, Q96AZ1"	62	44	5569	26.53848974	2.76E-12	2.76E-12	1.90E-11
GOTERM_BP_DIRECT	GO:0031167~rRNA methylation	7	11.29032258	9.32E-12	"Q9UI43, Q5T8I9, Q9UNQ2, Q9H5Q4, Q96CB9, Q9BVS5, P22087"	62	7	5570	89.83870968	2.10E-09	1.05E-09	1.19E-08
INTERPRO	"IPR013149:Alcohol dehydrogenase, C-terminal"	8	12.90322581	3.35E-11	"Q9BV79, P00326, P49327, P00325, Q8N8N7, Q8N4Q0, P11766, P08319"	61	14	5673	53.14285714	3.45E-09	1.72E-09	3.74E-08
INTERPRO	IPR011032:GroES-like	8	12.90322581	1.85E-10	"Q9BV79, P00326, P49327, P00325, Q8N8N7, Q8N4Q0, P11766, P08319"	61	17	5673	43.76470588	1.91E-08	6.35E-09	2.07E-07
SMART	SM00829:SM00829	6	9.677419355	4.68E-10	"Q9BV79, P00326, P49327, P00325, Q8N4Q0, P08319"	15	13	3655	112.4615385	6.08E-09	6.08E-09	3.10E-07
INTERPRO	"IPR002085:Alcohol dehydrogenase superfamily, zinc-type"	7	11.29032258	5.04E-09	"Q9BV79, P00326, P00325, Q8N8N7, Q8N4Q0, P11766, P08319"	61	15	5673	43.4	5.19E-07	1.30E-07	5.63E-06
INTERPRO	"IPR020904:Short-chain dehydrogenase/reductase, conserved site"	7	11.29032258	8.00E-09	"Q92506, Q8N4T8, P28845, Q6UWP2, O75828, P16152, Q9BPX1"	61	16	5673	40.6875	8.24E-07	1.65E-07	8.93E-06
KEGG_PATHWAY	hsa01100:Metabolic pathways	20	32.25806452	4.45E-08	"P46597, Q9Y6K1, P19623, P00326, P00325, P11086, P49327, O60701, O60547, P11766, P16152, P08319, Q92506, Q9BV79, Q14353, P52788, Q14376, P28845, O75828, P40261"	32	555	3211	3.615990991	2.09E-06	2.09E-06	4.23E-05
INTERPRO	IPR019410:Nicotinamide N-methyltransferase-like	5	8.064516129	5.61E-08	"Q8WXB1, Q5VZV1, Q7Z624, Q9H867, Q96AZ1"	61	5	5673	93	5.78E-06	9.63E-07	6.26E-05
GOTERM_MF_DIRECT	GO:0016491~oxidoreductase activity	11	17.74193548	8.47E-08	"Q9BV79, P00326, Q8N4T8, P49327, P00325, Q8N8N7, P28845, Q6UWP2, Q8N4Q0, P11766, Q9BPX1"	62	99	5569	9.980286738	1.52E-05	7.58E-06	1.04E-04
INTERPRO	IPR002347:Glucose/ribitol dehydrogenase	7	11.29032258	9.52E-08	"Q92506, Q8N4T8, P28845, Q6UWP2, O75828, P16152, Q9BPX1"	61	23	5673	28.30434783	9.81E-06	1.40E-06	1.06E-04
