Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
SMART	SM00382:AAA	9	90	8.12E-16	"Q9UBP0, O15381, O75351, Q15645, Q9Y230, Q9UQ90, Q9Y265, Q6PIW4, Q9BW62"	9	51	3655	71.66666667	7.77E-16	7.77E-16	7.77E-14
INTERPRO	IPR003593:AAA+ ATPase domain	9	90	2.15E-16	"Q9UBP0, O15381, O75351, Q15645, Q9Y230, Q9UQ90, Q9Y265, Q6PIW4, Q9BW62"	10	51	5673	100.1117647	3.55E-15	3.55E-15	1.55E-13
INTERPRO	"IPR003959:ATPase, AAA-type, core"	7	70	1.82E-13	"Q9UBP0, O15381, O75351, Q15645, Q9UQ90, Q6PIW4, Q9BW62"	10	23	5673	172.6565217	2.92E-12	1.46E-12	1.29E-10
INTERPRO	IPR027417:P-loop containing nucleoside triphosphate hydrolase	10	100	1.27E-11	"Q9UBP0, O15381, O75351, Q15645, Q9Y230, Q9UQ90, Q9Y265, Q6PIW4, Q9BW62, O14656"	10	353	5673	16.07082153	2.03E-10	6.77E-11	9.02E-09
INTERPRO	"IPR003960:ATPase, AAA-type, conserved site"	6	60	1.58E-11	"Q9UBP0, O15381, O75351, Q15645, Q6PIW4, Q9BW62"	10	17	5673	200.2235294	2.53E-10	6.34E-11	1.12E-08
GOTERM_MF_DIRECT	GO:0005524~ATP binding	10	100	1.03E-08	"Q9UBP0, O15381, O75351, Q15645, Q9Y230, Q9UQ90, Q9Y265, Q6PIW4, Q9BW62, O14656"	10	725	5569	7.68137931	3.19E-07	3.19E-07	8.84E-06
INTERPRO	"IPR015415:Vps4 oligomerisation, C-terminal"	4	40	5.51E-08	"Q9UBP0, O75351, Q6PIW4, Q9BW62"	10	6	5673	378.2	8.82E-07	1.76E-07	3.91E-05
GOTERM_MF_DIRECT	GO:0008568~microtubule-severing ATPase activity	4	40	2.91E-08	"Q9UBP0, O75351, Q6PIW4, Q9BW62"	10	5	5569	445.52	9.04E-07	4.52E-07	2.50E-05
GOTERM_BP_DIRECT	GO:0031122~cytoplasmic microtubule organization	4	40	8.28E-07	"Q9UBP0, O75351, Q6PIW4, Q9BW62"	10	13	5570	171.3846154	9.77E-05	9.77E-05	9.47E-04
GOTERM_MF_DIRECT	GO:0016887~ATPase activity	4	40	1.51E-04	"O75351, Q9Y230, Q9Y265, O14656"	10	70	5569	31.82285714	0.004681764	0.00156303	0.129963146
