Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
INTERPRO	"IPR011545:DNA/RNA helicase, DEAD/DEAH box type, N-terminal"	24	58.53658537	2.45E-44	"P26196, Q9UHI6, P54132, O00571, P17844, Q14240, Q9UMR2, P46063, Q9Y2R4, Q13838, P60842, P42285, Q86TM3, O75417, Q9H0S4, O95786, O43143, Q9NVP1, Q9UJV9, Q13206, P38919, Q9UPY3, O94761, O94762"	41	36	5673	92.24390244	1.52E-42	1.52E-42	2.47E-41
INTERPRO	"IPR014001:Helicase, superfamily 1/2, ATP-binding domain"	26	63.41463415	2.68E-43	"P54132, O00571, Q14240, Q9Y2R4, P42285, Q86TM3, O75417, P38935, P38919, Q9UPY3, O94761, O94762, P26196, Q9UHI6, P17844, P46063, Q9UMR2, Q13838, P19447, P60842, O95786, Q9H0S4, O43143, Q9NVP1, Q13206, Q9UJV9"	41	55	5673	65.40931264	1.66E-41	8.30E-42	2.70E-40
INTERPRO	"IPR001650:Helicase, C-terminal"	26	63.41463415	2.68E-43	"P54132, O00571, Q14240, Q9Y2R4, P42285, Q86TM3, O75417, P38919, Q9UPY3, O94761, O94762, P26196, Q8IYB8, Q9UHI6, P17844, P46063, Q9UMR2, Q13838, P19447, P60842, O95786, Q9H0S4, O43143, Q9NVP1, Q13206, Q9UJV9"	41	55	5673	65.40931264	1.66E-41	8.30E-42	2.70E-40
SMART	SM00487:DEXDc	26	63.41463415	2.41E-40	"P54132, O00571, Q14240, Q9Y2R4, P42285, Q86TM3, O75417, P38935, P38919, Q9UPY3, O94761, O94762, P26196, Q9UHI6, P17844, P46063, Q9UMR2, Q13838, P19447, P60842, O95786, Q9H0S4, O43143, Q9NVP1, Q13206, Q9UJV9"	37	55	3655	46.6977887	4.83E-39	4.83E-39	1.84E-37
SMART	SM00490:HELICc	26	63.41463415	2.41E-40	"P54132, O00571, Q14240, Q9Y2R4, P42285, Q86TM3, O75417, P38919, Q9UPY3, O94761, O94762, P26196, Q8IYB8, Q9UHI6, P17844, P46063, Q9UMR2, Q13838, P19447, P60842, O95786, Q9H0S4, O43143, Q9NVP1, Q13206, Q9UJV9"	37	55	3655	46.6977887	4.83E-39	4.83E-39	1.84E-37
GOTERM_MF_DIRECT	GO:0004004~ATP-dependent RNA helicase activity	19	46.34146341	1.25E-32	"Q8IYB8, P26196, Q9UHI6, O00571, P17844, Q14240, Q9UMR2, Q9Y2R4, Q13838, P60842, P42285, Q86TM3, Q9H0S4, O43143, Q9NVP1, Q13206, Q9UJV9, P38919, Q92900"	41	32	5569	80.64862805	1.42E-30	1.42E-30	1.42E-29
INTERPRO	IPR027417:P-loop containing nucleoside triphosphate hydrolase	31	75.6097561	9.41E-29	"O60306, P54132, O00571, Q14240, Q9Y2R4, P42285, Q86TM3, O75417, P38935, P38919, Q9UPY3, Q92900, O94761, O94762, Q9H611, Q8IYB8, P26196, Q9UHI6, P17844, P46063, Q9UMR2, Q13838, P19447, P60842, P18074, O95786, Q9H0S4, O43143, Q9NVP1, Q9UJV9, Q13206"	41	353	5673	12.15110896	5.83E-27	1.94E-27	9.49E-26
INTERPRO	"IPR014014:RNA helicase, DEAD-box type, Q motif"	15	36.58536585	6.47E-27	"P26196, Q9UHI6, O00571, Q14240, P17844, Q9UMR2, Q9Y2R4, P60842, Q13838, Q86TM3, Q9H0S4, Q9NVP1, Q13206, Q9UJV9, P38919"	41	21	5673	98.83275261	4.01E-25	1.00E-25	6.53E-24
GOTERM_MF_DIRECT	GO:0004386~helicase activity	17	41.46341463	1.45E-25	"Q8IYB8, P26196, P54132, O00571, Q14240, Q9UMR2, Q9Y2R4, P60842, P19447, Q9H0S4, O95786, Q9NVP1, Q13206, Q9UJV9, P38919, Q9UPY3, Q92900"	41	41	5569	56.31945271	1.64E-23	8.20E-24	1.65E-22
GOTERM_BP_DIRECT	GO:0010501~RNA secondary structure unwinding	15	36.58536585	3.15E-25	"P26196, Q9UHI6, O00571, Q14240, P17844, Q9UMR2, Q9Y2R4, P60842, Q13838, Q86TM3, Q9H0S4, Q9NVP1, Q13206, Q9UJV9, P38919"	41	25	5570	81.51219512	8.59E-23	8.59E-23	4.14E-22
