term	dsDNA Adenoviridae	dsDNA Herpesviridae	dsDNA Polyomaviridae	dsDNA Poxviridae	dsRNA Reoviridae	n_ssRNA Filoviridae	n_ssRNA Orthomyxoviridae	n_ssRNA Paramyxoviridae	n_ssRNA Pneumoviridae	n_ssRNA Rhabdoviridae	p_ssRNA Astroviridae	p_ssRNA Caliciviridae	p_ssRNA Coronaviridae	p_ssRNA Flaviviridae	p_ssRNA Hepeviridae	p_ssRNA Picornaviridae	p_ssRNA Togaviridae	ssDNA Circoviridae	ssDNA Parvoviridae	ssDNA Smacoviridae
BC_Acute Myocardial Infarction	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.6	2.3	1.3	0.0	3.0	0.0	0.0	0.0	0.0
BC_Bioactive Peptide Induced Signaling Pathway	0.0	3.0	0.0	2.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BC_Complement Pathway	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.9	3.6	3.6	0.0	4.4	0.0	0.0	0.0	0.0
BC_Intrinsic Prothrombin Activation Pathway	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.6	3.3	2.2	0.0	4.1	0.0	0.0	0.0	0.0
BC_Keratinocyte Differentiation	0.0	3.2	0.0	2.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BC_MAPKinase Signaling Pathway	0.0	6.7	0.0	4.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BC_CDK Regulation of DNA Replication	0.0	0.0	3.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.0	0.0	0.0	0.0	0.0	3.3	2.8	0.0
BC_Platelet Amyloid Precursor Protein Pathway	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5	3.2	1.9	0.0	4.0	0.0	0.0	0.0	0.0
GO_mRNA splicing, via spliceosome	6.4	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.8	0.0	0.0	0.0
GO_RNA methylation	0.0	0.0	0.0	-0.0	1.0	2.7	0.0	0.9	1.3	2.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GO_positive regulation of protein phosphorylation	0.0	2.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GO_adaptive immune response	2.7	10.2	0.0	3.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
