16vp_A	3	304	P06492	virus
1a1t_A	1	55	Q75677	virus
1a1v_A	1	115	P27958	virus
1a1v_A	1	139	P27958	virus
1a1v_A	1	172	P27958	virus
1a1v_A	1	433	P27958	virus
1a1v_A	137	226	P27958	virus
1a1v_A	140	291	P27958	virus
1a1v_A	147	246	P27958	virus
1a1v_A	238	433	P27958	virus
1a1v_A	277	433	P27958	virus
1a1v_A	9	289	P27958	virus
1a1v_A	95	147	P27958	virus
1a1v_A	95	163	P27958	virus
1a1w_A	1	84	Q13158	human
1a41_A	13	180	P68698	virus
1a41_A	14	143	P68698	virus
1a41_A	36	143	P68698	virus
1a41_A	36	180	P68698	virus
1a6z_A	1	273	Q30201	human
1a6z_A	182	272	Q30201	human
1a6z_A	4	188	Q30201	human
1a76_A	140	221	Q58839	bacteria
1a7g_E	1	83	P17383	virus
1aaf_A	1	56	nan	nan
1adu_A	1	104	P03265	virus
1adu_A	1	288	P03265	virus
1adu_A	103	175	P03265	virus
1adu_A	164	288	P03265	virus
1adu_A	181	249	P03265	virus
1adu_A	181	288	P03265	virus
1adu_A	24	286	P03265	virus
1adu_A	5	83	P03265	virus
1adu_A	75	175	P03265	virus
1al2_1	1	284	P03300	virus
1al2_1	1	38	P03300	virus
1ar6_1	1	38	P03300	virus
1ar7_1	1	284	P03300	virus
1ar7_1	61	284	P03300	virus
1at3_A	1	218	Q69527	virus
1at3_A	21	218	Q69527	virus
1avp_A	1	145	P03252	virus
1avp_A	1	205	P03252	virus
1aym_2	1	52	Q82122	virus
1b43_A	1	263	O93634	bacteria
1b43_A	1	279	O93634	bacteria
1b43_A	140	233	O93634	bacteria
1b9s_A	1	391	P03474	virus
1bev_3	92	169	nan	nan
1bhe_A	28	306	P26509	bacteria
1bhe_A	28	333	P26509	bacteria
1bm8_A	2	90	P39678	plantfungi
1bqn_A	1	559	P03366	virus
1bqn_B	1	431	P03366	virus
1brv_A	1	20	nan	nan
1buo_A	1	120	Q05516	human
1buo_A	17	120	Q05516	human
1byr_A	12	113	Q46707	bacteria
1c1b_B	1	416	P04585	virus
1c5g_A	12	380	P05121	human
1c5g_A	132	377	P05121	human
1c5g_A	29	380	P05121	human
1c5g_A	97	380	P05121	human
1c6v_A	87	148	Q88016	virus
1c6v_X	1	56	Q88016	virus
1c8m_1	1	197	Q82122	virus
