Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
INTERPRO	IPR009003:Trypsin-like cysteine/serine peptidase domain	55	41.35338346	4.15E-90	"O43240, P20231, O60259, P48740, P05981, P07288, P22891, P26927, P00738, P49862, Q15661, P00736, P06681, O00187, P83110, Q92876, P20151, Q6UWY2, P00742, P00740, P00749, P00748, P00747, P00746, P04070, Q9Y5K2, Q9Y337, P07477, P20160, Q16651, P09871, P20718, P35030, O43464, P08246, P12544, P51124, P00751, P00750, P14210, P98073, Q53HP3, Q92743, Q5JP69, P49863, Q99895, P24158, Q9Y5Y6, P08311, P05156, Q04756, P06870, P03951, P23946, P03952, P10144, P08709, Q9UL52"	132	57	5673	41.46929825	7.14E-88	7.14E-88	5.08E-87
SMART	SM00020:Tryp_SPc	52	39.09774436	4.87E-86	"O43240, P20231, O60259, P48740, P05981, P07288, P22891, P26927, P00738, P49862, Q15661, P00736, P06681, O00187, Q92876, P20151, Q6UWY2, P00742, P00740, P00749, P00748, P00747, P00746, P04070, Q9Y5K2, Q9Y337, P07477, P20160, Q16651, P09871, P20718, P35030, P08246, P12544, P51124, P00751, P00750, P14210, P98073, Q53HP3, Q5JP69, P49863, Q99895, P24158, Q9Y5Y6, P08311, P05156, Q04756, P06870, P03951, P23946, P03952, P10144, P08709, Q9UL52"	91	54	3655	38.67724868	2.29E-84	2.29E-84	4.63E-83
INTERPRO	IPR001254:Peptidase S1	52	39.09774436	1.27E-84	"O43240, P20231, O60259, P48740, P05981, P07288, P22891, P26927, P00738, P49862, Q15661, P00736, P06681, O00187, Q92876, P20151, Q6UWY2, P00742, P00740, P00749, P00748, P00747, P00746, P04070, Q9Y5K2, Q9Y337, P07477, P20160, Q16651, P09871, P20718, P35030, P08246, P12544, P51124, P00751, P00750, P14210, P98073, Q53HP3, Q5JP69, P49863, Q99895, P24158, Q9Y5Y6, P08311, P05156, Q04756, P06870, P03951, P23946, P03952, P10144, P08709, Q9UL52"	132	54	5673	41.38552189	2.18E-82	1.09E-82	1.55E-81
INTERPRO	"IPR001314:Peptidase S1A, chymotrypsin-type"	50	37.59398496	5.37E-81	"O43240, P20231, O60259, P48740, P05981, P07288, P26927, P00738, P49862, Q15661, P00736, P06681, O00187, Q92876, P20151, Q6UWY2, P00742, P00740, P00749, P00748, P00747, P00746, P04070, Q9Y5K2, Q9Y337, P07477, P20160, Q16651, P09871, P20718, P35030, P08246, P12544, P51124, P00751, P00750, P14210, P98073, Q53HP3, Q5JP69, P49863, Q99895, P24158, P08311, P05156, Q04756, P06870, P03951, P23946, P03952, P10144, P08709, Q9UL52"	132	52	5673	41.3243007	9.23E-79	3.08E-79	6.56E-78
INTERPRO	"IPR018114:Peptidase S1, trypsin family, active site"	44	33.08270677	2.99E-70	"O43240, P20231, P04070, Q9Y5K2, Q9Y337, O60259, P07477, Q16651, P20718, P35030, P08246, P05981, P12544, P48740, P00751, P51124, P00750, P07288, P49862, Q53HP3, P98073, Q15661, Q5JP69, P49863, P06681, Q99895, Q92876, P24158, Q9Y5Y6, P20151, Q6UWY2, P08311, P00742, P00740, P05156, Q04756, P06870, P03951, P23946, P00749, P03952, P00748, P10144, P00747, P08709, P00746, Q9UL52"	132	46	5673	41.10869565	5.14E-68	1.29E-68	3.66E-67
GOTERM_MF_DIRECT	GO:0004252~serine-type endopeptidase activity	55	41.35338346	4.37E-60	"O43240, P20231, O60259, P48740, P05981, P07288, P22891, P26927, P00738, P49862, Q15661, P00736, P06681, O00187, P83110, Q92876, P20151, Q6UWY2, P00742, P00740, P00749, P00748, P00747, P00746, P04070, Q9Y5K2, Q9Y337, P07477, P20160, Q16651, P09871, P20718, P35030, O43464, P08246, P12544, P51124, P00751, P00750, P14210, P98073, Q53HP3, Q92743, Q5JP69, P49863, Q99895, P24158, Q9Y5Y6, P08311, P05156, Q04756, P06870, P03951, P23946, P03952, P10144, P08709, Q9UL52"	133	118	5569	19.51669428	1.15E-57	1.15E-57	5.72E-57
INTERPRO	"IPR011545:DNA/RNA helicase, DEAD/DEAH box type, N-terminal"	27	20.30075188	4.40E-36	"P54132, O00571, Q14240, Q9Y2R4, P42285, Q08211, Q86TM3, O75417, P38919, Q9UPY3, O94761, O94762, Q9UHL0, P26196, Q9UHI6, Q9BUQ8, P17844, P46063, Q9UMR2, Q13838, P60842, O95786, Q9H0S4, O43143, Q9NVP1, Q13206, Q9UJV9"	132	36	5673	32.23295455	7.57E-34	1.51E-34	5.38E-33
SMART	SM00487:DEXDc	29	21.80451128	2.18E-32	"P54132, O00571, Q14240, Q9Y2R4, P42285, Q08211, Q86TM3, O75417, P38935, P38919, Q9UPY3, O94761, O94762, Q9UHL0, P26196, Q9UHI6, Q9BUQ8, P17844, P46063, Q9UMR2, Q13838, P19447, P60842, O95786, Q9H0S4, O43143, Q9NVP1, Q9UJV9, Q13206"	91	55	3655	21.17782218	1.02E-30	5.12E-31	2.07E-29
SMART	SM00490:HELICc	29	21.80451128	2.18E-32	"P54132, O00571, Q14240, Q9Y2R4, P42285, Q08211, Q86TM3, O75417, P38919, Q9UPY3, O94761, O94762, Q9UHL0, P26196, Q8IYB8, Q9UHI6, Q9BUQ8, P17844, P46063, Q9UMR2, Q13838, P19447, P60842, O95786, Q9H0S4, O43143, Q9NVP1, Q9UJV9, Q13206"	91	55	3655	21.17782218	1.02E-30	5.12E-31	2.07E-29
GOTERM_MF_DIRECT	GO:0008236~serine-type peptidase activity	26	19.54887218	9.17E-33	"O43240, P20231, Q9Y5K2, Q9Y337, Q16651, P07477, P35030, O43464, P05981, P51124, P07288, P49862, Q15661, Q92743, P49863, P00736, P83110, P24158, Q9Y5Y6, Q6UWY2, Q04756, P23946, P10144, P00747, P08709, Q9UL52, P00746"	133	38	5569	28.64938662	2.41E-30	1.21E-30	1.20E-29
