1a06_A	17	145	Q63450	nonHumanMammal
1a0p_A	112	250	P0A8P8	bacteria
1a0p_A	112	271	P0A8P8	bacteria
1a0p_A	18	271	P0A8P8	bacteria
1a0p_A	185	250	P0A8P8	bacteria
1a0p_A	185	271	P0A8P8	bacteria
1a0p_A	2	271	P0A8P8	bacteria
1a0p_A	201	250	P0A8P8	bacteria
1a0p_A	201	271	P0A8P8	bacteria
1a0p_A	223	250	P0A8P8	bacteria
1a0p_A	3	250	P0A8P8	bacteria
1a0p_A	39	271	P0A8P8	bacteria
1a0p_A	62	271	P0A8P8	bacteria
1a0p_A	78	250	P0A8P8	bacteria
1a0p_A	78	271	P0A8P8	bacteria
1a0p_A	94	250	P0A8P8	bacteria
1a0p_A	94	271	P0A8P8	bacteria
1a54_A	72	122	P0AG82	bacteria
1a5t_A	105	173	P28631	bacteria
1a76_A	122	218	Q58839	bacteria
1a76_A	22	182	Q58839	bacteria
1a76_A	48	165	Q58839	bacteria
1a76_A	82	244	Q58839	bacteria
1a76_A	85	306	Q58839	bacteria
1a7j_A	14	166	P12033	bacteria
1a8l_A	38	227	Q51760	bacteria
1a8l_A	58	227	Q51760	bacteria
1aba_A	1	88	P00276	virus
1acj_A	109	201	P04058	nonMammalVertebrate
1ae1_A	45	242	P50162	plantfungi
1ae9_A	90	159	P03700	virus
1aim_A	2	195	P25779	invertebrate
1aim_A	2	215	P25779	invertebrate
1ak0_A	1	265	P24289	plantfungi
1ako_A	1	115	P09030	bacteria
1ako_A	1	159	P09030	bacteria
1ako_A	1	246	P09030	bacteria
1ako_A	1	268	P09030	bacteria
1ako_A	25	155	P09030	bacteria
1ala_A	1	157	P17153	nonMammalVertebrate
1ao0_A	149	240	P00497	bacteria
1ao0_A	98	240	P00497	bacteria
1ap8_A	111	167	P07260	plantfungi
1ap8_A	17	156	P07260	plantfungi
1at0_A	1	105	Q02936	invertebrate
1at0_A	1	80	Q02936	invertebrate
1ata_A	3	63	P19398	invertebrate
1aui_A	114	317	Q08209	human
1aui_A	30	341	Q08209	human
1aui_A	42	321	Q08209	human
1aui_A	73	293	Q08209	human
1aui_A	73	327	Q08209	human
1avh_A	1	68	P08758	human
1aym_2	88	196	Q82122	virus
1aym_3	141	237	Q82122	virus
1aym_3	30	235	Q82122	virus
1aym_3	97	233	Q82122	virus
1ayz_A	3	153	P06104	plantfungi
1azs_A	6	166	P30803	nonHumanMammal
1b12_A	3	78	P00803	bacteria
1b35_A	1	261	P13418	virus
1b35_A	1	30	P13418	virus
1b35_A	30	261	P13418	virus
1b35_B	1	237	P13418	virus
1b35_B	1	59	P13418	virus
1b35_B	2	183	P13418	virus
1b35_B	34	237	P13418	virus
1b35_B	57	233	P13418	virus
1b35_B	63	185	P13418	virus
1b35_C	1	261	P13418	virus
1b35_C	1	283	P13418	virus
1b35_C	1	67	P13418	virus
1b35_C	104	196	P13418	virus
1b35_C	50	265	P13418	virus
1b35_C	69	187	P13418	virus
1b35_D	1	58	P13418	virus
1b43_A	1	180	O93634	bacteria
1b43_A	1	229	O93634	bacteria
1b43_A	1	263	O93634	bacteria
1b43_A	1	279	O93634	bacteria
1b43_A	1	295	O93634	bacteria
1b43_A	1	314	O93634	bacteria
1b43_A	223	306	O93634	bacteria
1b43_A	68	281	O93634	bacteria
1b43_A	71	314	O93634	bacteria
1b43_A	82	256	O93634	bacteria
1b6g_A	116	308	P22643	bacteria
1b6g_A	15	307	P22643	bacteria
1b6g_A	31	150	P22643	bacteria
1b6g_A	32	308	P22643	bacteria
1b6g_A	50	289	P22643	bacteria
1b6g_A	50	308	P22643	bacteria
1b78_A	4	82	Q57679	bacteria
1ba1_A	100	200	P19120	nonHumanMammal
1bev_2	83	243	P12915	virus
1bgw_A	215	387	P06786	plantfungi
1bgw_A	215	403	P06786	plantfungi
1bgw_A	215	450	P06786	plantfungi
1bgw_A	215	469	P06786	plantfungi
1bgw_A	215	595	P06786	plantfungi
1bgw_A	215	636	P06786	plantfungi
1bgw_A	215	677	P06786	plantfungi
1bgw_A	216	513	P06786	plantfungi
1bgw_A	223	554	P06786	plantfungi
1bgw_A	269	387	P06786	plantfungi
1bgx_T	174	253	P19821	bacteria
1bh9_B	1	90	nan	nan
1bj4_A	16	431	P34896	human
1bj4_A	16	463	P34896	human
1bj4_A	161	395	P34896	human
1bkp_A	122	229	P0CI79	bacteria
1bkp_A	187	278	P0CI79	bacteria
1bkp_A	228	279	P0CI79	bacteria
1bm8_A	19	95	P39678	plantfungi
1bm8_A	2	90	P39678	plantfungi
1boo_A	25	85	P11409	bacteria
1bpe_A	23	283	P06766	nonHumanMammal
1buo_A	1	120	Q05516	human
1buo_A	37	120	Q05516	human
1bvp_1	1	328	P69361	virus
1bvp_1	1	350	P69361	virus
1by8_A	1	113	P43235	human
1by8_A	1	67	P43235	human
1c07_A	1	96	P42566	human
1c0a_A	4	113	P21889	bacteria
1c1g_A	1	277	P42639	nonHumanMammal
1c3t_A	2	76	P0CG48	human
1c4o_A	8	58	Q56243	bacteria
1c7i_A	2	468	P37967	bacteria
1c7i_A	99	191	P37967	bacteria
1c7j_A	10	260	P37967	bacteria
1c7j_A	2	86	P37967	bacteria
1c7j_A	99	191	P37967	bacteria
1c9b_A	1	189	Q00403	human
1c9b_A	21	193	Q00403	human
1cbk_A	53	156	P43777	bacteria
1ccv_A	2	57	P56682	invertebrate
1cdk_A	19	283	P36887	nonHumanMammal
1cdk_A	30	236	P36887	nonHumanMammal
1cdk_A	42	255	P36887	nonHumanMammal
1cdk_A	52	232	P36887	nonHumanMammal
1cdk_A	94	236	P36887	nonHumanMammal
1cdk_A	95	257	P36887	nonHumanMammal
1ci7_A	1	245	P13100	plantfungi
1ci7_A	118	243	P13100	plantfungi
1ci7_A	3	291	P13100	plantfungi
1ck7_A	180	416	P08253	human
1ck7_A	193	378	P08253	human
1ck7_A	194	487	P08253	human
1ck7_A	434	593	P08253	human
1cki_A	108	189	Q06486	nonHumanMammal
1cki_A	5	217	Q06486	nonHumanMammal
1ckm_A	28	236	Q84424	virus
1ckm_A	47	236	Q84424	virus
1ckm_A	52	147	Q84424	virus
1cm8_A	117	218	P53778	human
1cm8_A	55	220	P53778	human
1co7_I	17	42	P00974	nonHumanMammal
1cqd_A	1	198	P82474	plantfungi
