#Internal_virprotID_A	str_temp	strl_neig_uni	str_neigh_pdb	sas	seqHomology
307689	1sfk_A	A0A0X8GJ44	5ygh_A	2.2	seqHomolog
307689	1sfk_A	P27395	5ow2_A	1.9	NoSeqHomolog
307690	5m2x_A	A0A024B7W1	5mrk_A	0.2	seqHomolog
307690	4k6m_A	A0A059TC02	4r1s_A	2.4	NoSeqHomolog
307690	4v0r_A	A0A077K7L1	5gm2_B	2.2	NoSeqHomolog
307690	5k5m_A	A0A097PIE2	5k5m_A	0.0	seqHomolog
307690	5ccv_A	A0A0C5DR25	5o98_A	2.4	NoSeqHomolog
307690	2px2_A	A0A0H2UR54	3ku1_A	2.3	NoSeqHomolog
307690	5tmh_A	A0A0H3JPH0	3vvb_A	2.4	NoSeqHomolog
307690	4k6m_A	A0A0H3JWL8	3ntv_A	2.4	NoSeqHomolog
307690	2px2_A	A0A0H3JYW8	3vse_C	2.1	NoSeqHomolog
307690	5u0b_A	A0A0H3KNM5	5uzx_A	2.4	NoSeqHomolog
307690	2px2_A	A0A0J5Q3C4	5jgl_A	2.2	NoSeqHomolog
307690	5m2x_A	A0A0J8AIC3	5n5d_A	2.1	NoSeqHomolog
307690	5dto_A	A0A0M3T9D8	6bcm_A	2.1	NoSeqHomolog
307690	2px2_A	A0A0S2FD35	6c5b_A	2.4	NoSeqHomolog
307690	5wz3_A	A0A109PRQ3	5wz3_A	0.0	seqHomolog
307690	5u0b_A	A0A167V0D5	5wxb_A	0.2	NoSeqHomolog
307690	5tmh_A	A0A1A7VRA8	4iv8_B	2.2	NoSeqHomolog
307690	4k6m_A	A0A1C5AE13	5t38_A	2.3	NoSeqHomolog
307690	5ccv_A	A0EKU1	2oxt_C	0.4	seqHomolog
307690	2px2_A	A0R4P1	4kzp_D	2.4	NoSeqHomolog
307690	2px2_A	A0R5M8	4pip_C	2.4	NoSeqHomolog
307690	2px2_A	A0RD96	3l8d_A	2.3	NoSeqHomolog
307690	2px2_A	A1AC32	4qnv_A	2.1	NoSeqHomolog
307690	5m2x_A	A1Z651	4hkq_A	1.9	NoSeqHomolog
307690	5ccv_A	A3DJ37	3jwi_B	2.4	NoSeqHomolog
307690	4k6m_A	A4GE69	2eg5_A	2.3	NoSeqHomolog
307690	5tmh_A	A4GE70	2efj_A	2.3	NoSeqHomolog
307690	2px2_A	A5K867	4iv0_B	2.1	NoSeqHomolog
307690	2px2_A	A6L5C0	3t7r_A	2.1	NoSeqHomolog
307690	5ccv_A	A6MH22	4ztb_B	2.1	NoSeqHomolog
307690	5m2x_A	A6T8J6	3tfw_A	2.3	NoSeqHomolog
307690	5ccv_A	A6XNE6	4evi_A	2.2	NoSeqHomolog
307690	4v0r_A	A8A296	5dpm_A	2.3	NoSeqHomolog
307690	2px2_A	A9CKD6	2igt_A	2.3	NoSeqHomolog
307690	2px2_A	B1MLR7	3s55_F	2.4	NoSeqHomolog
307690	4c11_B	B1PPP0	4khr_B	0.8	NoSeqHomolog
307690	4k6m_A	B1YKR8	3d2l_B	2.4	NoSeqHomolog
307690	2px2_A	B2HHT4	5f2n_A	2.3	NoSeqHomolog
307690	2px2_A	B2KPR3	6c8r_A	2.3	NoSeqHomolog
307690	4v0r_A	B2MU09	5hr4_C	2.1	NoSeqHomolog
307690	5m2x_A	B3VQP5	3olb_A	0.7	NoSeqHomolog
307690	5dto_A	C3MWA1	5fa8_A	2.4	NoSeqHomolog
307690	2px2_A	C3SBW0	5kpc_A	2.3	NoSeqHomolog
307690	2px2_A	C3T5M2	4gek_G	2.4	NoSeqHomolog
307690	4k6m_A	C5YLL4	5tqm_B	2.4	NoSeqHomolog
307690	5m2x_A	C5Z4W3	5kva_A	2.3	NoSeqHomolog
307690	5m2x_A	D0PY27	3phe_A	0.7	NoSeqHomolog
307690	5tfr_A	D0VX01	3elw_A	0.3	seqHomolog
307690	5m2x_A	D3K0N8	3n6m_A	0.8	NoSeqHomolog
307690	4v0r_A	D3KYU3	4f86_C	2.2	NoSeqHomolog
307690	2px2_A	D4GYL4	6f5z_A	2.3	NoSeqHomolog
307690	4k6m_A	D4L313	5irf_A	1.5	NoSeqHomolog
307690	2px2_A	D5AV04	3njr_A	2.2	NoSeqHomolog
307690	5dto_A	D5STZ7	5i2h_A	2.3	NoSeqHomolog
307690	2px2_A	D7PC21	3ou6_A	2.4	NoSeqHomolog
307690	4k6m_A	E2GM63	6ar3_D	1.2	NoSeqHomolog
307690	5m2x_A	E5RPG2	5f8i_A	0.8	NoSeqHomolog
307690	5m2x_A	E5RPG3	5f8g_A	0.8	NoSeqHomolog
307690	5m2x_A	F1T146	5xe0_A	0.8	NoSeqHomolog
307690	2px2_A	F7ERX8	5xvq_B	2.4	NoSeqHomolog
307690	2px2_A	G1K3S1	3s1s_A	2.2	NoSeqHomolog
307690	5ccv_A	G5EFG3	2b2c_A	2.3	NoSeqHomolog
307690	5dto_A	G7K2D1	6bq2_A	2.1	NoSeqHomolog
307690	5m2x_A	I3UIB4	4ika_A	0.8	NoSeqHomolog
307690	5tmh_A	J3UJH9	6bwc_A	2.4	NoSeqHomolog
307690	2px2_A	K0BVM7	5evj_A	2.4	NoSeqHomolog
307690	2px2_A	K4RFM2	4d7k_F	2.3	NoSeqHomolog
307690	2px2_A	O04385	3reo_D	2.3	NoSeqHomolog
307690	4v0r_A	O05979	5dnk_A	2.3	NoSeqHomolog
307690	2px2_A	O25511	2gn6_B	2.4	NoSeqHomolog
307690	5ccv_A	O26249	1kxz_H	2.2	NoSeqHomolog
307690	2px2_A	O26771	3fpj_B	2.4	NoSeqHomolog
307690	5tfr_A	O28192	1nt2_A	2.0	NoSeqHomolog
307690	4v0r_A	O30190	3dli_C	2.4	NoSeqHomolog
307690	5tmh_A	O31474	2glu_A	2.2	NoSeqHomolog
307690	2px2_A	O32036	5zw3_A	2.3	NoSeqHomolog
307690	5u0b_A	O50082	1ixk_A	2.1	NoSeqHomolog
307690	2px2_A	O52805	3g2m_A	2.4	NoSeqHomolog
307690	2px2_A	O53532	5f8e_B	2.2	NoSeqHomolog
307690	2px2_A	O55060	2gb4_A	2.4	NoSeqHomolog
307690	2px2_A	O55239	2i62_C	2.3	NoSeqHomolog
307690	4v0r_A	O57950	2zsu_C	2.1	NoSeqHomolog
307690	4k6m_A	O57965	1ve3_A	2.2	NoSeqHomolog
307690	5ccv_A	O58523	3k6r_A	2.2	NoSeqHomolog
307690	4v0r_A	O58581	2yxl_A	2.1	NoSeqHomolog
307690	5ccv_A	O59000	1wzn_A	2.4	NoSeqHomolog
307690	5ccv_A	O59493	2ytz_A	2.4	NoSeqHomolog
307690	5dto_A	O59578	2as0_B	2.0	NoSeqHomolog
307690	5tfr_A	O59611	1wy7_D	2.2	NoSeqHomolog
307690	5tmh_A	O66653	2yvl_B	2.2	NoSeqHomolog
307690	5ccv_A	O67010	3axs_A	2.4	NoSeqHomolog
307690	2px2_A	O67440	3dh0_A	2.4	NoSeqHomolog
307690	5ccv_A	O67680	3ftc_A	2.1	NoSeqHomolog
307690	5m2x_A	O92972	3u4o_A	0.7	NoSeqHomolog
307690	4c11_B	O93077	1yvf_A	0.8	NoSeqHomolog
307690	2px2_A	O95050	2a14_A	2.4	NoSeqHomolog
307690	4v0r_A	O95568	4rfq_A	2.4	NoSeqHomolog
307690	4k6m_A	P03300	4k4u_A	0.7	NoSeqHomolog
307690	5m2x_A	P03303	1xr5_A	0.8	NoSeqHomolog
307690	5m2x_A	P03311	5n8x_A	0.7	NoSeqHomolog
307690	5tfr_A	P03313	4y2a_A	0.7	NoSeqHomolog
307690	4k6m_A	P03317	4gua_A	2.1	NoSeqHomolog
307690	5m2x_A	P03355	2r2u_A	2.0	NoSeqHomolog
307690	2px2_A	P04392	1q0t_A	2.3	NoSeqHomolog
307690	2px2_A	P04397	1z45_A	2.4	NoSeqHomolog
307690	2px2_A	P05102	2z6a_A	2.4	NoSeqHomolog
307690	2px2_A	P05769	2px2_A	0.0	seqHomolog
307690	5u0b_A	P06992	3tpz_B	2.3	NoSeqHomolog
307690	5ccv_A	P07617	1av6_A	2.1	NoSeqHomolog
307690	4k6m_A	P08957	2y7c_B	2.1	NoSeqHomolog
307690	4v0r_A	P09158	3o4f_H	2.2	NoSeqHomolog
307690	2hfz_A	P0A3U0	5g2x_C	2.3	NoSeqHomolog
307690	5ccv_A	P0A8I5	3dxz_A	2.4	NoSeqHomolog
307690	2px2_A	P0A9H7	6bqc_A	2.2	NoSeqHomolog
307690	2px2_A	P0ACC1	2b3t_A	2.3	NoSeqHomolog
307690	2px2_A	P0ADR6	4b17_A	1.9	NoSeqHomolog
307690	2px2_A	P0ADX9	2fpo_F	2.4	NoSeqHomolog
307690	5ccv_A	P0AEE8	4rto_A	2.3	NoSeqHomolog
307690	5tfr_A	P0C0R7	1eiz_A	1.5	NoSeqHomolog
307690	4k6m_A	P0C6X7	3r24_A	2.0	NoSeqHomolog
307690	4v0r_A	P0DPD7	2pxx_A	2.4	NoSeqHomolog
307690	2px2_A	P10868	1p1c_A	2.3	NoSeqHomolog
307690	5dto_A	P11086	2obf_A	2.4	NoSeqHomolog
307690	4k6m_A	P11124	1uvj_B	0.9	NoSeqHomolog
307690	5ccv_A	P12296	4nz0_B	0.8	NoSeqHomolog
307690	5m2x_A	P12916	1xr6_A	0.8	NoSeqHomolog
307690	2px2_A	P13255	1kia_C	2.4	NoSeqHomolog
307690	5tfr_A	P13956	1qam_A	2.2	NoSeqHomolog
307690	2hfz_A	P14335	2hfz_A	0.0	seqHomolog
307690	5dto_A	P14385	2np6_A	2.0	NoSeqHomolog
307690	5tmh_A	P14908	1i4w_A	2.2	NoSeqHomolog
307690	2px2_A	P17993	4kdc_A	2.3	NoSeqHomolog
307690	5ccv_A	P19623	3rw9_A	2.2	NoSeqHomolog
307690	4c11_B	P19711	1s49_A	0.6	NoSeqHomolog
307690	5tmh_A	P19871	1hxh_C	2.4	NoSeqHomolog
307690	2px2_A	P20589	1dct_A	2.4	NoSeqHomolog
307690	4v0q_A	P22087	2ipx_A	2.2	NoSeqHomolog
307690	4k6m_A	P22173	2yi8_D	0.9	NoSeqHomolog
307690	2px2_A	P23003	3bt7_A	2.2	NoSeqHomolog
307690	2px2_A	P25397	2xva_A	2.2	NoSeqHomolog
307690	2px2_A	P25627	4qtu_D	2.3	NoSeqHomolog
307690	5dto_A	P25813	1xdz_A	2.4	NoSeqHomolog
307690	5m2x_A	P26660	1yv2_A	0.7	NoSeqHomolog
307690	4c11_B	P26661	3hvo_A	0.8	NoSeqHomolog
307690	5m2x_A	P26663	3h59_A	0.7	NoSeqHomolog
307690	4c11_B	P26664	3hkw_B	0.8	NoSeqHomolog
307690	4hdg_A	P27395	4hdh_B	0.0	seqHomolog
307690	3vws_A	P27410	1khv_B	0.8	NoSeqHomolog
307690	5ccv_A	P27915	5ccv_A	0.0	seqHomolog
307690	4c11_B	P27958	2xi3_B	0.8	NoSeqHomolog
307690	2px2_A	P36929	1sqf_A	2.2	NoSeqHomolog
307690	5u0b_A	P37634	4blv_B	2.2	NoSeqHomolog
