Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
INTERPRO	IPR015943:WD40/YVTN repeat-like-containing domain	53	55.20833333	5.15E-80	"Q16531, Q9BQA1, P63151, Q9C0J8, Q2TAY7, Q12834, Q09028, Q92466, Q04724, Q8TBZ3, Q8N136, Q8TEQ6, Q96MX6, O43660, Q6PCD5, Q9UM11, O75326, O75717, Q86YC2, Q8TAF3, Q96DI7, P63244, Q9BVC4, Q8NHY2, Q9Y4B6, P61964, O60486, Q9UJX5, Q676U5, O75530, Q9Y297, P08581, Q8NFH3, Q8NFH4, O14727, O00423, O43157, Q9BZK7, Q13216, Q969H0, Q9GZS3, Q9HCU5, P78406, Q15751, Q92854, P55884, O76071, O43172, O43818, Q04912, Q8N122, P35658, Q05048"	95	79	5673	40.06249167	7.68E-78	7.68E-78	6.15E-77
INTERPRO	IPR017986:WD40-repeat-containing domain	47	48.95833333	7.61E-72	"Q16531, Q9BQA1, P63151, Q9UJX5, Q676U5, O75530, Q9C0J8, Q9Y297, Q2TAY7, Q12834, Q8NFH3, Q8NFH4, O14727, O00423, Q09028, Q92466, Q04724, Q8N136, Q9BZK7, Q8TBZ3, Q13216, Q8TEQ6, Q969H0, Q96MX6, O43660, Q6PCD5, Q9HCU5, Q9GZS3, Q9UM11, Q15751, P78406, P55884, O75717, O76071, Q8TAF3, Q86YC2, O43172, O43818, Q96DI7, Q8N122, P63244, Q9BVC4, Q15393, Q8NHY2, P61964, Q9Y4B6, Q05048"	95	66	5673	42.52488038	1.13E-69	5.67E-70	9.07E-69
INTERPRO	IPR001680:WD40 repeat	42	43.75	6.23E-63	"Q9BQA1, P63151, Q676U5, O75530, Q9C0J8, Q9Y297, Q2TAY7, Q12834, Q8NFH3, Q8NFH4, O14727, O00423, Q09028, Q92466, Q04724, Q8N136, Q9BZK7, Q8TBZ3, Q8TEQ6, Q13216, Q969H0, Q96MX6, O43660, Q6PCD5, Q9HCU5, Q9UM11, Q9GZS3, Q15751, P78406, O75717, O76071, Q8TAF3, O43172, O43818, Q96DI7, Q8N122, P63244, Q9BVC4, Q8NHY2, P61964, P35658, Q05048"	95	60	5673	41.80105263	9.28E-61	3.09E-61	7.43E-60
SMART	SM00320:WD40	42	43.75	5.85E-62	"Q9BQA1, P63151, Q676U5, O75530, Q9C0J8, Q9Y297, Q2TAY7, Q12834, Q8NFH3, Q8NFH4, O14727, O00423, Q09028, Q92466, Q04724, Q8N136, Q9BZK7, Q8TBZ3, Q8TEQ6, Q13216, Q969H0, Q96MX6, O43660, Q6PCD5, Q9HCU5, Q9UM11, Q9GZS3, Q15751, P78406, O75717, O76071, Q8TAF3, O43172, O43818, Q96DI7, Q8N122, P63244, Q9BVC4, Q8NHY2, P61964, P35658, Q05048"	72	60	3655	35.53472222	2.16E-60	2.16E-60	5.25E-59
INTERPRO	"IPR019775:WD40 repeat, conserved site"	33	34.375	3.75E-51	"Q9BQA1, Q676U5, O75530, Q9Y297, Q2TAY7, Q12834, Q8NFH3, Q8NFH4, O14727, Q09028, Q92466, Q04724, Q8N136, Q9BZK7, Q8TEQ6, Q13216, Q969H0, O43660, Q9UM11, Q9GZS3, Q15751, P78406, O75717, O76071, Q8TAF3, O43172, O43818, Q96DI7, P63244, Q9BVC4, Q8NHY2, P61964, Q05048"	95	42	5673	46.91954887	5.59E-49	1.40E-49	4.47E-48
INTERPRO	IPR020472:G-protein beta WD-40 repeat	22	22.91666667	4.75E-32	"O43660, Q676U5, Q9GZS3, Q9Y297, Q2TAY7, P78406, Q8TAF3, O43172, O43818, O14727, Q09028, Q96DI7, Q8N136, Q9BZK7, P63244, Q9BVC4, Q13216, Q8NHY2, Q8TEQ6, P61964, Q969H0, Q05048"	95	30	5673	43.79157895	7.08E-30	1.42E-30	5.67E-29
PIR_SUPERFAMILY	"PIRSF037037:kelch-like protein, gigaxonin type"	7	7.291666667	3.35E-10	"Q8IXQ5, Q53G59, O95198, Q9Y6Y0, Q2TBA0, Q14145, Q9Y2M5"	14	9	822	45.66666667	2.35E-09	2.35E-09	1.73E-07
INTERPRO	"IPR017096:Kelch-like protein, gigaxonin"	7	7.291666667	1.42E-09	"Q8IXQ5, Q53G59, O95198, Q9Y6Y0, Q2TBA0, Q14145, Q9Y2M5"	95	9	5673	46.44561404	2.12E-07	3.53E-08	1.70E-06
INTERPRO	"IPR011042:Six-bladed beta-propeller, TolB-like"	8	8.333333333	4.65E-09	"Q15493, Q96QV1, P01130, O75581, Q14114, Q8NBF2, P55884, Q92673"	95	17	5673	28.10154799	6.93E-07	9.90E-08	5.55E-06
INTERPRO	"IPR024977:Anaphase-promoting complex subunit 4, WD40 domain"	6	6.25	6.65E-09	"Q9UJX5, Q9UM11, Q9GZS3, Q12834, Q8TEQ6, O75717"	95	6	5673	59.71578947	9.91E-07	1.24E-07	7.93E-06
