Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
SMART	SM00382:AAA	21	77.77777778	1.10E-39	"Q8NE71, O43929, O75351, O95255, Q9Y230, Q03519, Q03518, Q9BW62, Q6PIW4, P13569, Q9H222, Q9UBP0, Q9NRK6, P08183, Q9UNQ0, Q15645, Q13415, Q9NP58, Q9Y265, Q9UQ90, Q9NUT2"	21	51	3655	71.66666667	3.29E-39	3.29E-39	3.46E-37
INTERPRO	IPR003593:AAA+ ATPase domain	21	77.77777778	3.65E-38	"Q8NE71, O43929, O75351, O95255, Q9Y230, Q03519, Q03518, Q9BW62, Q6PIW4, P13569, Q9H222, Q9UBP0, Q9NRK6, P08183, Q9UNQ0, Q15645, Q13415, Q9NP58, Q9Y265, Q9UQ90, Q9NUT2"	27	51	5673	86.51633987	1.20E-36	1.20E-36	3.18E-35
INTERPRO	IPR027417:P-loop containing nucleoside triphosphate hydrolase	24	88.88888889	1.99E-25	"Q8NE71, O43929, O75351, O95255, Q9Y230, Q03519, Q03518, Q9BW62, Q6PIW4, P13569, Q9H222, Q9UBP0, Q9H221, Q9NRK6, P08183, O43913, Q9UNQ0, Q15645, Q13415, Q9NP58, Q9Y265, Q9UQ90, O14656, Q9NUT2"	27	353	5673	14.28517469	6.57E-24	3.28E-24	1.74E-22
INTERPRO	IPR003439:ABC transporter-like	12	44.44444444	2.15E-24	"Q9H222, P13569, Q8NE71, Q9H221, Q9NRK6, P08183, O95255, Q9UNQ0, Q9NP58, Q03519, Q03518, Q9NUT2"	27	15	5673	168.0888889	7.09E-23	2.36E-23	1.87E-21
KEGG_PATHWAY	hsa02010:ABC transporters	11	40.74074074	2.51E-22	"Q9H222, P13569, Q9H221, Q9NRK6, P08183, O95255, Q9UNQ0, Q9NP58, Q03519, Q03518, Q9NUT2"	17	14	3211	148.407563	4.02E-21	4.02E-21	1.78E-19
GOTERM_MF_DIRECT	"GO:0042626~ATPase activity, coupled to transmembrane movement of substances"	11	40.74074074	6.70E-22	"Q9H222, P13569, Q9H221, Q9NRK6, P08183, O95255, Q9UNQ0, Q9NP58, Q03519, Q03518, Q9NUT2"	27	14	5569	162.0608466	4.76E-20	4.76E-20	6.96E-19
INTERPRO	"IPR017871:ABC transporter, conserved site"	10	37.03703704	1.32E-19	"P13569, Q8NE71, Q9H221, Q9NRK6, P08183, O95255, Q9NP58, Q03519, Q03518, Q9NUT2"	27	13	5673	161.6239316	4.37E-18	1.09E-18	1.16E-16
GOTERM_MF_DIRECT	GO:0005524~ATP binding	24	88.88888889	5.50E-18	"Q8NE71, O43929, O75351, O95255, Q9Y230, Q03519, Q03518, Q9BW62, Q6PIW4, P13569, Q9H222, Q9UBP0, Q9H221, Q9NRK6, P08183, O43913, Q9UNQ0, Q15645, Q13415, Q9NP58, Q9Y265, Q9UQ90, O14656, Q9NUT2"	27	725	5569	6.82789272	3.90E-16	1.95E-16	5.71E-15
GOTERM_BP_DIRECT	GO:0055085~transmembrane transport	11	40.74074074	5.86E-17	"Q9H222, P13569, Q8NE71, Q9H221, Q9NRK6, P08183, O95255, Q9NP58, Q03519, Q03518, Q9NUT2"	27	33	5570	68.7654321	2.00E-14	2.00E-14	1.33E-13
INTERPRO	"IPR011527:ABC transporter, transmembrane domain, type 1"	8	29.62962963	2.09E-15	"P13569, Q9NRK6, P08183, O95255, Q9NP58, Q03519, Q03518, Q9NUT2"	27	10	5673	168.0888889	6.96E-14	1.39E-14	1.84E-12
GAD_DISEASE	drug-related genes 	12	44.44444444	5.72E-13	"Q9H222, P13569, Q8NE71, Q9H221, Q9NRK6, P08183, O95255, Q9UNQ0, Q9NP58, Q03519, Q03518, Q9NUT2"	24	102	4450	21.81372549	3.42E-10	3.42E-10	8.44E-10
INTERPRO	"IPR003959:ATPase, AAA-type, core"	8	29.62962963	4.12E-12	"Q9UBP0, O75351, O43929, Q15645, Q13415, Q9UQ90, Q6PIW4, Q9BW62"	27	23	5673	73.0821256	1.36E-10	2.26E-11	3.59E-09
GOTERM_MF_DIRECT	GO:0016887~ATPase activity	9	33.33333333	5.40E-10	"Q9H222, P13569, Q8NE71, Q9H221, O75351, Q9UNQ0, Q9Y230, Q9Y265, O14656"	27	70	5569	26.51904762	3.83E-08	1.28E-08	5.60E-07
GOTERM_MF_DIRECT	GO:0005215~transporter activity	7	25.92592593	1.24E-07	"Q9NRK6, P08183, O95255, Q9UNQ0, Q03519, Q03518, Q9NUT2"	27	54	5569	26.73731139	8.81E-06	2.20E-06	1.29E-04
INTERPRO	"IPR003960:ATPase, AAA-type, conserved site"	5	18.51851852	7.93E-07	"Q9UBP0, O75351, Q15645, Q6PIW4, Q9BW62"	27	17	5673	61.79738562	2.62E-05	3.74E-06	6.92E-04
GOTERM_MF_DIRECT	GO:0008568~microtubule-severing ATPase activity	4	14.81481481	8.98E-07	"Q9UBP0, O75351, Q6PIW4, Q9BW62"	27	5	5569	165.0074074	6.38E-05	1.28E-05	9.32E-04
KEGG_PATHWAY	hsa04976:Bile secretion	5	18.51851852	1.53E-06	"Q9H222, P13569, Q9H221, P08183, Q9UNQ0"	17	19	3211	49.70588235	2.44E-05	1.22E-05	0.001083197
REACTOME_PATHWAY	R-HSA-68616	4	14.81481481	1.66E-06	"O43929, O43913, Q9UBD5, Q13415"	19	6	3881	136.1754386	5.48E-05	5.48E-05	0.001450536
INTERPRO	"IPR015415:Vps4 oligomerisation, C-terminal"	4	14.81481481	1.69E-06	"Q9UBP0, O75351, Q6PIW4, Q9BW62"	27	6	5673	140.0740741	5.59E-05	6.99E-06	0.001478815
GOTERM_BP_DIRECT	GO:0006810~transport	7	25.92592593	2.34E-06	"P13569, Q9NRK6, P08183, O95255, Q9UNQ0, Q9NP58, Q9NUT2"	27	88	5570	16.40993266	4.21E-04	2.11E-04	0.002881996
REACTOME_PATHWAY	R-HSA-113507	4	14.81481481	4.63E-06	"O43929, O43913, Q9UBD5, Q13415"	19	8	3881	102.1315789	1.53E-04	7.63E-05	0.004037924
REACTOME_PATHWAY	R-HSA-68689	4	14.81481481	4.63E-06	"O43929, O43913, Q9UBD5, Q13415"	19	8	3881	102.1315789	1.53E-04	7.63E-05	0.004037924
