Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
INTERPRO	IPR007110:Immunoglobulin-like domain	136	61.53846154	4.13E-139	"P01619, P78310, Q96NY8, P13591, Q96JA1, P78410, P06312, Q14324, O75147, Q02763, Q14896, Q96H15, Q02246, Q9UMF0, P15151, O94856, Q96DU3, P40199, Q14002, P01597, Q7L513, P01593, P12319, P01594, Q9NP99, P12318, P31997, P30530, P78324, Q9NZC2, P05362, P16410, P31995, P31994, K7N5M3, P01709, P12314, K7N5M4, P0DOY2, Q15109, P13598, Q9UBF9, P01732, A0A5B9, P01871, Q92692, P01730, Q9HBW1, Q9UDY8, O60939, P08887, Q15116, P10586, Q6ZN44, P21802, P35916, Q14982, P01861, P01721, O14931, Q8WX93, P22607, P35613, Q13332, O00478, Q5VST9, O15533, O00481, Q9NY72, Q96FE5, Q86YW5, B7Z8K6, P23468, Q9NQS3, Q00872, Q8TDQ1, Q8TDQ0, P09326, Q7Z7D3, P01857, P40259, O00241, P01850, P08637, Q12860, Q9NPH3, Q9UIB8, Q9Y6N7, P13688, P17948, Q15772, O95944, Q15223, Q8IWT1, P35968, Q7Z6A9, P01848, P19256, Q9P1W8, P33681, Q8NFP4, Q9Y279, P12018, Q96D42, Q8IYV9, P11362, Q68D85, Q8WZ42, P15814, Q5TFQ8, Q9BY67, Q9Y639, P50895, P01834, P42081, P04629, P01833, P01772, P10747, O95727, P19320, P06729, Q9NZQ7, Q13477, Q92854, O75015, Q13478, Q495A1, P52179, P10721, P01825, P06731, O15394, Q15746, P01764, Q13740, P0CG04, Q9BX59, Q8N126, Q9Y624"	221	256	5673	13.63701923	9.16E-137	9.16E-137	5.26E-136
INTERPRO	IPR003599:Immunoglobulin subtype	117	52.94117647	5.00E-129	"P01619, P78310, P13591, Q96NY8, Q96JA1, P78410, P06312, Q14324, O75147, Q14896, Q96H15, Q02246, Q9UMF0, P15151, O94856, Q96DU3, P40199, Q14002, P01597, Q7L513, P01593, P12319, P01594, Q9NP99, P12318, P31997, P30530, P78324, P05362, P16410, P31995, P31994, K7N5M3, P01709, P12314, K7N5M4, Q15109, Q9UBF9, P01732, A0A5B9, P01871, Q92692, P01730, Q9HBW1, Q9UDY8, O60939, P08887, Q15116, P10586, Q6ZN44, P21802, P35916, Q14982, P01721, O14931, Q8WX93, P22607, P35613, Q13332, O00478, Q5VST9, O00481, Q9NY72, Q96FE5, P23468, Q9NQS3, Q00872, Q8TDQ1, Q8TDQ0, P09326, Q7Z7D3, P40259, O00241, P08637, Q12860, Q9NPH3, Q9UIB8, Q9Y6N7, P13688, P17948, Q15772, O95944, Q15223, Q8IWT1, P35968, Q7Z6A9, Q9P1W8, P33681, Q8NFP4, Q9Y279, P12018, Q96D42, P11362, Q68D85, Q8WZ42, Q5TFQ8, Q9BY67, P50895, Q9Y639, P01834, P42081, P01833, P01772, P19320, O95727, Q9NZQ7, Q13477, Q92854, O75015, Q13478, Q495A1, P52179, P10721, P01825, P06731, O15394, Q15746, Q13740, Q9BX59, Q8N126, Q9Y624"	221	185	5673	16.23434022	1.11E-126	5.55E-127	6.38E-126
INTERPRO	IPR013783:Immunoglobulin-like fold	138	62.44343891	1.60E-117	"P01619, P78310, Q96NY8, P13591, Q96JA1, P78410, P06312, Q14324, O75147, Q02763, Q14896, Q96H15, Q02246, Q9UMF0, P15151, O94856, Q96DU3, P40199, Q14002, P01597, Q7L513, P01593, P12319, P01594, Q9NP99, P12318, P31997, P30530, P78324, Q9NZC2, P05362, P16410, P31995, P31994, K7N5M3, P01709, P12314, K7N5M4, P0DOY2, Q15109, P13598, Q9UBF9, P01732, A0A5B9, P01871, Q92692, P01730, Q9HBW1, Q9UDY8, O60939, P08887, Q15116, P10586, Q6ZN44, P21802, P35916, Q14982, P01861, P01721, O14931, Q8WX93, P22607, P35613, Q13332, O00478, Q5VST9, O15533, O00481, Q9NY72, Q96FE5, Q86YW5, B7Z8K6, P23468, Q9NQS3, Q00872, Q8TDQ1, Q8TDQ0, P09326, Q7Z7D3, P01857, P40259, O00241, P01850, P08637, Q12860, Q9NPH3, Q9UIB8, Q9Y6N7, P13688, P17948, Q15772, O95944, Q15223, Q8IWT1, P08069, P35968, Q7Z6A9, P01848, P19256, Q9P1W8, Q5VWK5, P33681, Q9Y279, Q8NFP4, P12018, Q96D42, Q8IYV9, Q68D85, P11362, Q8WZ42, P15814, Q5TFQ8, Q9BY67, Q9Y639, P50895, P01834, P42081, P04629, P01833, P01772, P10747, O95727, P19320, P06729, Q9NZQ7, Q13477, Q92854, O75015, Q13478, Q495A1, P52179, P10721, P01825, P06731, O15394, Q15746, P01764, Q13740, P0CG04, Q9BX59, Q8N126, Q9Y624"	221	355	5673	9.978637435	3.56E-115	1.19E-115	2.04E-114
SMART	SM00409:IG	117	52.94117647	5.42E-113	"P01619, P78310, P13591, Q96NY8, Q96JA1, P78410, P06312, Q14324, O75147, Q14896, Q96H15, Q02246, Q9UMF0, P15151, O94856, Q96DU3, P40199, Q14002, P01597, Q7L513, P01593, P12319, P01594, Q9NP99, P12318, P31997, P30530, P78324, P05362, P16410, P31995, P31994, K7N5M3, P01709, P12314, K7N5M4, Q15109, Q9UBF9, P01732, A0A5B9, P01871, Q92692, P01730, Q9HBW1, Q9UDY8, O60939, P08887, Q15116, P10586, Q6ZN44, P21802, P35916, Q14982, P01721, O14931, Q8WX93, P22607, P35613, Q13332, O00478, Q5VST9, O00481, Q9NY72, Q96FE5, P23468, Q9NQS3, Q00872, Q8TDQ1, Q8TDQ0, P09326, Q7Z7D3, P40259, O00241, P08637, Q12860, Q9NPH3, Q9UIB8, Q9Y6N7, P13688, P17948, Q15772, O95944, Q15223, Q8IWT1, P35968, Q7Z6A9, Q9P1W8, P33681, Q8NFP4, Q9Y279, P12018, Q96D42, P11362, Q68D85, Q8WZ42, Q5TFQ8, Q9BY67, P50895, Q9Y639, P01834, P42081, P01833, P01772, P19320, O95727, Q9NZQ7, Q13477, Q92854, O75015, Q13478, Q495A1, P52179, P10721, P01825, P06731, O15394, Q15746, Q13740, Q9BX59, Q8N126, Q9Y624"	203	185	3655	11.38689921	3.09E-111	3.09E-111	5.37E-110
INTERPRO	IPR013106:Immunoglobulin V-set	70	31.67420814	8.93E-84	"P01619, P78310, Q9NQS3, Q96NY8, Q8TDQ1, Q8TDQ0, P09326, P78410, P06312, Q7Z7D3, Q96H15, P40259, P15151, Q96DU3, O00241, P40199, Q14002, P01597, P01593, P01594, Q9NP99, P78324, P31997, Q9NZC2, Q9Y6N7, P16410, P13688, P17948, P01709, K7N5M3, K7N5M4, O95944, Q15223, Q8IWT1, Q9P1W8, P33681, Q9Y279, P12018, P01732, A0A5B9, P01871, Q96D42, Q92692, Q8WZ42, P01730, Q5TFQ8, Q9BY67, O60939, Q15116, P50895, P01834, P42081, P01833, P10747, P01772, P19320, O95727, P01721, O14931, P06729, Q9NZQ7, O00478, Q495A1, Q5VST9, P01825, P06731, O00481, O15394, Q9NY72, P01764, Q13740, Q9BX59, Q9Y624"	221	89	5673	20.18963852	1.98E-81	4.95E-82	1.14E-80
INTERPRO	IPR003598:Immunoglobulin subtype 2	58	26.24434389	8.54E-56	"P78310, P23468, Q00872, Q96NY8, P13591, Q96JA1, Q14324, O75147, Q14896, Q02246, Q9UMF0, O94856, P40199, P12319, P12318, P31997, Q12860, Q9Y6N7, P31995, P17948, P13688, P31994, Q15772, P12314, Q15223, Q15109, P35968, Q9Y279, Q9UBF9, Q8NFP4, P01730, Q8WZ42, P11362, Q9HBW1, Q9UDY8, Q9BY67, P08887, P50895, Q9Y639, P10586, P21802, P35916, Q14982, P19320, Q8WX93, P22607, P35613, Q13332, Q92854, Q5VST9, P52179, P10721, P06731, O15394, Q15746, Q13740, Q96FE5, Q8N126, Q9Y624"	221	102	5673	14.59648656	1.90E-53	3.79E-54	1.09E-52
SMART	SM00408:IGc2	58	26.24434389	1.56E-47	"P78310, P23468, Q00872, Q96NY8, P13591, Q96JA1, Q14324, O75147, Q14896, Q02246, Q9UMF0, O94856, P40199, P12319, P12318, P31997, Q12860, Q9Y6N7, P31995, P17948, P13688, P31994, Q15772, P12314, Q15223, Q15109, P35968, Q9Y279, Q9UBF9, Q8NFP4, P01730, Q8WZ42, P11362, Q9HBW1, Q9UDY8, Q9BY67, P08887, P50895, Q9Y639, P10586, P21802, P35916, Q14982, P19320, Q8WX93, P22607, P35613, Q13332, Q92854, Q5VST9, P52179, P10721, P06731, O15394, Q15746, Q13740, Q96FE5, Q8N126, Q9Y624"	203	102	3655	10.23809524	8.91E-46	4.46E-46	1.55E-44
SMART	SM00406:IGv	40	18.09954751	4.75E-43	"P01732, P01619, A0A5B9, P01871, P78310, Q92692, P01730, Q8WZ42, Q5TFQ8, P78410, P06312, Q15116, P01834, P42081, P15151, O00241, P01833, P01772, P01597, P10747, P01593, P01594, P19320, P01721, P78324, Q9Y6N7, P16410, P17948, O00478, P01709, K7N5M3, Q5VST9, K7N5M4, Q15223, P01825, O15394, O00481, P01764, Q13740, Q9P1W8, Q9Y279, P12018, Q9Y624"	203	47	3655	15.32334137	2.71E-41	9.02E-42	4.70E-40
INTERPRO	IPR013098:Immunoglobulin I-set	35	15.83710407	2.21E-32	"P11362, Q8WZ42, P23468, Q9HBW1, Q00872, P13591, Q96JA1, Q9BY67, Q14324, P50895, O75147, Q14896, P10586, Q6ZN44, Q02246, P21802, P35916, O94856, Q14982, P19320, Q12860, P22607, Q8WX93, Q9Y6N7, Q13332, P17948, Q5VST9, P52179, Q15772, O15394, P35968, Q15746, Q96FE5, Q8N126, Q9UBF9"	221	63	5673	14.26093514	4.91E-30	8.18E-31	2.82E-29
INTERPRO	IPR000504:RNA recognition motif domain	44	19.90950226	8.26E-32	"P26378, Q9NTZ6, Q9Y580, P14866, O95319, P23246, P31943, Q16630, O15047, P23588, Q15717, Q15233, Q9UHX1, Q9BRL6, Q8N684, P09012, P62995, P09651, Q9Y4C8, Q86U42, P08579, Q8TBF4, Q12849, P52272, Q01844, Q96EP5, Q8IY67, Q8WXF1, Q99729, Q07955, Q9UNP9, Q9HCJ3, P11940, P07910, Q9NWB1, Q14011, P26599, Q9Y5S9, Q9Y388, P08621, Q9Y3B4, Q14103, Q92879, P38159"	221	118	5673	9.5717463	1.83E-29	2.62E-30	1.05E-28
