Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
INTERPRO	IPR009003:Trypsin-like cysteine/serine peptidase domain	56	91.80327869	4.98E-124	"O43240, P20231, O60259, P48740, P05981, P07288, P22891, P26927, P00738, P49862, Q15661, P00734, P00736, P06681, O00187, P83110, Q92876, P20151, Q6UWY2, P00742, P00740, P00749, P00748, P00747, P00746, P04070, Q9Y5K2, Q9Y337, P07477, P20160, Q16651, P09871, P20718, P35030, O43464, P08246, P12544, P51124, P00751, P00750, P14210, P98073, Q53HP3, Q92743, Q5JP69, P49863, Q99895, P24158, Q9Y5Y6, P08311, P05156, Q04756, P06870, P03951, P23946, P03952, P10144, P08709, Q9UL52"	61	57	5673	91.36842105	3.24E-122	3.24E-122	5.08E-121
INTERPRO	IPR001254:Peptidase S1	53	86.8852459	2.36E-115	"O43240, P20231, O60259, P48740, P05981, P07288, P22891, P26927, P00738, P49862, Q15661, P00734, P00736, P06681, O00187, Q92876, P20151, Q6UWY2, P00742, P00740, P00749, P00748, P00747, P00746, P04070, Q9Y5K2, Q9Y337, P07477, P20160, Q16651, P09871, P20718, P35030, P08246, P12544, P51124, P00751, P00750, P14210, P98073, Q53HP3, Q5JP69, P49863, Q99895, P24158, Q9Y5Y6, P08311, P05156, Q04756, P06870, P03951, P23946, P03952, P10144, P08709, Q9UL52"	61	54	5673	91.27777778	1.53E-113	7.66E-114	2.40E-112
INTERPRO	"IPR001314:Peptidase S1A, chymotrypsin-type"	51	83.60655738	7.67E-110	"O43240, P20231, O60259, P48740, P05981, P07288, P26927, P00738, P49862, Q15661, P00734, P00736, P06681, O00187, Q92876, P20151, Q6UWY2, P00742, P00740, P00749, P00748, P00747, P00746, P04070, Q9Y5K2, Q9Y337, P07477, P20160, Q16651, P09871, P20718, P35030, P08246, P12544, P51124, P00751, P00750, P14210, P98073, Q53HP3, Q5JP69, P49863, Q99895, P24158, P08311, P05156, Q04756, P06870, P03951, P23946, P03952, P10144, P08709, Q9UL52"	61	52	5673	91.21153846	4.99E-108	1.66E-108	7.82E-107
SMART	SM00020:Tryp_SPc	53	86.8852459	3.73E-108	"O43240, P20231, O60259, P48740, P05981, P07288, P22891, P26927, P00738, P49862, Q15661, P00734, P00736, P06681, O00187, Q92876, P20151, Q6UWY2, P00742, P00740, P00749, P00748, P00747, P00746, P04070, Q9Y5K2, Q9Y337, P07477, P20160, Q16651, P09871, P20718, P35030, P08246, P12544, P51124, P00751, P00750, P14210, P98073, Q53HP3, Q5JP69, P49863, Q99895, P24158, Q9Y5Y6, P08311, P05156, Q04756, P06870, P03951, P23946, P03952, P10144, P08709, Q9UL52"	58	54	3655	61.85025543	8.94E-107	8.94E-107	2.99E-105
INTERPRO	"IPR018114:Peptidase S1, trypsin family, active site"	45	73.7704918	3.29E-94	"O43240, P20231, P04070, Q9Y5K2, Q9Y337, O60259, P07477, Q16651, P20718, P35030, P08246, P05981, P12544, P48740, P00751, P51124, P00750, P07288, P49862, Q53HP3, P98073, Q15661, P00734, Q5JP69, P49863, P06681, Q99895, Q92876, P24158, Q9Y5Y6, P20151, Q6UWY2, P08311, P00742, P00740, P05156, Q04756, P06870, P03951, P23946, P00749, P03952, P00748, P10144, P00747, P08709, P00746, Q9UL52"	61	46	5673	90.97826087	2.14E-92	5.34E-93	3.35E-91
GOTERM_MF_DIRECT	GO:0004252~serine-type endopeptidase activity	56	91.80327869	1.53E-92	"O43240, P20231, O60259, P48740, P05981, P07288, P22891, P26927, P00738, P49862, Q15661, P00734, P00736, P06681, O00187, P83110, Q92876, P20151, Q6UWY2, P00742, P00740, P00749, P00748, P00747, P00746, P04070, Q9Y5K2, Q9Y337, P07477, P20160, Q16651, P09871, P20718, P35030, O43464, P08246, P12544, P51124, P00751, P00750, P14210, P98073, Q53HP3, Q92743, Q5JP69, P49863, Q99895, P24158, Q9Y5Y6, P08311, P05156, Q04756, P06870, P03951, P23946, P03952, P10144, P08709, Q9UL52"	61	118	5569	43.32647958	9.17E-91	9.17E-91	1.53E-89
GOTERM_BP_DIRECT	GO:0006508~proteolysis	46	75.40983607	8.80E-53	"O43240, P20231, P04070, Q9Y5K2, Q9Y337, O60259, P09871, P20160, P07477, Q16651, P35030, O43464, P08246, P05981, P48740, P51124, P00751, P00750, P14210, P07288, P26927, P49862, Q53HP3, P98073, Q15661, Q92743, P00734, Q5JP69, P49863, P06681, P00736, O00187, Q99895, P83110, P24158, Q9Y5Y6, P20151, Q6UWY2, P08311, P00740, P05156, Q04756, P06870, P03951, P00749, P03952, P00747, P00746, Q9UL52"	60	222	5570	19.23573574	2.65E-50	2.65E-50	1.18E-49
GOTERM_MF_DIRECT	GO:0008236~serine-type peptidase activity	26	42.62295082	9.61E-43	"O43240, P20231, Q9Y337, Q9Y5K2, P07477, Q16651, P35030, O43464, P05981, P51124, P07288, P49862, Q15661, Q92743, P49863, P00736, P83110, P24158, Q9Y5Y6, Q6UWY2, Q04756, P23946, P10144, P00747, P08709, Q9UL52, P00746"	61	38	5569	62.46505608	5.77E-41	2.88E-41	9.63E-40
KEGG_PATHWAY	hsa04610:Complement and coagulation cascades	19	31.14754098	1.66E-23	"O00187, P04070, P09871, P48740, P00742, P00751, P00750, P00740, P05156, Q53HP3, P03951, P03952, P00749, P00748, P00747, Q5JP69, P00734, P08709, P00746, P00736, P06681"	35	62	3211	28.11474654	6.82E-22	6.82E-22	1.53E-20
INTERPRO	IPR000001:Kringle	8	13.1147541	7.85E-12	"P00750, P14210, Q04756, P26927, P00749, P00748, P00747, P00734"	61	12	5673	62	5.10E-10	1.02E-10	8.00E-09
INTERPRO	"IPR018056:Kringle, conserved site"	8	13.1147541	7.85E-12	"P00750, P14210, Q04756, P26927, P00749, P00748, P00747, P00734"	61	12	5673	62	5.10E-10	1.02E-10	8.00E-09
