#Internal_virprotID_A	str_temp	strl_neig_uni	str_neigh_pdb	sas	seqHomology
307732	5o6a_D	Q01299	5o6a_D	0.0	seqHomolog
307732	3c5x_C	Q3BCY3	3c5x_C	0.0	seqHomolog
307733	5u0b_A	A0A024B7W1	5mrk_A	0.2	seqHomolog
307733	4k6m_A	A0A059TC02	4r1s_A	2.4	NoSeqHomolog
307733	2oxt_A	A0A077K7L1	5gm1_A	2.1	NoSeqHomolog
307733	5k5m_A	A0A097PIE2	5k5m_A	0.0	seqHomolog
307733	5ccv_A	A0A0C5DR25	5o98_A	2.4	NoSeqHomolog
307733	2oxt_A	A0A0H2UR54	3ku1_H	2.2	NoSeqHomolog
307733	2oxt_A	A0A0H2ZU39	4rgb_A	2.4	NoSeqHomolog
307733	2oxt_A	A0A0H2ZV91	3pxx_C	2.4	NoSeqHomolog
307733	2oxt_A	A0A0H2ZWY3	3t7c_B	2.4	NoSeqHomolog
307733	2oxt_A	A0A0H2ZY59	3qlj_F	2.4	NoSeqHomolog
307733	2oxt_A	A0A0H2ZYS9	5ej2_C	2.4	NoSeqHomolog
307733	2oxt_A	A0A0H3ATY4	5er6_C	2.4	NoSeqHomolog
307733	4k6m_A	A0A0H3JPH0	3vvb_A	2.4	NoSeqHomolog
307733	2oxt_A	A0A0H3JWL8	3ntv_A	2.3	NoSeqHomolog
307733	2oxt_A	A0A0H3JYW8	3vse_C	2.2	NoSeqHomolog
307733	4k6m_A	A0A0H3KNM5	5uzx_A	2.4	NoSeqHomolog
307733	2oxt_A	A0A0J5Q3C4	5jgl_B	2.2	NoSeqHomolog
307733	4k6m_A	A0A0J8AIC3	5n5d_A	2.1	NoSeqHomolog
307733	5dto_A	A0A0M3T9D8	6bcm_A	2.1	NoSeqHomolog
307733	2oxt_A	A0A0S2FD35	6c5b_A	2.4	NoSeqHomolog
307733	5wz3_A	A0A109PRQ3	5wz3_A	0.0	seqHomolog
307733	5u0b_A	A0A167V0D5	5wxb_A	0.2	NoSeqHomolog
307733	2oxt_A	A0A1A7VRA8	4iv8_A	2.1	NoSeqHomolog
307733	2oxt_A	A0A1B2TT18	5w7k_A	2.4	NoSeqHomolog
307733	4k6m_A	A0A1C5AE13	5t38_A	2.3	NoSeqHomolog
307733	2oxt_A	A0EKU1	2oxt_A	0.0	seqHomolog
307733	2oxt_A	A0R5M8	4pio_B	2.4	NoSeqHomolog
307733	2oxt_A	A0RD96	3l8d_A	2.3	NoSeqHomolog
307733	2oxt_A	A1AC32	4qnu_B	2.1	NoSeqHomolog
307733	5m2x_A	A1Z651	4hkq_A	1.9	NoSeqHomolog
307733	4v0r_A	A3DJ37	3jwi_A	2.4	NoSeqHomolog
307733	4k6m_A	A4GE69	2eg5_A	2.3	NoSeqHomolog
307733	5tmh_A	A4GE70	2efj_A	2.3	NoSeqHomolog
307733	2oxt_A	A5K867	4mwz_B	2.1	NoSeqHomolog
307733	2oxt_A	A6KZ44	3dp7_B	2.4	NoSeqHomolog
307733	2oxt_A	A6L5C0	3t7r_A	2.0	NoSeqHomolog
307733	4v0r_A	A6MH22	4ztb_B	2.1	NoSeqHomolog
307733	5dto_A	A6T8J6	3tfw_A	2.3	NoSeqHomolog
