#Internal_virprotID_A	str_temp	strl_neig_uni	str_neigh_pdb	sas	seqHomology
299578	1l2m_A	P27260	1l2m_A	0.0	seqHomolog
299579	1l2m_A	P27260	1l2m_A	0.0	seqHomolog
299584	6f2s_H	P03606	4bcu_A	1.7	NoSeqHomolog
299584	6f2s_H	P08767	1m06_F	2.3	NoSeqHomolog
299584	6f2s_H	W5RUR4	6f2s_H	0.0	seqHomolog
299593	1tue_A	A0A059VAZ3	4ypl_B	2.3	seqHomolog
299593	4gdf_A	P03070	4gdf_B	0.7	seqHomolog
299593	1tue_A	P03116	2gxa_A	1.2	seqHomolog
299593	1tue_A	P03132	1s9h_A	2.1	seqHomolog
299593	1tue_A	P06789	1tue_A	0.0	seqHomolog
299593	1tue_A	P25852	1ojl_F	2.4	seqHomolog
299593	1tue_A	P31539	5vjh_F	2.3	seqHomolog
299593	4gdf_A	Q56313	1in7_A	2.4	seqHomolog
299593	4gdf_A	Q9RA63	1qvr_A	2.4	seqHomolog
299596	1uf2_P	P17379	1uf2_P	0.0	seqHomolog
299596	1uf2_P	P18259	2btv_Q	2.2	NoSeqHomolog
299596	1uf2_P	P18610	3kz4_C	2.0	NoSeqHomolog
299596	1uf2_P	P69361	1bvp_1	2.3	NoSeqHomolog
299603	1uf2_A	P22472	1uf2_A	0.0	seqHomolog
299605	5x71_A	O95050	2a14_A	2.4	NoSeqHomolog
299605	5x71_A	P07617	2vp3_A	2.0	NoSeqHomolog
299605	5x71_A	P14583	5x70_C	0.1	seqHomolog
299605	5x71_A	Q1PIV4	2gaf_A	2.1	NoSeqHomolog
299605	5x71_A	Q2T1U7	4g67_A	2.1	NoSeqHomolog
299605	5x71_A	Q54S83	5ztz_A	2.0	NoSeqHomolog
299605	5x71_A	Q8SR66	1ri5_A	1.9	NoSeqHomolog
299605	5x71_A	Q91L20	4uci_A	2.1	NoSeqHomolog
299605	5x71_A	Q9X1A9	2avn_A	2.2	NoSeqHomolog
299606	4hj1_A	A0A024B7W1	5iz7_A	1.5	NoSeqHomolog
299606	5g47_A	A0A0B4SHY9	4ut6_B	2.1	NoSeqHomolog
299606	4hj1_A	A0A0H4CWF2	5vu2_M	1.7	NoSeqHomolog
299606	5g47_A	A4GRC6	5mf1_B	1.2	NoSeqHomolog
299606	5g47_A	F4JP36	5ow3_C	1.3	NoSeqHomolog
299606	5g47_A	G5ECA1	4oje_H	1.1	NoSeqHomolog
299606	4hj1_A	P03316	1ld4_M	1.7	NoSeqHomolog
299606	5g47_A	P03518	6egt_A	0.7	seqHomolog
299606	5g47_A	P05674	3j0c_J	1.6	NoSeqHomolog
299606	5j81_A	P08668	5lk0_A	0.6	seqHomolog
299606	5g47_A	P12823	1ok8_A	1.7	NoSeqHomolog
299606	5g47_A	P14340	3j27_A	2.2	NoSeqHomolog
299606	5g47_A	P17763	4gt0_A	1.6	NoSeqHomolog
299606	5g47_A	P27915	1uzg_A	2.2	NoSeqHomolog
299606	4hj1_A	P32886	5ywo_A	1.6	NoSeqHomolog
299606	5j81_A	P41266	5j81_A	0.0	seqHomolog
299606	5g47_A	P89946	2yew_K	1.7	NoSeqHomolog
299606	4hj1_A	Q01299	5o6a_A	1.6	NoSeqHomolog
299606	5g47_A	Q689G3	3g7t_A	1.7	NoSeqHomolog
299606	5g47_A	R4V2Q5	5g47_A	0.0	seqHomolog
299607	5amr_A	A5HC98	5amr_A	0.0	seqHomolog
299607	5amr_A	B1PPP0	4khm_A	1.1	NoSeqHomolog
299607	5amr_A	B3IWN8	4au6_E	0.9	NoSeqHomolog
299607	5amr_A	D0PY27	4ty8_A	1.1	NoSeqHomolog
299607	5amr_A	D4L313	5irf_A	1.6	NoSeqHomolog
299607	5amr_A	E2GM63	6ar3_D	1.3	NoSeqHomolog
299607	5amr_A	H6QM91	4wsb_B	0.7	NoSeqHomolog
299607	5amr_A	O37061	2r7u_A	0.9	NoSeqHomolog
299607	5amr_A	O92972	4ju4_B	1.1	NoSeqHomolog
299607	5amr_A	O93077	1yvf_A	1.1	NoSeqHomolog
299607	2xi5_A	P23456	5ize_A	2.1	NoSeqHomolog
299607	5amr_A	P26660	1yvx_A	1.1	NoSeqHomolog
299607	5amr_A	P26661	3gsz_A	1.1	NoSeqHomolog
299607	5amr_A	P26663	3h59_A	1.1	NoSeqHomolog
299607	5amr_A	P26664	3hkw_B	1.1	NoSeqHomolog
299607	5amr_A	P27958	2xi2_B	1.1	NoSeqHomolog
299607	5amr_A	Q0QHL8	5cqg_B	1.3	NoSeqHomolog
299607	5amr_A	Q2N379	4lq3_A	1.1	NoSeqHomolog
299607	5amr_A	Q50LE4	5i61_A	1.0	NoSeqHomolog
299607	5amr_A	Q5V8Y6	5fmz_E	0.7	NoSeqHomolog
299607	5amr_A	Q69014	2uut_A	1.1	NoSeqHomolog
299607	5amr_A	Q80J95	4o4r_B	1.1	NoSeqHomolog
299607	5amr_A	Q99AU2	2d3z_A	1.1	NoSeqHomolog
299607	5amr_A	Q99IB8	4wtl_A	1.1	NoSeqHomolog
299607	2xi5_A	Q9E005	5hsb_A	2.0	NoSeqHomolog
299607	5amr_A	Q9IMP4	5d9a_B	0.7	NoSeqHomolog
299607	5amr_A	Q9WMX2	5tri_B	1.1	NoSeqHomolog
299609	5ip1_A	F2WAD7	4j1j_D	1.8	NoSeqHomolog
299609	5ip1_A	F4ZD19	5ip1_A	0.0	seqHomolog
299609	5ip1_A	H2AM13	4idx_B	1.7	NoSeqHomolog
299609	5ip1_A	O36307	5e04_A	2.3	NoSeqHomolog
299609	5ip1_A	P04873	4bhh_B	2.0	NoSeqHomolog
299609	5ip1_A	P16495	3zla_E	1.7	NoSeqHomolog
299609	5ip1_A	Q89462	5e06_A	2.4	NoSeqHomolog
299611	2z83_A	A0A024B7W1	5jmt_A	0.6	NoSeqHomolog
299611	2cjq_A	A0A097PIE2	5k5m_A	0.6	NoSeqHomolog
299611	5wx1_A	A0A0E0TGM2	3uwx_B	1.4	NoSeqHomolog
299611	3eiq_A	A0A0K2H973	5ivl_B	0.7	NoSeqHomolog
299611	2ykg_A	A0A0M3KL05	4xqk_A	1.9	seqHomolog
299611	2z83_A	A0A0U4DG08	5gjb_A	0.5	NoSeqHomolog
299611	1lvm_A	A0A0X1KHD2	5bpe_A	1.7	NoSeqHomolog
299611	2z83_A	A0A0X8GJ44	5txg_A	0.5	NoSeqHomolog
299611	2cjq_A	A0A109PRQ3	5wz3_A	0.7	NoSeqHomolog
299611	2z83_A	A0A146CJG7	5k8t_A	0.6	NoSeqHomolog
299611	2z83_A	A0A146CJH9	5mfx_A	0.5	NoSeqHomolog
299611	1lvb_A	A0A1K3KH35	5zvj_A	2.3	NoSeqHomolog
299611	5wx1_A	A0A1W2ITH4	6dgd_A	1.5	NoSeqHomolog
299611	3eiq_A	A0QT91	5v9x_A	1.3	NoSeqHomolog
299611	1lvb_A	A1E4A3	3zve_A	1.7	NoSeqHomolog
299611	4cbl_A	A1Z092	4wxr_A	1.1	NoSeqHomolog
299611	2cjq_A	A1Z651	4hkq_A	1.8	NoSeqHomolog
299611	2ykg_A	A1ZAW0	6bu9_A	1.5	NoSeqHomolog
299611	1lvb_A	A2RQE2	2ea3_A	2.3	NoSeqHomolog
299611	1lvb_A	A4UWM5	3w94_A	2.2	NoSeqHomolog
299611	1lvb_A	A6GWM2	5jxf_D	2.1	NoSeqHomolog
299611	1lvb_A	A7J8L3	2vj1_A	2.0	NoSeqHomolog
299611	5wx1_A	A7MQK9	4tmu_A	1.4	NoSeqHomolog
299611	2cjq_A	B1PPP0	4khr_B	0.9	NoSeqHomolog
299611	1lvm_A	B2RID1	4xzy_A	2.0	NoSeqHomolog
299611	2ckw_A	B3IWN8	4au6_B	1.2	NoSeqHomolog
299611	2ckw_A	B3VQP5	3ol9_A	0.7	NoSeqHomolog
299611	1lvm_A	B3Y8K5	2zpr_A	2.2	NoSeqHomolog
299611	1lvm_A	B3Y8K6	2zps_A	2.2	NoSeqHomolog
299611	5wx1_A	B7LFW8	5k9t_A	1.5	NoSeqHomolog
299611	2cjq_A	D0PY27	4tyb_C	0.9	NoSeqHomolog
299611	1lvm_A	D0VWT7	3cp7_A	1.8	NoSeqHomolog
299611	5wx1_A	D1CGD0	4q2c_A	1.7	NoSeqHomolog
299611	5wx1_A	D1JM21	5fhg_A	2.4	NoSeqHomolog
299611	1lvm_A	D2K8B4	5mrt_A	2.2	NoSeqHomolog
299611	2ckw_A	D3K0N8	3n6n_A	0.7	NoSeqHomolog
299611	2ykg_A	D3TI84	4a2p_A	0.6	seqHomolog
299611	2cjq_A	D4L313	5irf_A	1.5	NoSeqHomolog
299611	5wx1_A	D7K0H3	5ftf_A	2.4	NoSeqHomolog
299611	2ykg_A	D9N195	5jch_A	0.8	seqHomolog
299611	2ckw_A	E2GM63	6ar3_D	1.3	NoSeqHomolog
299611	3eiq_A	E5DV50	5oe8_A	2.2	NoSeqHomolog
299611	2ckw_A	E5RPG2	5f8l_A	0.7	seqHomolog
299611	2ckw_A	E5RPG3	5f8g_A	0.7	NoSeqHomolog
299611	1lvm_A	E7E815	5gso_A	1.6	NoSeqHomolog
299611	2ckw_A	F1T146	5xe0_A	0.7	NoSeqHomolog
299611	1lvb_A	F8RL29	5lac_A	2.1	NoSeqHomolog
299611	1lvb_A	F8W672	3pv2_B	1.9	NoSeqHomolog
299611	1lvb_A	F8W673	3pv3_B	2.0	NoSeqHomolog
299611	1lvb_A	F8W674	3pv5_B	2.2	NoSeqHomolog
299611	1lvm_A	F8WQK8	5jxp_A	2.0	NoSeqHomolog
299611	5lj5_Q	G0RY84	5ltj_A	1.2	NoSeqHomolog
299611	3eiq_A	G0SBQ7	5dtu_A	0.9	seqHomolog
299611	5lj5_Q	G0SEG4	6fa9_A	1.5	NoSeqHomolog
299611	2ykg_A	G0YYQ5	5jb2_A	0.7	seqHomolog
299611	1lvb_A	G1K3R2	3pv4_A	2.3	NoSeqHomolog
299611	3eiq_A	G2QDW1	5hzr_A	1.7	seqHomolog
299611	2ykg_A	G2QFM3	5jxr_B	1.8	NoSeqHomolog
299611	2ckw_A	H6QM91	5m3h_B	1.1	NoSeqHomolog
299611	2ckw_A	I3UIB4	4ika_A	0.7	NoSeqHomolog
299611	1lvb_A	J7LCB0	5xrf_A	2.3	NoSeqHomolog
299611	5wx1_A	K0BWD0	5wwp_B	1.7	NoSeqHomolog
299611	5wx1_A	K4KA16	4oks_A	1.0	NoSeqHomolog
299611	1lvb_A	K7ZK39	3wy8_A	2.0	NoSeqHomolog
299611	1lvb_A	K9N638	5wkj_A	2.0	NoSeqHomolog
299611	1lvb_A	L0RUV7	5c2z_B	2.1	NoSeqHomolog
299611	1lvm_A	O00187	4fxg_H	2.0	NoSeqHomolog
299611	3eiq_A	O00571	6cz5_A	1.1	seqHomolog
299611	3eiq_A	O01378	4d26_A	0.9	seqHomolog
299611	3eiq_A	O07897	2gxs_B	0.8	seqHomolog
299611	1lvm_A	O22609	3qo6_C	2.0	NoSeqHomolog
299611	3eiq_A	O29238	1gl9_B	1.9	seqHomolog
299611	2ykg_A	O29889	2fwr_C	1.5	seqHomolog
299611	2ckw_A	O37061	4f5x_W	1.2	NoSeqHomolog
299611	5odv_A	O37178	5a2t_E	2.2	NoSeqHomolog
299611	5wx1_A	O43143	5xdr_A	1.7	NoSeqHomolog
299611	1lvm_A	O43240	5lpe_A	2.1	NoSeqHomolog
299611	1lvm_A	O43464	5fht_A	1.9	NoSeqHomolog
299611	2ykg_A	O51934	3p4x_B	1.8	seqHomolog
299611	1lvm_A	O53896	2z9i_B	1.9	NoSeqHomolog
299611	1lvb_A	O60259	5ms3_A	2.2	NoSeqHomolog
299611	2ykg_A	O60306	4pj3_A	2.0	seqHomolog
299611	1lvm_A	O70164	2rdl_B	2.1	NoSeqHomolog
299611	5wx1_A	O73946	2zj8_A	1.5	NoSeqHomolog
299611	5wx1_A	O75417	5a9j_B	1.5	NoSeqHomolog
299611	1lvb_A	O82261	4fln_B	2.0	NoSeqHomolog
299611	1lvb_A	O91734	5iyt_A	1.7	NoSeqHomolog
