Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
INTERPRO	IPR015943:WD40/YVTN repeat-like-containing domain	53	35.33333333	5.58E-67	"Q16531, Q9BQA1, P63151, Q9C0J8, Q2TAY7, Q12834, Q09028, Q92466, Q04724, Q8TBZ3, Q8N136, Q8TEQ6, Q96MX6, O43660, Q6PCD5, Q9UM11, O75326, O75717, Q86YC2, Q8TAF3, Q96DI7, P63244, Q9BVC4, Q8NHY2, Q9Y4B6, P61964, O60486, Q9UJX5, Q676U5, O75530, Q9Y297, P08581, Q8NFH3, Q8NFH4, O14727, O00423, O43157, Q9BZK7, Q13216, Q969H0, Q9GZS3, Q9HCU5, P78406, Q15751, Q92854, P55884, O76071, O43172, O43818, Q04912, Q8N122, P35658, Q05048"	147	79	5673	25.89072591	1.39E-64	1.39E-64	7.25E-64
INTERPRO	IPR017986:WD40-repeat-containing domain	46	30.66666667	1.08E-58	"Q16531, Q9BQA1, P63151, Q9UJX5, Q676U5, O75530, Q9C0J8, Q9Y297, Q2TAY7, Q12834, Q8NFH3, Q8NFH4, O14727, O00423, Q09028, Q92466, Q04724, Q8N136, Q9BZK7, Q8TBZ3, Q13216, Q8TEQ6, Q96MX6, Q969H0, O43660, Q6PCD5, Q9HCU5, Q9GZS3, Q9UM11, Q15751, P78406, P55884, O75717, O76071, Q8TAF3, Q86YC2, O43172, O43818, Q96DI7, Q8N122, P63244, Q9BVC4, Q8NHY2, P61964, Q9Y4B6, Q05048"	147	66	5673	26.89734075	2.68E-56	1.34E-56	1.40E-55
SMART	SM00320:WD40	42	28	4.81E-58	"Q9BQA1, P63151, Q676U5, O75530, Q9C0J8, Q9Y297, Q2TAY7, Q12834, Q8NFH3, Q8NFH4, O14727, O00423, Q09028, Q92466, Q04724, Q8N136, Q9BZK7, Q8TBZ3, Q8TEQ6, Q13216, Q96MX6, Q969H0, O43660, Q6PCD5, Q9HCU5, Q9UM11, Q9GZS3, Q15751, P78406, O75717, O76071, Q8TAF3, O43172, O43818, Q96DI7, Q8N122, P63244, Q9BVC4, Q8NHY2, P61964, P35658, Q05048"	84	60	3655	30.45833333	2.64E-56	2.64E-56	4.73E-55
INTERPRO	IPR001680:WD40 repeat	42	28	2.23E-53	"Q9BQA1, P63151, Q676U5, O75530, Q9C0J8, Q9Y297, Q2TAY7, Q12834, Q8NFH3, Q8NFH4, O14727, O00423, Q09028, Q92466, Q04724, Q8N136, Q9BZK7, Q8TBZ3, Q8TEQ6, Q13216, Q96MX6, Q969H0, O43660, Q6PCD5, Q9HCU5, Q9UM11, Q9GZS3, Q15751, P78406, O75717, O76071, Q8TAF3, O43172, O43818, Q96DI7, Q8N122, P63244, Q9BVC4, Q8NHY2, P61964, P35658, Q05048"	147	60	5673	27.01428571	5.52E-51	1.84E-51	2.89E-50
INTERPRO	"IPR019775:WD40 repeat, conserved site"	33	22	4.57E-44	"Q9BQA1, Q676U5, O75530, Q9Y297, Q2TAY7, Q12834, Q8NFH3, Q8NFH4, O14727, Q09028, Q92466, Q04724, Q8N136, Q9BZK7, Q8TEQ6, Q13216, Q969H0, O43660, Q9UM11, Q9GZS3, Q15751, P78406, O75717, O76071, Q8TAF3, O43172, O43818, Q96DI7, P63244, Q9BVC4, Q8NHY2, P61964, Q05048"	147	42	5673	30.32215743	1.13E-41	2.83E-42	5.93E-41
INTERPRO	IPR020472:G-protein beta WD-40 repeat	22	14.66666667	1.12E-27	"O43660, Q676U5, Q9GZS3, Q9Y297, Q2TAY7, P78406, Q8TAF3, O43172, O43818, O14727, Q09028, Q96DI7, Q8N136, Q9BZK7, P63244, Q9BVC4, Q13216, Q8NHY2, Q8TEQ6, P61964, Q969H0, Q05048"	147	30	5673	28.30068027	2.78E-25	5.56E-26	1.45E-24
GOTERM_BP_DIRECT	GO:0032259~methylation	13	8.666666667	2.24E-11	"Q8N6R0, P46597, P51580, O95050, O95568, Q14353, P11086, P50135, Q8N4J0, P40261, Q86VU5, Q96AZ1, Q14749"	147	34	5570	14.48779512	1.81E-08	1.81E-08	3.44E-08
GOTERM_MF_DIRECT	GO:0008168~methyltransferase activity	13	8.666666667	6.88E-10	"Q9UI43, Q9BV86, Q8N6R0, O95050, O95568, O14717, Q14353, Q9UIC8, P11086, Q86W50, Q96CB9, Q96AZ1, P22087"	147	44	5569	11.19310451	2.28E-07	2.28E-07	9.33E-07
GOTERM_BP_DIRECT	GO:0031167~rRNA methylation	7	4.666666667	2.01E-09	"Q9UI43, Q5T8I9, Q9UNQ2, Q9H5Q4, Q96CB9, Q9BVS5, P22087"	147	7	5570	37.89115646	1.62E-06	8.11E-07	3.09E-06
INTERPRO	"IPR017096:Kelch-like protein, gigaxonin"	7	4.666666667	2.07E-08	"Q8IXQ5, Q53G59, O95198, Q9Y6Y0, Q2TBA0, Q14145, Q9Y2M5"	147	9	5673	30.01587302	5.13E-06	8.55E-07	2.68E-05
SMART	SM00612:Kelch	7	4.666666667	2.23E-08	"Q8IXQ5, Q53G59, O95198, Q9Y6Y0, Q2TBA0, Q14145, Q9Y2M5"	84	10	3655	30.45833333	1.23E-06	6.14E-07	2.20E-05
INTERPRO	"IPR024977:Anaphase-promoting complex subunit 4, WD40 domain"	6	4	6.20E-08	"Q9UJX5, Q9UM11, Q9GZS3, Q12834, Q8TEQ6, O75717"	147	6	5673	38.59183673	1.54E-05	2.20E-06	8.05E-05
INTERPRO	"IPR011042:Six-bladed beta-propeller, TolB-like"	8	5.333333333	1.02E-07	"Q15493, Q96QV1, P01130, O75581, Q14114, Q8NBF2, P55884, Q92673"	147	17	5673	18.16086435	2.52E-05	3.15E-06	1.32E-04
INTERPRO	IPR006652:Kelch repeat type 1	7	4.666666667	1.09E-07	"Q8IXQ5, Q53G59, O95198, Q9Y6Y0, Q2TBA0, Q14145, Q9Y2M5"	147	11	5673	24.55844156	2.70E-05	3.00E-06	1.41E-04
PIR_SUPERFAMILY	"PIRSF037037:kelch-like protein, gigaxonin type"	7	4.666666667	1.67E-07	"Q8IXQ5, Q53G59, O95198, Q9Y6Y0, Q2TBA0, Q14145, Q9Y2M5"	33	9	822	19.37373737	4.16E-06	4.16E-06	1.35E-04
INTERPRO	"IPR001375:Peptidase S9, prolyl oligopeptidase, catalytic domain"	6	4	2.13E-07	"Q6V1X1, Q12884, P27487, P48147, Q8N608, P42658"	147	7	5673	33.0787172	5.27E-05	5.27E-06	2.76E-04
SMART	SM00875:SM00875	7	4.666666667	2.97E-07	"Q8IXQ5, Q53G59, O95198, Q9Y6Y0, Q2TBA0, Q14145, Q9Y2M5"	84	14	3655	21.75595238	1.63E-05	5.45E-06	2.92E-04
INTERPRO	"IPR000408:Regulator of chromosome condensation, RCC1"	6	4	5.55E-07	"P18754, Q15751, Q9P258, O95714, Q92834, Q96I51"	147	8	5673	28.94387755	1.38E-04	1.25E-05	7.20E-04
