Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0008168~methyltransferase activity	14	24.56140351	9.82E-17	"O95050, P26358, O95568, Q9UIC8, Q86W50, P11086, P22087, Q9BV86, Q9UI43, Q8N6R0, Q14353, O14717, Q96CB9, Q96AZ1"	57	44	5569	31.08692185	2.04E-14	2.04E-14	1.33E-13
GOTERM_BP_DIRECT	GO:0032259~methylation	13	22.80701754	1.40E-16	"Q8N6R0, P51580, P46597, O95050, O95568, Q14353, P11086, P50135, Q8N4J0, Q86VU5, Q96AZ1, Q14749, P40261"	57	34	5570	37.36326109	2.26E-14	2.26E-14	1.44E-13
INTERPRO	"IPR020904:Short-chain dehydrogenase/reductase, conserved site"	9	15.78947368	5.58E-13	"P51659, Q92506, Q9BUT1, Q8N4T8, P28845, Q6UWP2, O75828, P16152, Q9BPX1"	56	16	5673	56.98325893	5.86E-11	5.86E-11	6.25E-10
GOTERM_BP_DIRECT	GO:0031167~rRNA methylation	7	12.28070175	5.45E-12	"Q9UI43, Q5T8I9, Q9UNQ2, Q9H5Q4, Q96CB9, Q9BVS5, P22087"	57	7	5570	97.71929825	1.11E-09	5.56E-10	6.86E-09
INTERPRO	IPR002347:Glucose/ribitol dehydrogenase	9	15.78947368	2.02E-11	"P51659, Q92506, Q9BUT1, Q8N4T8, P28845, Q6UWP2, O75828, P16152, Q9BPX1"	56	23	5673	39.64052795	2.12E-09	1.06E-09	2.26E-08
INTERPRO	IPR016040:NAD(P)-binding domain	13	22.80701754	7.48E-11	"P51659, Q8N4T8, P49327, O60701, O60547, P16152, Q92506, Q9BUT1, Q14376, P28845, Q6UWP2, O75828, Q9BPX1"	56	97	5673	13.5767673	7.85E-09	2.62E-09	8.38E-08
KEGG_PATHWAY	hsa01100:Metabolic pathways	19	33.33333333	1.48E-08	"P51659, P46597, Q9Y6K1, P26358, P19623, P11086, P49327, O60701, O60547, P16152, Q92506, P54819, Q14353, P52788, Q9BUT1, Q14376, P28845, O75828, P40261"	28	555	3211	3.925933076	5.48E-07	5.48E-07	1.33E-05
INTERPRO	IPR019410:Nicotinamide N-methyltransferase-like	5	8.771929825	3.93E-08	"Q8WXB1, Q5VZV1, Q7Z624, Q9H867, Q96AZ1"	56	5	5673	101.3035714	4.12E-06	1.03E-06	4.40E-05
GOTERM_MF_DIRECT	GO:0008173~RNA methyltransferase activity	5	8.771929825	1.36E-07	"Q5T8I9, Q7L2J0, Q96RS0, Q8TEA1, Q96P11"	57	6	5569	81.41812865	2.49E-05	1.25E-05	1.68E-04
GOTERM_BP_DIRECT	GO:0030488~tRNA methylation	5	8.771929825	1.11E-06	"O14717, Q9UJA5, Q5T8I9, Q8TEA1, Q96FX7"	57	9	5570	54.28849903	2.27E-04	7.57E-05	1.40E-03
GAD_DISEASE	Spinal Dysraphism	7	12.28070175	4.54E-06	"O43148, Q9Y6K1, P26358, O14717, Q14353, P40261, Q14749"	44	47	4450	15.06286267	9.62E-04	9.62E-04	5.74E-03
GOTERM_BP_DIRECT	GO:0001510~RNA methylation	4	7.01754386	9.49E-06	"Q9UI43, Q5T8I9, Q7L2J0, Q8TEA1"	57	5	5570	78.1754386	0.001934646	4.84E-04	1.19E-02
GOTERM_BP_DIRECT	GO:0018022~peptidyl-lysine methylation	4	7.01754386	9.49E-06	"Q8WXB1, Q5T8I9, Q5VZV1, Q7Z624"	57	5	5570	78.1754386	0.001934646	4.84E-04	1.19E-02
GOTERM_MF_DIRECT	GO:0008757~S-adenosylmethionine-dependent methyltransferase activity	4	7.01754386	5.21E-05	"Q9UIC8, Q7L2J0, Q8TEA1, Q96P11"	57	8	5569	48.85087719	0.00953307	0.003187842	0.064337813
INTERPRO	IPR001678:Bacterial Fmu (Sun)/eukaryotic nucleolar NOL1/Nop2p	3	5.263157895	2.75E-04	"Q8TEA1, Q96P11, Q96CB9"	56	3	5673	101.3035714	0.028484163	0.005762872	0.30780173
INTERPRO	IPR023267:RNA (C5-cytosine) methyltransferase	3	5.263157895	2.75E-04	"Q8TEA1, Q96P11, Q96CB9"	56	3	5673	101.3035714	0.028484163	0.005762872	0.30780173
INTERPRO	"IPR000940:Methyltransferase, NNMT/PNMT/TEMT"	3	5.263157895	2.75E-04	"O95050, P11086, P40261"	56	3	5673	101.3035714	0.028484163	0.005762872	0.30780173
INTERPRO	"IPR025820:Methyltransferase NNMT/PNMT/TEMT, conserved site"	3	5.263157895	2.75E-04	"O95050, P11086, P40261"	56	3	5673	101.3035714	0.028484163	0.005762872	0.30780173
PIR_SUPERFAMILY	PIRSF000384:phenylethanolamine N-methyltransferase	3	5.263157895	0.001664514	"O95050, P11086, P40261"	21	3	822	39.14285714	0.03276908	0.03276908	1.259899346
GOTERM_MF_DIRECT	GO:0016279~protein-lysine N-methyltransferase activity	4	7.01754386	1.99E-04	"Q8WXB1, Q5T8I9, Q5VZV1, Q9H867"	57	12	5569	32.56725146	0.035911792	0.00910145	0.245423374
GOTERM_MF_DIRECT	GO:0016428~tRNA (cytosine-5-)-methyltransferase activity	3	5.263157895	2.96E-04	"O14717, Q5T8I9, Q8TEA1"	57	3	5569	97.70175439	0.053025282	0.010837424	0.3653931
GOTERM_MF_DIRECT	"GO:0000179~rRNA (adenine-N6,N6-)-dimethyltransferase activity"	3	5.263157895	2.96E-04	"Q5T8I9, Q9UNQ2, Q9H5Q4"	57	3	5569	97.70175439	0.053025282	0.010837424	0.3653931
INTERPRO	IPR001525:C-5 cytosine methyltransferase	3	5.263157895	5.47E-04	"Q9Y6K1, P26358, O14717"	56	4	5673	75.97767857	0.055824636	0.00952821	0.610923396
KEGG_PATHWAY	hsa00270:Cysteine and methionine metabolism	4	7.01754386	0.002037949	"Q9Y6K1, P26358, P19623, P52788"	28	31	3211	14.79723502	0.072702686	0.037037221	1.815097997
SMART	SM00650:rADc	2	3.50877193	0.00491937	"Q9UNQ2, Q9H5Q4"	10	2	3655	365.5	0.075871503	0.075871503	3.441422627
